strategy,seed,channel,first_seen_time_s,directional
geometry_replacement_clear_probe,3994878760,8,47.0,True
geometry_replacement_clear_probe,3994878760,20,119.0,True
geometry_replacement_clear_probe,3994878760,19,276.2,False
geometry_replacement_clear_probe,3994878760,15,300.2,True
geometry_replacement_clear_probe,3994878760,7,348.2,False
geometry_replacement_clear_probe,3994878760,9,2135.4352056538664,True
geometry_replacement_clear_probe,3994878760,3,3637.4378595925677,True
geometry_replacement_clear_probe,3994878760,14,4319.037859592568,True
geometry_replacement_clear_probe,3994878760,11,5199.837859592567,True
geometry_replacement_clear_probe,3994878760,17,5393.037859592567,True
geometry_replacement_clear_probe,3446493538,9,53.0,False
geometry_replacement_clear_probe,3446493538,12,71.0,True
geometry_replacement_clear_probe,3446493538,16,95.0,True
geometry_replacement_clear_probe,3446493538,18,107.0,True
geometry_replacement_clear_probe,3446493538,7,348.2,False
geometry_replacement_clear_probe,3446493538,3,372.2,True
geometry_replacement_clear_probe,3446493538,2,1025.6261948127544,False
geometry_replacement_clear_probe,3446493538,4,1582.6450696584466,False
geometry_replacement_clear_probe,3446493538,10,4564.597837608656,False
geometry_replacement_clear_probe,3446493538,19,4612.597837608656,False
geometry_replacement_clear_probe,3446493538,20,5039.642335615055,True
geometry_replacement_clear_probe,1278112619,9,53.0,False
geometry_replacement_clear_probe,1278112619,11,65.0,False
geometry_replacement_clear_probe,1278112619,14,83.0,False
geometry_replacement_clear_probe,1278112619,17,101.0,True
geometry_replacement_clear_probe,1278112619,18,107.0,False
geometry_replacement_clear_probe,1278112619,20,119.0,False
geometry_replacement_clear_probe,1278112619,13,312.2,False
geometry_replacement_clear_probe,1278112619,10,330.2,False
geometry_replacement_clear_probe,1278112619,7,348.2,True
geometry_replacement_clear_probe,1278112619,6,542.9183064201255,False
geometry_replacement_clear_probe,1278112619,16,1228.2597799451873,False
geometry_replacement_clear_probe,1278112619,1,1312.2597799451873,False
geometry_replacement_clear_probe,1278112619,2,1466.0209207197797,False
geometry_replacement_clear_probe,1278112619,4,2289.5731729542704,True
geometry_replacement_clear_probe,1278112619,5,2295.5731729542704,True
geometry_replacement_clear_probe,1278112619,19,4678.568998111707,True
geometry_replacement_clear_probe,4265401991,6,35.0,True
