strategy,seed,channel,first_seen_time_s,directional
rejoin_clear,0,5,29.0,False
rejoin_clear,0,6,35.0,False
rejoin_clear,0,13,77.0,False
rejoin_clear,0,20,119.0,False
rejoin_clear,0,10,331.0,False
rejoin_clear,0,12,343.0,True
rejoin_clear,0,1,557.2865374847535,False
rejoin_clear,0,4,575.2865374847535,False
rejoin_clear,0,2,829.2865374847535,True
rejoin_clear,0,16,1550.4051461521512,True
rejoin_clear,0,3,1868.1293823437754,True
rejoin_clear,0,7,4780.584342544677,True
rejoin_clear,0,18,5028.584342544677,False
rejoin_clear,0,14,5422.584342544677,True
rejoin_clear,0,8,6505.690838985329,True
rejoin_clear,0,9,7267.9070362631555,True
rejoin_clear,1,7,41.0,False
rejoin_clear,1,13,77.0,True
rejoin_clear,1,14,83.0,False
rejoin_clear,1,19,113.0,False
rejoin_clear,1,17,373.0,True
rejoin_clear,1,8,591.0,True
rejoin_clear,1,11,1645.0487288398444,False
rejoin_clear,1,4,1918.1009341721488,True
rejoin_clear,1,16,1972.1009341721488,True
rejoin_clear,1,9,4457.661753721299,True
rejoin_clear,1,3,6907.528101277478,True
rejoin_clear,2,6,35.0,False
rejoin_clear,2,13,77.0,False
rejoin_clear,2,15,89.0,True
rejoin_clear,2,2,283.0,False
rejoin_clear,2,4,295.0,True
rejoin_clear,2,16,367.0,False
rejoin_clear,2,17,373.0,False
rejoin_clear,2,14,1478.8926857410956,True
rejoin_clear,2,20,1514.8926857410956,True
rejoin_clear,2,10,1757.7758409031878,False
rejoin_clear,2,3,2070.6104257566153,False
rejoin_clear,2,5,2076.6104257566153,False
rejoin_clear,2,11,2368.2866229645774,False
rejoin_clear,2,12,5868.837881670548,True
rejoin_clear,2,1,6038.837881670548,False
rejoin_clear,2,19,7054.559924460518,True
rejoin_clear,3,1,5.0,False
rejoin_clear,3,2,11.0,True
rejoin_clear,3,8,47.0,False
rejoin_clear,3,16,95.0,False
rejoin_clear,3,19,113.0,False
rejoin_clear,3,18,978.3373479976188,False
rejoin_clear,3,10,1728.337347997619,True
rejoin_clear,3,5,1964.337347997619,False
rejoin_clear,3,11,2000.337347997619,False
rejoin_clear,3,12,3181.439826798853,False
rejoin_clear,3,14,4538.372533670734,False
rejoin_clear,4,2,11.0,False
rejoin_clear,4,4,23.0,True
rejoin_clear,4,9,53.0,False
rejoin_clear,4,17,101.0,True
rejoin_clear,4,5,301.0,False
rejoin_clear,4,10,331.0,True
rejoin_clear,4,13,1165.0,True
rejoin_clear,4,1,1508.417533809873,False
rejoin_clear,4,16,1592.417533809873,False
rejoin_clear,4,15,4699.978760133983,False
rejoin_clear,4,7,5458.334748749715,True
rejoin_clear,5,3,17.0,False
rejoin_clear,5,8,47.0,False
rejoin_clear,5,9,53.0,False
rejoin_clear,5,12,71.0,False
rejoin_clear,5,17,101.0,True
rejoin_clear,5,7,1945.0,False
rejoin_clear,5,1,2453.0,True
rejoin_clear,5,6,2483.0,True
rejoin_clear,5,2,2791.100858154641,False
rejoin_clear,5,11,2845.100858154641,True
rejoin_clear,5,18,5156.143366475151,True
rejoin_clear,5,15,5386.143366475151,False
rejoin_clear,5,13,5616.143366475151,False
rejoin_clear,5,4,7188.908726229519,True
rejoin_clear,6,2,11.0,False
rejoin_clear,6,3,17.0,False
rejoin_clear,6,4,23.0,True
rejoin_clear,6,6,35.0,True
rejoin_clear,6,9,53.0,False
rejoin_clear,6,10,59.0,True
rejoin_clear,6,14,83.0,True
rejoin_clear,6,15,89.0,False
rejoin_clear,6,16,367.0,False
rejoin_clear,6,11,619.4230650116957,False
rejoin_clear,6,18,661.4230650116957,False
rejoin_clear,6,20,673.4230650116957,False
rejoin_clear,6,1,1741.8249209889718,True
rejoin_clear,6,19,1825.8249209889718,False
rejoin_clear,6,12,3503.2600936431345,False
rejoin_clear,6,8,6023.808664615668,True
rejoin_clear,7,1,5.0,False
rejoin_clear,7,9,53.0,False
rejoin_clear,7,13,77.0,False
rejoin_clear,7,19,113.0,True
rejoin_clear,7,16,1037.5053362324115,True
rejoin_clear,7,18,1049.5053362324115,True
rejoin_clear,7,2,2926.719371919121,False
rejoin_clear,7,6,2950.719371919121,True
rejoin_clear,7,10,3881.906938744925,True
rejoin_clear,7,4,4724.6291988358325,False
rejoin_clear,7,5,4966.6291988358325,True
rejoin_clear,7,3,8757.455045943194,True
rejoin_clear,8,4,295.0,False
rejoin_clear,8,19,385.0,False
rejoin_clear,8,12,2998.049581808993,True
rejoin_clear,8,2,3204.049581808993,False
rejoin_clear,8,17,3869.368060525662,True
rejoin_clear,8,3,4305.368060525661,True
rejoin_clear,8,5,4311.368060525661,True
rejoin_clear,8,7,4323.368060525661,False
rejoin_clear,8,9,4335.368060525661,True
rejoin_clear,8,16,4371.368060525661,False
rejoin_clear,8,13,7533.514713440203,True
rejoin_clear,9,2,11.0,False
rejoin_clear,9,9,53.0,False
rejoin_clear,9,19,113.0,False
rejoin_clear,9,12,343.0,True
rejoin_clear,9,8,622.9889080885656,False
rejoin_clear,9,11,640.9889080885656,True
rejoin_clear,9,20,1220.9889080885655,True
rejoin_clear,9,5,1668.9889080885655,True
rejoin_clear,9,14,1722.9889080885655,True
rejoin_clear,9,16,4303.700315706723,True
rejoin_clear,9,18,4315.700315706723,True
rejoin_clear,9,1,5330.861378264546,False
rejoin_clear,9,6,7845.648616083916,True
rejoin_clear,10,2,11.0,False
rejoin_clear,10,7,41.0,False
rejoin_clear,10,10,59.0,False
rejoin_clear,10,13,77.0,False
rejoin_clear,10,14,83.0,True
rejoin_clear,10,16,95.0,True
rejoin_clear,10,17,645.0,True
rejoin_clear,10,19,657.0,True
rejoin_clear,10,1,4577.177641977948,True
rejoin_clear,10,8,4619.177641977948,False
rejoin_clear,10,15,4661.177641977948,True
rejoin_clear,10,11,5199.028347665518,False
rejoin_clear,10,5,5505.4262882347575,True
rejoin_clear,10,3,6072.183966603362,True
rejoin_clear,11,3,17.0,False
rejoin_clear,11,7,41.0,True
rejoin_clear,11,8,47.0,True
rejoin_clear,11,17,101.0,False
rejoin_clear,11,18,107.0,False
rejoin_clear,11,11,337.0,True
rejoin_clear,11,19,385.0,False
rejoin_clear,11,13,717.5501237053138,True
rejoin_clear,11,9,1090.8869762225959,False
rejoin_clear,11,20,1150.8869762225959,True
rejoin_clear,11,2,1314.8869762225959,True
rejoin_clear,11,15,4846.16810346747,True
rejoin_clear,11,10,5734.491037702186,True
rejoin_clear,12,5,29.0,False
rejoin_clear,12,6,35.0,False
rejoin_clear,12,8,47.0,False
rejoin_clear,12,15,89.0,True
rejoin_clear,12,17,101.0,True
rejoin_clear,12,13,349.0,True
rejoin_clear,12,1,731.0314570895483,True
rejoin_clear,12,19,1744.996860129673,True
rejoin_clear,12,16,3353.437747081835,True
rejoin_clear,12,4,4396.236855376523,True
rejoin_clear,12,11,4668.236855376523,True
rejoin_clear,12,9,5143.4556841531175,True
rejoin_clear,12,12,8430.852093927513,True
rejoin_clear,13,5,29.0,False
rejoin_clear,13,8,47.0,True
rejoin_clear,13,12,71.0,False
rejoin_clear,13,2,283.0,False
rejoin_clear,13,3,289.0,False
rejoin_clear,13,18,379.0,False
rejoin_clear,13,9,1144.3266154696976,True
rejoin_clear,13,6,2173.987930928749,True
