label,strategy,cases,all_clear_case_rate,mean_virtual_time_s,delta_mean_virtual_vs_baseline_pct,p95_virtual_time_s,max_virtual_time_s,mean_movement_distance_m,mean_measure_count,mean_no_signal_count,mean_no_signal_rate,mean_first_clear_time_s,mean_measurements_before_first_clear,mean_wall_time_s,strategy_config
s760,lattice,100,1.0,10683.703391890127,-14.861620145105137,11647.729729314473,12688.453280123169,38249.016959450644,495.24,449.59,0.9058873344142551,8786.156989558025,495.11,0.027651941839831124,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0}"
s770,lattice,100,1.0,10791.385168486606,-14.003504596307693,11903.386769508208,12892.736189542435,38770.425842433026,495.82,450.23,0.9061960841473753,8881.309514611092,495.68,0.027832455080060756,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 770.0}"
s775,lattice,100,1.0,10796.959349970499,-13.959083971441222,11826.372884986577,12911.661204590375,38796.24674985249,495.87,450.85,0.9072121986177816,8877.933662852838,495.73,0.029206193370227992,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 775.0}"
s750,lattice,100,1.0,10844.907414604724,-13.576986079877285,11775.897667257595,12622.249094046629,39015.537073023625,496.56,450.68,0.9051931683450692,8932.509601355167,496.51,0.029937898110001696,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 750.0}"
s790,lattice,100,1.0,10972.006868438153,-12.56413115655226,11835.241457270678,12330.543256953677,39581.03434219076,498.91,454.17,0.908594268260008,9062.670147023588,498.72,0.029081493839694304,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 790.0}"
s780,lattice,100,1.0,11143.487866028612,-11.197599929016011,11975.763087544361,12813.870819134168,40605.839330143055,493.34,448.92,0.9071485648515762,9224.61661384722,493.17,0.028702854139992268,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 780.0}"
s800,lattice,100,1.0,11331.604192563718,-9.698501846827511,12347.479109661408,12797.16624269215,41958.62096281859,479.59,435.62,0.905676770032532,9427.438585751574,479.36,0.030508449519948043,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 800.0}"
s950,lattice,100,1.0,11441.28709340753,-8.824439348731971,12636.0196094073,13531.113152938446,43331.035467037655,452.37,412.42,0.9105181811969031,9217.743204839668,450.27,0.04478288264010189,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 950.0}"
s700,lattice,100,1.0,11540.81240328396,-8.031322643164529,12415.207064921844,13556.136699045876,40417.11201641979,565.81,517.57,0.9128761398187774,9654.767403842543,565.75,0.03120765166997444,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 700.0}"
s980,lattice,100,1.0,11654.55389339258,-7.124917267152286,13025.199859512315,13273.580714698986,44154.8694669629,460.57,420.93,0.9127743794996579,9312.523544351297,457.68,0.05196664525996311,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 980.0}"
s850,lattice,100,1.0,11842.754417388847,-5.6251482158093395,12709.866761120877,13116.541702487379,43751.472086944224,505.05,462.33,0.9135483714830357,9894.254855213967,504.69,0.034166698759945574,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 850.0}"
s725,lattice,100,1.0,12529.428875376148,-0.15304283284307552,13472.070668330525,14193.62711713052,45551.44437688075,559.43,511.98,0.9123892492457882,10647.442106277767,559.39,0.030124615900022036,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 725.0}"
s900,lattice,100,1.0,12548.633659812225,0.0,13662.13545253496,14282.67328258071,47037.71829906113,513.24,472.23,0.9181986321614585,10549.727831267948,512.4,0.034354649660272116,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 900.0}"
