strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
lattice,0,16,8,16,1.0,True,566.6808529895684,9066.893647833094,6731.893647833093,33659.46823916547,1880.0,376,318,0.8457446808510638,58,0,375,16,16,16,8,8,1960.9375,5995.0,6955.320262433471,9066.893647833094,376,0.02957235099893296
lattice,1,11,7,11,1.0,True,997.410832875434,10971.519161629774,7899.519161629774,39497.59580814888,2515.0,503,464,0.9224652087475149,39,0,502,11,11,11,7,7,1714.3636363636363,5692.0,8999.31659328519,10971.519161629774,503,0.019348744997842005
lattice,2,16,6,16,1.0,True,470.22884227716224,7523.661476434596,5530.661476434595,27653.307382172974,1595.0,319,263,0.8244514106583072,56,0,318,16,16,16,8,8,1608.4375,5471.0,5901.673753464066,7523.661476434596,319,0.026147350999963237
lattice,3,11,2,11,1.0,True,967.6362958947328,10643.999254842061,7415.99925484206,37079.9962742103,2645.0,529,488,0.9224952741020794,41,0,528,11,11,11,2,2,2196.090909090909,5450.0,9045.457475544721,10643.999254842061,529,0.022371552997356048
lattice,4,11,5,11,1.0,True,963.9720245455254,10603.69227000078,7303.69227000078,36518.46135000391,2705.0,541,497,0.9186691312384473,44,0,540,11,11,11,7,7,1939.2727272727273,5269.0,9099.208046553676,10603.69227000078,541,0.025981926002714317
lattice,5,14,6,14,1.0,True,781.299717120761,10938.196039690654,7875.196039690656,39375.98019845328,2495.0,499,446,0.8937875751503006,53,0,498,14,14,14,4,4,2774.1428571428573,6451.0,8767.455081654958,10938.196039690654,499,0.026618333999067545
lattice,6,16,6,16,1.0,True,544.0132101178979,8704.211361886366,6525.211361886363,32626.056809431822,1750.0,350,293,0.8371428571428572,57,0,349,16,16,16,7,7,1460.4375,4632.0,6207.104498026997,8704.211361886366,350,0.027380028001061874
lattice,7,12,7,12,1.0,True,889.6054887634992,10675.265865161991,7436.265865161987,37181.32932580993,2650.0,530,488,0.9207547169811321,42,0,529,12,12,12,10,10,2338.8333333333335,4914.0,8902.227603886591,10675.265865161991,530,0.021454367000842467
lattice,8,11,6,11,1.0,True,985.738793188119,10843.126725069309,7561.126725069309,37805.63362534655,2690.0,538,509,0.9460966542750929,29,0,537,11,11,11,3,3,3631.0,7602.0,9025.803555167304,10843.126725069309,538,0.012021956001262879
lattice,9,13,8,13,1.0,True,798.4030455396625,10379.239592015612,7309.239592015612,36546.19796007806,2505.0,501,461,0.9201596806387226,40,0,500,13,13,13,5,5,2328.923076923077,6475.0,8769.525005394005,10379.239592015612,501,0.017470229002356064
lattice,10,14,8,14,1.0,True,766.4884322318234,10730.838051245528,7277.838051245526,36389.19025622763,2820.0,564,511,0.9060283687943262,53,0,563,14,14,14,9,9,2093.785714285714,6673.0,9092.055433498239,10730.838051245528,564,0.02750433799883467
lattice,11,13,8,13,1.0,True,795.6725475389018,10343.743118005723,7423.743118005724,37118.71559002862,2380.0,476,430,0.9033613445378151,46,0,475,13,13,13,12,12,1609.4615384615386,4764.0,8665.09777036182,10343.743118005723,476,0.0236724909991608
lattice,12,13,10,13,1.0,True,883.2625215559975,11482.412780227967,8288.412780227962,41442.06390113981,2610.0,522,479,0.9176245210727969,43,0,519,13,13,13,8,8,1914.4615384615386,7494.0,9484.947116004936,11482.412780227967,522,0.04592182899796171
lattice,13,12,6,12,1.0,True,891.2171984074322,10694.606380889187,7725.606380889184,38628.03190444593,2425.0,485,442,0.911340206185567,43,0,484,12,12,12,5,5,1961.25,6687.0,8769.838363628702,10694.606380889187,485,0.022864103000756586
lattice,14,10,6,10,1.0,True,1031.229328045355,10312.29328045355,6831.293280453554,34156.46640226776,2860.0,572,538,0.9405594405594405,34,0,571,10,10,10,7,7,2287.5,5040.0,9194.32435748815,10312.29328045355,572,0.017347732002235716
lattice,15,11,5,11,1.0,True,1035.991006224752,11395.901068472273,8137.901068472272,40689.50534236137,2670.0,534,498,0.9325842696629213,36,0,533,11,11,11,4,4,2010.090909090909,6903.0,9198.820200800605,11395.901068472273,534,0.02473096100220573
lattice,16,12,8,12,1.0,True,863.4495805740713,10361.394966888856,7500.394966888857,37501.97483444429,2335.0,467,425,0.9100642398286938,42,0,466,12,12,12,6,6,1243.5833333333333,4758.0,8687.475534269908,10361.394966888856,467,0.02045572200222523
lattice,17,14,8,14,1.0,True,777.497970240837,10884.971583371718,7563.971583371717,37819.857916858586,2710.0,542,481,0.8874538745387454,61,0,541,14,14,14,7,7,3091.785714285714,6830.0,8956.793609905952,10884.971583371718,542,0.03612169800180709
lattice,18,11,4,11,1.0,True,917.4764941141606,10092.241435255766,7098.241435255764,35491.20717627882,2450.0,490,446,0.9102040816326531,44,0,489,11,11,11,2,2,1287.1818181818182,4149.0,8651.046969537014,10092.241435255766,490,0.02505419099907158
lattice,19,15,10,15,1.0,True,720.326110168251,10804.891652523766,8007.891652523768,40039.458262618835,2270.0,454,404,0.8898678414096917,50,0,452,15,15,15,12,12,2725.733333333333,7538.0,8929.04068218525,10804.891652523766,454,0.05129669799862313
lattice,20,15,6,15,1.0,True,688.2219042823341,10323.328564235011,7435.328564235011,37176.64282117506,2345.0,469,412,0.8784648187633263,57,0,468,15,15,15,5,5,1686.2666666666667,7477.0,8530.504957459518,10323.328564235011,469,0.03189878599732765
lattice,21,11,5,11,1.0,True,992.2393311943088,10914.632643137396,7638.632643137399,38193.163215687,2685.0,537,499,0.9292364990689013,38,0,536,11,11,11,6,6,1889.6363636363637,6758.0,9138.009912756877,10914.632643137396,537,0.01883453099799226
lattice,22,11,2,11,1.0,True,950.5762251069439,10456.338476176383,7414.338476176379,37071.69238088191,2490.0,498,464,0.9317269076305221,34,0,497,11,11,11,2,2,1913.2727272727273,4565.0,8752.698044167391,10456.338476176383,498,0.01569768999979715
lattice,23,16,9,16,1.0,True,563.5354064726553,9016.566503562484,6639.566503562484,33197.83251781243,1915.0,383,332,0.8668407310704961,51,0,382,16,16,16,7,7,1713.3125,6182.0,7043.487468220277,9016.566503562484,383,0.02156820199888898
lattice,24,15,10,15,1.0,True,713.300481436387,10699.507221545806,7775.507221545806,38877.53610772902,2375.0,475,418,0.88,57,0,474,15,15,15,9,9,2331.6,6150.0,8572.7053984123,10699.507221545806,475,0.029619642002217006
lattice,25,13,7,13,1.0,True,814.8416000414362,10592.94080053867,7552.940800538671,37764.70400269337,2480.0,496,450,0.907258064516129,46,0,495,13,13,13,6,6,1365.5384615384614,4727.0,8766.653256271631,10592.94080053867,496,0.021544057999562938
lattice,26,15,7,15,1.0,True,754.1070373245741,11311.60555986861,8485.605559868609,42428.02779934306,2295.0,459,408,0.8888888888888888,51,0,456,15,15,15,6,6,1796.4666666666667,5964.0,8885.058752121588,11311.60555986861,459,0.04909846300142817
lattice,27,15,6,15,1.0,True,706.717668679521,10600.765030192815,7874.765030192812,39373.825150964076,2210.0,442,385,0.8710407239819005,57,0,441,15,15,15,8,8,1756.0666666666666,4728.0,8408.780415311232,10600.765030192815,442,0.027626090002740966
lattice,28,10,6,10,1.0,True,1064.3838334971479,10643.838334971479,7426.8383349714795,37134.19167485741,2640.0,528,496,0.9393939393939394,32,0,527,10,10,10,4,4,1537.2,4884.0,9129.37115775155,10643.838334971479,528,0.014498763001029147
lattice,29,14,7,14,1.0,True,756.6393931624086,10592.95150427372,8057.951504273719,40289.7575213686,2055.0,411,362,0.8807785888077859,49,0,410,14,14,14,4,4,1372.2142857142858,5416.0,8284.53110055953,10592.95150427372,411,0.022129076001874637
lattice,30,14,5,14,1.0,True,789.5072064667686,11053.10089053476,7936.100890534758,39680.50445267379,2540.0,508,462,0.9094488188976378,46,0,507,14,14,14,6,6,3111.8571428571427,8097.0,8813.950255347007,11053.10089053476,508,0.020504811000137124
lattice,31,10,5,10,1.0,True,1105.2785633173744,11052.785633173744,7703.785633173742,38518.92816586872,2750.0,550,514,0.9345454545454546,36,0,549,10,10,10,7,7,1521.4,5040.0,9312.63743537714,11052.785633173744,550,0.017965676001040265
lattice,32,10,6,10,1.0,True,1123.280586625069,11232.80586625069,7805.805866250692,39029.02933125346,2815.0,563,528,0.9378330373001776,35,0,562,10,10,10,6,6,2681.1,7662.0,9102.487450349212,11232.80586625069,563,0.017401357003109297
lattice,33,14,6,14,1.0,True,819.4787753304424,11472.702854626194,8351.702854626194,41758.51427313097,2545.0,509,461,0.9056974459724951,48,0,506,14,14,14,7,7,1075.9285714285713,4775.0,9528.816151970432,11472.702854626194,509,0.03994318499826477
lattice,34,14,10,14,1.0,True,785.8123453116735,11001.37283436343,8028.372834363432,40141.86417181715,2420.0,484,431,0.890495867768595,53,0,483,14,14,14,17,17,1599.0,6488.0,8693.369887373336,11001.37283436343,484,0.02716097099983017
lattice,35,14,9,14,1.0,True,759.592293706918,10634.292111896852,7739.292111896853,38696.460559484265,2355.0,471,425,0.9023354564755839,46,0,470,14,14,14,9,9,2347.4285714285716,7103.0,8594.364324079519,10634.292111896852,471,0.019820134999463335
lattice,36,12,7,12,1.0,True,920.4541852961062,11045.450223553275,7988.450223553275,39942.25111776637,2500.0,500,452,0.904,48,0,497,12,12,12,11,11,1662.4166666666667,7344.0,9023.357125986138,11045.450223553275,500,0.025049724001291906
