strategy,seed,channel,first_seen_time_s,directional
lattice,0,5,29.0,False
lattice,0,6,35.0,False
lattice,0,13,77.0,False
lattice,0,20,119.0,False
lattice,0,10,332.0,False
lattice,0,12,344.0,True
lattice,0,7,848.0,True
lattice,0,18,1181.0,False
lattice,0,14,1691.0,True
lattice,0,8,2693.0,True
lattice,0,9,3464.0,True
lattice,0,1,4175.0,False
lattice,0,3,4187.0,True
lattice,0,4,4193.0,False
lattice,0,2,4673.0,True
lattice,0,16,5207.0,True
lattice,1,7,41.0,False
lattice,1,13,77.0,True
lattice,1,14,83.0,False
lattice,1,19,113.0,False
lattice,1,17,374.0,True
lattice,1,8,593.0,True
lattice,1,9,1667.0,True
lattice,1,3,3956.0,True
lattice,1,4,4211.0,True
lattice,1,11,4235.0,False
lattice,1,16,4265.0,True
lattice,2,6,35.0,False
lattice,2,13,77.0,False
lattice,2,15,89.0,True
lattice,2,2,284.0,False
lattice,2,4,296.0,True
lattice,2,16,368.0,False
lattice,2,17,374.0,False
lattice,2,1,1358.0,False
lattice,2,19,1727.0,True
lattice,2,12,2474.0,True
lattice,2,3,4217.0,False
lattice,2,5,4229.0,False
lattice,2,10,4253.0,False
lattice,2,11,4259.0,False
lattice,2,14,4271.0,True
lattice,2,20,4301.0,True
lattice,3,1,5.0,False
lattice,3,2,11.0,True
lattice,3,8,47.0,False
lattice,3,16,95.0,False
lattice,3,19,113.0,False
lattice,3,10,1151.0,True
lattice,3,5,1394.0,False
lattice,3,11,1430.0,False
lattice,3,12,2783.0,False
lattice,3,14,4034.0,False
lattice,3,18,4508.0,False
lattice,4,2,11.0,False
lattice,4,4,23.0,True
lattice,4,9,53.0,False
lattice,4,17,101.0,True
lattice,4,5,302.0,False
lattice,4,10,332.0,True
lattice,4,13,1169.0,True
lattice,4,1,1370.0,False
lattice,4,16,1454.0,False
lattice,4,15,3902.0,False
lattice,4,7,4097.0,True
lattice,5,3,17.0,False
lattice,5,8,47.0,False
lattice,5,9,53.0,False
lattice,5,12,71.0,False
lattice,5,17,101.0,True
lattice,5,7,1952.0,False
lattice,5,1,2462.0,True
lattice,5,6,2492.0,True
lattice,5,2,2741.0,False
lattice,5,4,2753.0,True
lattice,5,11,2795.0,True
lattice,5,13,4094.0,False
lattice,5,15,4106.0,False
lattice,5,18,5900.0,True
lattice,6,2,11.0,False
lattice,6,3,17.0,False
lattice,6,4,23.0,True
lattice,6,6,35.0,True
lattice,6,9,53.0,False
lattice,6,10,59.0,True
lattice,6,14,83.0,True
lattice,6,15,89.0,False
lattice,6,16,368.0,False
lattice,6,11,1382.0,False
lattice,6,18,1418.0,False
lattice,6,20,1685.0,False
lattice,6,12,2639.0,False
lattice,6,19,4001.0,False
lattice,6,1,4160.0,True
lattice,6,8,4994.0,True
lattice,7,1,5.0,False
lattice,7,9,53.0,False
lattice,7,13,77.0,False
