strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
lattice,0,16,8,16,1.0,True,613.8862515377631,9822.18002460421,7037.180024604207,35185.900123021034,2255.0,451,393,0.8713968957871396,58,0,450,16,16,16,8,8,2144.3125,5253.0,7663.298694934519,9822.18002460421,451,0.04611691599711776
lattice,1,11,7,11,1.0,True,975.4441441587394,10729.885585746133,7525.885585746132,37629.427928730656,2625.0,525,492,0.9371428571428572,33,0,524,11,11,11,8,8,1816.3636363636363,4279.0,9055.942330427686,10729.885585746133,525,0.023812711999198655
lattice,2,16,6,16,1.0,True,493.6296140434699,7898.073824695519,5527.073824695519,27635.369123477598,1910.0,382,326,0.8534031413612565,56,0,381,16,16,16,6,6,2053.25,4333.0,6088.278018327145,7898.073824695519,382,0.032960951000859495
lattice,3,11,2,11,1.0,True,947.3804163086519,10421.18457939517,7397.184579395172,36985.92289697586,2475.0,495,446,0.901010101010101,49,0,494,11,11,11,1,1,1416.4545454545455,4500.0,8903.05221223925,10421.18457939517,495,0.029692015999899013
lattice,4,11,5,11,1.0,True,943.8706225092587,10382.576847601846,7412.576847601844,37062.88423800921,2430.0,486,446,0.9176954732510288,40,0,485,11,11,11,7,7,1172.3636363636363,4123.0,8866.969121118602,10382.576847601846,486,0.020825200001127087
lattice,5,14,6,14,1.0,True,796.5672564670296,11151.941590538414,8172.941590538415,40864.707952692064,2425.0,485,433,0.8927835051546392,52,0,484,14,14,14,6,6,2123.8571428571427,5892.0,8817.503483907449,11151.941590538414,485,0.027350211999873864
lattice,6,16,6,16,1.0,True,532.8191915862234,8525.107065379574,6478.107065379576,32390.535326897872,1640.0,328,273,0.8323170731707317,55,0,327,16,16,16,7,7,1321.0625,5030.0,6130.649369177146,8525.107065379574,328,0.02629771099964273
lattice,7,12,7,12,1.0,True,921.8215038840559,11061.858046608671,7828.858046608675,39144.29023304337,2645.0,529,485,0.9168241965973535,44,0,528,12,12,12,5,5,2821.8333333333335,8442.0,9082.020548328765,11061.858046608671,529,0.02509964699856937
lattice,8,11,6,11,1.0,True,1015.3527377512563,11168.880115263819,7910.880115263817,39554.400576319094,2670.0,534,502,0.9400749063670412,32,0,533,11,11,11,5,5,3018.7272727272725,7057.0,9115.842280187599,11168.880115263819,534,0.0224826400008169
lattice,9,13,8,13,1.0,True,796.0787744075603,10349.024067298284,7489.024067298281,37445.12033649142,2330.0,466,422,0.9055793991416309,44,0,465,13,13,13,7,7,1912.3846153846155,4177.0,8795.157610514942,10349.024067298284,466,0.02224218599803862
