strategy,seed,channel,first_seen_time_s,directional
lattice,0,5,29.0,False
lattice,0,6,35.0,False
lattice,0,13,77.0,False
lattice,0,20,119.0,False
lattice,0,10,337.0,False
lattice,0,7,863.0,True
lattice,0,18,1473.0,False
lattice,0,14,1721.0,True
lattice,0,8,3529.0,True
lattice,0,9,3535.0,True
lattice,0,1,4261.0,False
lattice,0,3,4273.0,True
lattice,0,4,4279.0,False
lattice,0,12,4315.0,True
lattice,0,2,4769.0,True
lattice,0,16,5313.0,True
lattice,1,7,41.0,False
lattice,1,13,77.0,True
lattice,1,14,83.0,False
lattice,1,19,113.0,False
lattice,1,8,325.0,True
lattice,1,17,379.0,True
lattice,1,9,1939.0,True
lattice,1,3,3995.0,True
lattice,1,4,4255.0,True
lattice,1,11,4279.0,False
lattice,1,16,4303.0,True
lattice,2,6,35.0,False
lattice,2,13,77.0,False
lattice,2,15,89.0,True
lattice,2,2,289.0,False
lattice,2,4,301.0,True
lattice,2,16,373.0,False
lattice,2,17,379.0,False
lattice,2,1,1383.0,False
lattice,2,19,1757.0,True
lattice,2,12,2519.0,True
lattice,2,3,4297.0,False
lattice,2,5,4309.0,False
lattice,2,10,4333.0,False
lattice,2,11,4339.0,False
lattice,2,14,4351.0,True
lattice,2,20,4381.0,True
lattice,3,1,5.0,False
lattice,3,2,11.0,True
lattice,3,8,47.0,False
lattice,3,16,95.0,False
lattice,3,19,113.0,False
lattice,3,10,1171.0,True
lattice,3,5,1419.0,False
lattice,3,11,1455.0,False
lattice,3,12,2803.0,False
lattice,3,14,4055.0,False
lattice,3,18,4539.0,False
lattice,4,2,11.0,False
lattice,4,4,23.0,True
lattice,4,9,53.0,False
lattice,4,17,101.0,True
lattice,4,5,307.0,False
lattice,4,10,337.0,True
lattice,4,13,1189.0,True
lattice,4,1,1395.0,False
lattice,4,16,1479.0,False
lattice,4,15,3983.0,False
lattice,4,7,4183.0,True
lattice,5,3,17.0,False
lattice,5,8,47.0,False
lattice,5,9,53.0,False
lattice,5,12,71.0,False
lattice,5,17,101.0,True
lattice,5,7,1987.0,False
lattice,5,1,2507.0,True
lattice,5,6,2537.0,True
lattice,5,2,2791.0,False
lattice,5,4,2803.0,True
lattice,5,11,2845.0,True
lattice,5,13,4169.0,False
lattice,5,15,4181.0,False
lattice,5,18,6015.0,True
lattice,6,2,11.0,False
lattice,6,3,17.0,False
lattice,6,4,23.0,True
lattice,6,6,35.0,True
lattice,6,9,53.0,False
lattice,6,10,59.0,True
lattice,6,14,83.0,True
lattice,6,15,89.0,False
lattice,6,16,373.0,False
lattice,6,11,1401.0,False
lattice,6,18,1437.0,False
lattice,6,20,1709.0,False
lattice,6,12,2683.0,False
lattice,6,19,4081.0,False
lattice,6,1,4245.0,True
lattice,6,8,5099.0,True
lattice,7,1,5.0,False
lattice,7,9,53.0,False
lattice,7,13,77.0,False
