label,strategy,cases,all_clear_case_rate,mean_virtual_time_s,delta_mean_virtual_vs_baseline_pct,p95_virtual_time_s,max_virtual_time_s,mean_movement_distance_m,mean_measure_count,mean_no_signal_count,mean_no_signal_rate,mean_first_clear_time_s,mean_measurements_before_first_clear,mean_wall_time_s,strategy_config
t1500,opportunistic,100,1.0,10036.415687095148,-20.900503236121594,11134.811182468047,11767.673466109725,35111.378435475744,491.95,446.63,0.9051962918951787,1133.749036859995,85.49,0.029832737569922756,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1500.0}"
t100000,opportunistic,100,1.0,10064.455656419206,-20.67951324009548,11133.427727388065,11568.714298383054,35319.52828209603,489.68,444.58,0.9052777125347781,1006.253154831374,76.2,0.029869229290088697,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 100000.0}"
t3000,opportunistic,100,1.0,10066.396825953037,-20.664214398552193,11028.86360561588,11568.714298383054,35328.63412976519,489.7,444.62,0.9053219431027558,1006.253154831374,76.2,0.028806765559784252,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 3000.0}"
t1000,opportunistic,100,1.0,10092.804023900691,-20.456092681225435,11319.319387775977,12187.286469380124,35236.37011950346,497.18,451.62,0.9060478039134128,1417.4737364021225,106.18,0.03100224468005763,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 1000.0}"
t750,opportunistic,100,1.0,10214.22045638821,-19.499179475550132,11409.088978143134,11802.92590093319,35818.05228194105,498.03,452.58,0.9065960156250888,1607.372703908192,119.63,0.030102845849978622,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 750.0}"
t500,opportunistic,100,1.0,10477.855500200752,-17.421405901294087,11759.187893463662,12500.044432999057,37217.52750100376,495.32,449.9,0.906189791593247,1976.012683879429,145.5,0.027876502969811555,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 500.0}"
t300,opportunistic,100,1.0,10998.734876770777,-13.316225541502046,12210.301677602409,12857.191751788036,39821.67438385389,495.32,449.74,0.9060696847251183,2401.6720115835037,175.09,0.028694955359678715,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 300.0}"
t200,opportunistic,100,1.0,11345.126924623342,-10.586223365189495,12837.166944370396,13961.38373536671,41522.53462311671,496.36,450.74,0.90616481785063,2636.2119676571983,191.11,0.028467566650069786,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 200.0}"
t100,opportunistic,100,1.0,11739.056667939409,-7.4815647472040165,13276.707271136742,14165.384635716939,43525.98333969705,495.23,449.56,0.9058427173786795,3222.1389728574927,227.79,0.029515143119642744,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 100.0}"
t50,opportunistic,100,1.0,11958.04269284909,-5.755681233735133,13493.608922113413,14165.384635716939,44620.31346424546,495.25,449.64,0.9059636779314707,3835.0889524570757,259.77,0.029491495139736798,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 50.0}"
t0,opportunistic,100,1.0,12688.343286247531,0.0,14439.750049603737,15003.161629863796,48272.716431237655,495.22,449.57,0.9058834953833338,8954.148771695998,494.74,0.02989124997973704,"{""grid_spacing"": 600.0, ""grid_half_extent"": 1800.0, ""lattice_spacing"": 760.0, ""clear_detour_threshold_m"": 0.0}"
