strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
opportunistic,0,16,8,16,1.0,True,587.1076005386532,9393.72160861845,6602.721608618454,33013.60804309226,2260.0,452,393,0.8694690265486725,59,0,451,16,16,16,10,10,2075.7785516468175,5209.922403764154,1838.951473284125,9393.72160861845,135,0.030687176000355976
opportunistic,1,11,7,11,1.0,True,1012.1776040836235,11133.953644919859,7905.95364491986,39529.7682245993,2645.0,529,491,0.9281663516068053,38,0,528,11,11,11,8,8,1790.5276844642692,4286.363650329746,2882.8540398029345,11133.953644919859,211,0.021012853001593612
opportunistic,2,16,6,16,1.0,True,490.2148157567449,7843.437052107918,5442.437052107917,27212.185260539576,1935.0,387,326,0.8423772609819121,61,0,386,16,16,16,6,6,2036.1346962067491,4296.359189884664,4058.850859976189,7843.437052107918,295,0.03192328200020711
opportunistic,3,11,2,11,1.0,True,914.0862228180649,10054.948450998714,7078.948450998718,35394.74225499359,2435.0,487,441,0.9055441478439425,46,0,486,11,11,11,1,1,1393.867895531477,4444.359470025069,2345.2131619906845,10054.948450998714,173,0.026529439997830195
opportunistic,4,11,5,11,1.0,True,1011.3342959631548,11124.677255594703,8160.677255594703,40803.38627797352,2425.0,485,446,0.9195876288659793,39,0,484,11,11,11,7,7,1161.23159263687,4084.2737595027847,3778.974190724646,11124.677255594703,258,0.020119446999160573
opportunistic,5,14,6,14,1.0,True,925.2454219247412,12953.435906946377,9836.435906946375,49182.179534731884,2540.0,508,457,0.8996062992125984,51,0,507,14,14,14,7,7,2104.5371933065494,5876.5207062916925,4632.467859617342,12953.435906946377,332,0.02669584199975361
opportunistic,6,16,6,16,1.0,True,771.253980802008,12340.063692832127,9941.06369283213,49705.318464160635,1935.0,387,329,0.8501291989664083,58,0,384,16,16,16,8,8,1319.6535146562242,5038.510998425023,1991.3178935252965,12340.063692832127,145,0.0676774679996015
opportunistic,7,12,7,12,1.0,True,963.1219679659831,11557.463615591798,8210.463615591796,41052.318077958975,2740.0,548,504,0.9197080291970803,44,0,547,12,12,12,8,8,2666.8754036547216,6832.39525155634,2356.4533502207346,11557.463615591798,174,0.035073261002253275
opportunistic,8,11,6,11,1.0,True,1058.9464746257324,11648.411220883056,8378.411220883056,41892.05610441528,2680.0,536,502,0.9365671641791045,34,0,535,11,11,11,5,5,2996.726368139776,7028.469315707193,2791.1009563028806,11648.411220883056,205,0.01596675900145783
opportunistic,9,13,8,13,1.0,True,850.9976800737905,11062.969840959277,8250.969840959275,41254.849204796374,2290.0,458,418,0.9126637554585153,40,0,457,13,13,13,6,6,1926.1655388088157,4359.147172722873,2343.933964369474,11062.969840959277,169,0.01805778299967642
