strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
belief,2000,13,13,13,1.0,True,757.7227529384546,9850.39578819991,6966.395788199909,34831.97894099955,2350.0,470,427,0.9085106382978724,43,0,469,13,13,13,12,12,1580.3372173748285,5509.883927509072,1262.3029121056097,7689.363780874956,100,0.07095243200092227
belief,2001,14,14,14,1.0,True,767.5102064960026,10745.142890944036,7652.142890944033,38260.71445472016,2520.0,504,454,0.9007936507936508,50,0,503,14,14,14,15,15,1920.437571056588,4944.668096417995,729.1321854232499,9934.025132672647,60,0.10326147399973706
belief,2002,15,15,15,1.0,True,710.628256507104,10659.42384760656,8143.423847606559,40717.1192380328,2035.0,407,356,0.8746928746928747,51,0,406,15,15,15,14,14,1699.8541577950914,4529.685382258855,709.6260687736677,8575.069483578287,60,0.07261071399989305
belief,2003,10,10,10,1.0,True,1122.270068531875,11222.70068531875,7749.700685318749,38748.50342659375,2855.0,571,531,0.9299474605954466,40,0,568,10,10,10,17,17,1309.88756522586,4455.250728657457,1659.6529789472327,11222.70068531875,120,0.0998102250014199
belief,2004,14,14,14,1.0,True,777.1165958861072,10879.6323424055,7906.632342405499,39533.16171202748,2420.0,484,438,0.9049586776859504,46,0,483,14,14,14,14,14,2521.710383030434,6144.868949995676,2162.9889840645533,10467.423542649756,160,0.06687649399827933
belief,2005,13,13,13,1.0,True,918.6508651432861,11942.461246862718,8668.461246862718,43342.30623431359,2675.0,535,488,0.9121495327102803,47,0,534,13,13,13,18,18,1391.2752760240464,6317.49341200638,1339.5268203310923,11942.461246862718,100,0.13694685299924458
belief,2006,14,14,14,1.0,True,763.0804614228358,10683.126459919702,7596.126459919702,37980.63229959852,2515.0,503,457,0.9085487077534792,46,0,502,14,14,14,15,15,2309.1171906982145,7309.6976666720075,1901.4622139828143,10460.31139669626,140,0.08207669699913822
belief,2007,11,11,11,1.0,True,1059.627104401588,11655.898148417467,8320.89814841747,41604.49074208735,2735.0,547,514,0.9396709323583181,33,0,545,11,11,11,12,12,1800.254263465133,8500.179314069714,765.9478819860367,11655.898148417467,60,0.0815115009972942
belief,2008,11,11,11,1.0,True,1048.4532141339068,11532.985355472976,8245.985355472976,41229.92677736488,2695.0,539,501,0.9294990723562152,38,0,537,11,11,11,13,13,1453.8276223476873,6482.539368453685,811.8351112663114,11532.985355472976,60,0.0843649739981629
belief,2009,12,12,12,1.0,True,903.222056834577,10838.664682014924,7695.664682014922,38478.32341007462,2570.0,514,472,0.9182879377431906,42,0,513,12,12,12,11,11,1467.850252357681,4530.171135011456,506.14331287780834,10243.932271449996,40,0.07794276899949182
belief,2010,11,11,11,1.0,True,963.762944070574,10601.392384776314,7643.392384776319,38216.96192388158,2420.0,484,448,0.9256198347107438,36,0,483,11,11,11,9,9,1960.3776795754231,7596.157835493961,437.1192056961537,8672.364348715399,40,0.04459347599913599
belief,2011,14,14,14,1.0,True,763.539037736506,10689.546528311084,8028.546528311083,40142.73264155541,2160.0,432,384,0.8888888888888888,48,0,431,14,14,14,16,16,1103.638670819686,3884.8160503011895,1631.950838485126,9528.830115195058,120,0.07967124000060721
belief,2012,10,10,10,1.0,True,1009.8888425713437,10098.888425713438,6683.88842571344,33419.4421285672,2805.0,561,527,0.9393939393939394,34,0,560,10,10,10,11,11,2433.0037488172034,9463.008385702962,2946.676793521264,9811.284199507829,216,0.05650342499939143
belief,2013,13,13,13,1.0,True,821.5523255047791,10680.180231562128,7970.18023156213,39850.90115781066,2205.0,441,396,0.8979591836734694,45,0,440,13,13,13,15,15,937.6883334547178,4157.565990188808,789.4899941714361,7648.479461292764,60,0.0647803030005889
belief,2014,12,12,12,1.0,True,939.6995741743641,11276.39489009237,8332.394890092366,41661.974450461836,2405.0,481,440,0.9147609147609148,41,0,479,12,12,12,13,13,1239.4947548411776,6175.597907794822,428.23891343079833,11276.39489009237,40,0.08340417100043851
belief,2015,15,15,15,1.0,True,694.2301489173151,10413.452233759726,7839.452233759727,39197.26116879864,2085.0,417,370,0.8872901678657075,47,0,414,15,15,15,16,16,1559.4645711668832,5366.675686298116,763.5008287376714,10413.452233759726,60,0.08441812999808462
belief,2016,15,15,15,1.0,True,701.5988244837139,10523.982367255709,8085.982367255713,40429.91183627857,1970.0,394,342,0.868020304568528,52,0,393,15,15,15,16,16,1301.5316390906971,5249.050867945309,495.3766481740734,10382.182235764814,40,0.0789316839982348
belief,2017,11,11,11,1.0,True,1100.050139555642,12100.551535112063,8597.551535112061,42987.757675560315,2875.0,575,534,0.928695652173913,41,0,573,11,11,11,19,19,2219.932065928074,8977.070398057414,1633.7747576188106,12100.551535112063,120,0.11765345299863839
belief,2018,14,14,14,1.0,True,748.8497604102582,10483.896645743614,7807.896645743616,39039.48322871809,2175.0,435,387,0.8896551724137931,48,0,431,14,14,14,12,12,1699.5834053749888,5862.4975103670295,1003.1444249959906,10483.896645743614,80,0.11533229499764275
belief,2019,16,16,16,1.0,True,652.8700469044335,10445.920750470936,7576.920750470937,37884.6037523547,2325.0,465,409,0.8795698924731182,56,0,464,16,16,16,21,21,1418.5389360523595,5316.682858182014,1802.4579819895635,10445.920750470936,140,0.1340228049994039
belief,2020,14,14,14,1.0,True,785.357794480866,10995.009122732125,8292.009122732123,41460.045613660615,2195.0,439,390,0.8883826879271071,49,0,438,14,14,14,18,18,1003.999824725787,3352.4229981533117,445.2096347106771,10995.009122732125,40,0.0908184979998623
belief,2021,16,16,16,1.0,True,421.79816932705745,6748.770709232919,5145.770709232918,25728.853546164584,1270.0,254,203,0.7992125984251969,51,0,253,16,16,16,15,15,924.8902159838808,4510.823063748325,457.6000972949117,6748.770709232919,40,0.0667842010007007
belief,2022,14,14,14,1.0,True,838.9095754448781,11744.734056228293,8618.734056228297,43093.67028114148,2550.0,510,462,0.9058823529411765,48,0,506,14,14,14,14,14,1728.7278429584915,7251.327731546906,1813.2115004953773,11744.734056228293,140,0.1204871230002027
belief,2023,13,13,13,1.0,True,945.6773053718593,12293.804969834171,8887.804969834171,44439.02484917086,2785.0,557,506,0.9084380610412927,51,0,556,13,13,13,16,16,1701.816838083289,7405.856966193536,717.9430055107091,12293.804969834171,60,0.13345994300107122
belief,2024,13,13,13,1.0,True,834.1176537787195,10843.529499123353,7929.529499123351,39647.647495616744,2375.0,475,429,0.9031578947368422,46,0,474,13,13,13,11,11,1756.8333869033377,4018.0620965769813,1254.184479618611,9581.904054289258,100,0.07421366999915335
belief,2025,14,14,14,1.0,True,789.3736735811272,11051.23143013578,8168.231430135781,40841.1571506789,2345.0,469,421,0.8976545842217484,48,0,468,14,14,14,16,16,1769.7242219395646,7655.532347730619,752.6256555253495,11051.23143013578,60,0.1009536189994833
belief,2026,10,10,10,1.0,True,1023.956212531892,10239.56212531892,7052.562125318923,35262.81062659461,2615.0,523,485,0.9273422562141491,38,0,522,10,10,10,9,9,1073.8421785470982,2229.4217854709814,2040.345522572904,8015.63986315376,160,0.05696197200086317
belief,2027,10,10,10,1.0,True,1020.2492680705315,10202.492680705314,6841.492680705313,34207.46340352657,2760.0,552,518,0.9384057971014492,34,0,551,10,10,10,10,10,2581.1307692195296,7586.611270660424,1034.4450452927329,9820.02897382434,80,0.04601680100313388
belief,2028,12,12,12,1.0,True,862.2448999195412,10346.938799034495,7167.938799034495,35839.69399517247,2600.0,520,477,0.9173076923076923,43,0,519,12,12,12,14,14,1825.279799219208,6088.247642169445,1616.7197945106366,10346.938799034495,120,0.07840193700030795
belief,2029,15,15,15,1.0,True,688.6913179809901,10330.369769714851,7256.369769714851,36281.84884857424,2500.0,500,452,0.904,48,0,499,15,15,15,16,16,2929.9369370940035,9142.573702432193,785.3888502182458,10330.369769714851,60,0.08135711000068113
belief,2030,12,12,12,1.0,True,870.4927011786666,10445.912414143999,7368.912414144001,36844.56207072001,2515.0,503,463,0.9204771371769384,40,0,502,12,12,12,12,12,1678.2615830840389,6606.440435426295,526.1878524897963,9677.244309454423,40,0.07475863100262359
belief,2031,15,15,15,1.0,True,733.8191495547512,11007.287243321269,8197.287243321267,40986.43621660634,2280.0,456,405,0.8881578947368421,51,0,455,15,15,15,15,15,1544.3673286767123,6733.533529636389,472.6119555727412,11007.287243321269,40,0.07849959600207512
belief,2032,16,16,16,1.0,True,705.4958391915454,11287.933427064727,8569.933427064727,42849.66713532365,2200.0,440,389,0.884090909090909,51,0,438,16,16,16,15,15,2407.6187898253634,8758.792501124246,427.973140250237,11287.933427064727,40,0.07949120299963397
belief,2033,13,13,13,1.0,True,973.9373200920086,12661.185161196112,9071.18516119611,45355.925805980565,2940.0,588,543,0.923469387755102,45,0,585,13,13,13,14,14,2654.025745080728,6135.0525549497,2402.7101894110187,12661.185161196112,177,0.11969870000029914
