strategy,seed,channel,first_seen_time_s,directional
belief,2000,2,11.0,True
belief,2000,4,23.0,True
belief,2000,6,579.0,True
belief,2000,11,609.0,True
belief,2000,16,639.0,True
belief,2000,9,1141.0,True
belief,2000,13,1165.0,True
belief,2000,17,1189.0,True
belief,2000,5,1444.2053236182082,True
belief,2000,15,1498.2053236182082,True
belief,2000,7,1722.2053236182082,True
belief,2000,3,5013.883927509072,True
belief,2000,18,5509.883927509072,True
belief,2001,3,17.0,True
belief,2001,4,23.0,True
belief,2001,5,29.0,True
belief,2001,17,101.0,True
belief,2001,20,391.0,True
belief,2001,1,910.5102301232358,True
belief,2001,19,1012.5102301232358,True
belief,2001,14,1502.510230123236,True
belief,2001,10,2368.5028371346057,True
belief,2001,15,3208.5440890169675,True
belief,2001,18,3462.5440890169675,True
belief,2001,12,4006.668096417995,True
belief,2001,2,4908.668096417995,True
belief,2001,11,4944.668096417995,True
belief,2002,1,5.0,True
belief,2002,2,11.0,True
belief,2002,10,59.0,True
belief,2002,20,119.0,True
belief,2002,5,301.0,True
belief,2002,7,585.0,True
belief,2002,16,639.0,True
belief,2002,11,1778.672926840741,True
belief,2002,12,2032.672926840741,True
belief,2002,9,2516.6729268407407,True
belief,2002,13,2534.6729268407407,True
belief,2002,15,2546.6729268407407,True
belief,2002,4,3322.076968204956,True
belief,2002,14,4517.685382258855,True
belief,2002,17,4529.685382258855,True
belief,2003,16,95.0,True
belief,2003,14,355.0,True
belief,2003,8,591.0,True
belief,2003,13,621.0,True
belief,2003,15,633.0,True
belief,2003,2,1371.0,True
belief,2003,18,1467.0,True
belief,2003,10,1749.3124618005722,True
belief,2003,12,1761.3124618005722,True
belief,2003,20,4455.250728657457,True
belief,2004,6,35.0,True
belief,2004,4,295.0,True
belief,2004,7,857.0,True
belief,2004,3,1105.0,True
belief,2004,9,1413.0,True
belief,2004,5,1661.0,True
belief,2004,11,1697.0,True
belief,2004,12,1703.0,True
belief,2004,1,1909.0,True
belief,2004,15,3521.6445026958722,True
belief,2004,13,4717.91968944737,True
belief,2004,8,5101.2561101435795,True
belief,2004,19,5143.2561101435795,True
belief,2004,20,6144.868949995676,True
belief,2005,1,5.0,True
belief,2005,3,17.0,True
belief,2005,15,89.0,True
belief,2005,17,101.0,True
belief,2005,8,591.0,True
belief,2005,7,857.0,True
belief,2005,13,893.0,True
belief,2005,16,911.0,True
belief,2005,6,1123.0,True
belief,2005,14,1171.0,True
belief,2005,2,1651.5203002003577,True
belief,2005,4,4359.564876105868,True
belief,2005,11,6317.49341200638,True
belief,2006,12,343.0,True
belief,2006,5,573.0,True
belief,2006,11,609.0,True
belief,2006,17,917.0,True
belief,2006,18,923.0,True
belief,2006,8,1135.0,True
belief,2006,2,1371.0,True
belief,2006,3,1377.0,True
belief,2006,4,1383.0,True
belief,2006,10,1691.0,True
belief,2006,14,2972.2926231136894,True
belief,2006,13,5517.92628131578,True
belief,2006,19,6205.724098673527,True
belief,2006,20,7309.6976666720075,True
belief,2007,2,11.0,True
belief,2007,14,83.0,True
belief,2007,18,107.0,True
belief,2007,8,319.0,True
belief,2007,17,373.0,True
belief,2007,7,585.0,True
belief,2007,6,984.4251390970528,True
belief,2007,12,1430.8144166253762,True
belief,2007,19,3087.8326105578885,True
belief,2007,3,4321.545417766433,True
belief,2007,1,8500.179314069714,True
belief,2008,6,35.0,True
belief,2008,13,77.0,True
belief,2008,14,83.0,True
belief,2008,19,113.0,True
belief,2008,3,289.0,True
belief,2008,18,651.0,True
belief,2008,7,1303.8907289769004,True
belief,2008,4,1745.3334964673431,True
belief,2008,8,2017.3334964673431,True
belief,2008,16,3195.0067554592883,True
belief,2008,2,6482.539368453685,True
belief,2009,3,17.0,True
belief,2009,11,65.0,True
belief,2009,20,119.0,True
belief,2009,10,331.0,True
belief,2009,14,355.0,True
belief,2009,5,603.2987324635588,True
belief,2009,2,851.2987324635588,True
belief,2009,15,923.2987324635588,True
belief,2009,17,2264.8766341492046,True
belief,2009,6,3332.0879267293794,True
belief,2009,4,4222.171135011456,True
belief,2009,18,4530.171135011456,True
belief,2010,8,47.0,True
belief,2010,9,53.0,True
belief,2010,12,71.0,True
belief,2010,13,77.0,True
belief,2010,14,83.0,True
belief,2010,19,1095.2577902944095,True
belief,2010,17,1343.2577902944095,True
belief,2010,4,1537.2577902944095,True
belief,2010,15,4715.611634476233,True
belief,2010,16,4945.611634476233,True
belief,2010,5,7596.157835493961,True
belief,2011,1,5.0,True
belief,2011,10,59.0,True
belief,2011,14,83.0,True
belief,2011,17,101.0,True
belief,2011,8,319.0,True
belief,2011,18,379.0,True
belief,2011,5,573.0,True
belief,2011,4,839.0,True
belief,2011,20,1207.0,True
belief,2011,11,1699.2206913851414,True
belief,2011,9,2017.9682165964246,True
belief,2011,12,2029.9682165964246,True
belief,2011,6,2253.9682165964246,True
belief,2011,15,3884.8160503011895,True
belief,2012,1,5.0,True
belief,2012,5,29.0,True
belief,2012,6,307.0,True
belief,2012,9,869.0,True
belief,2012,12,887.0,True
belief,2012,16,911.0,True
belief,2012,7,1129.0,True
belief,2012,11,4914.293100368713,True
belief,2012,10,5815.736002100358,True
belief,2012,14,9463.008385702962,True
belief,2013,1,5.0,True
belief,2013,2,11.0,True
belief,2013,5,29.0,True
belief,2013,7,41.0,True
belief,2013,11,65.0,True
belief,2013,19,113.0,True
belief,2013,20,119.0,True
belief,2013,12,343.0,True
belief,2013,15,1443.2047057823588,True
belief,2013,9,1946.3925463133887,True
belief,2013,10,1952.3925463133887,True
belief,2013,13,1964.3925463133887,True
belief,2013,17,4157.565990188808,True
belief,2014,8,47.0,True
belief,2014,12,71.0,True
belief,2014,13,77.0,True
belief,2014,16,95.0,True
belief,2014,19,113.0,True
belief,2014,7,752.1603775608435,True
belief,2014,11,776.1603775608435,True
belief,2014,14,782.1603775608435,True
belief,2014,15,1048.1603775608435,True
belief,2014,1,1236.1603775608435,True
belief,2014,10,3700.537262495093,True
belief,2014,18,6175.597907794822,True
belief,2015,5,29.0,True
belief,2015,6,35.0,True
belief,2015,7,41.0,True
belief,2015,12,71.0,True
belief,2015,14,83.0,True
belief,2015,2,555.0,True
belief,2015,3,1262.5184524330593,True
belief,2015,10,1298.5184524330593,True
belief,2015,19,1346.5184524330593,True
belief,2015,16,1699.0490782794277,True
belief,2015,1,2135.0490782794277,True
belief,2015,9,2171.0490782794277,True
belief,2015,20,3543.2951445338367,True
belief,2015,17,3755.2951445338367,True
belief,2015,13,5366.675686298116,True
belief,2016,5,29.0,True
belief,2016,17,101.0,True
belief,2016,19,113.0,True
belief,2016,8,319.0,True
belief,2016,9,325.0,True
belief,2016,12,343.0,True
belief,2016,13,349.0,True
belief,2016,3,566.2562437123207,True
belief,2016,10,874.2562437123207,True
belief,2016,15,904.2562437123207,True
belief,2016,14,1587.844545443716,True
belief,2016,20,1874.6297869445818,True
belief,2016,11,2080.6297869445816,True
belief,2016,2,4807.050867945309,True
belief,2016,18,5249.050867945309,True
belief,2017,8,47.0,True
belief,2017,14,83.0,True
belief,2017,15,89.0,True
belief,2017,17,373.0,True
belief,2017,12,615.0,True
belief,2017,7,857.0,True
belief,2017,9,1141.0,True
belief,2017,19,1473.0,True
belief,2017,2,2655.139543738188,True
belief,2017,11,8109.042783413211,True
belief,2017,13,8977.070398057414,True
belief,2018,12,71.0,True
belief,2018,14,83.0,True
belief,2018,17,101.0,True
belief,2018,18,107.0,True
belief,2018,1,549.0,True
belief,2018,5,573.0,True
belief,2018,13,621.0,True
belief,2018,4,1176.2551820748185,True
belief,2018,7,1188.2551820748185,True
belief,2018,9,1584.6544963272593,True
belief,2018,11,2692.6130442776453,True
belief,2018,10,4162.446130064135,True
belief,2018,2,5022.446130064135,True
belief,2018,19,5862.4975103670295,True
belief,2019,8,47.0,True
belief,2019,13,77.0,True
belief,2019,15,89.0,True
belief,2019,16,95.0,True
belief,2019,11,337.0,True
belief,2019,17,373.0,True
belief,2019,7,585.0,True
belief,2019,9,597.0,True
belief,2019,2,1099.0,True
belief,2019,5,1117.0,True
belief,2019,6,1395.0,True
belief,2019,14,1443.0,True
belief,2019,20,1479.0,True
belief,2019,19,3348.2572604737247,True
belief,2019,4,5298.682858182014,True
belief,2019,10,5316.682858182014,True
belief,2020,3,17.0,True
belief,2020,8,47.0,True
belief,2020,11,65.0,True
belief,2020,15,89.0,True
belief,2020,20,119.0,True
belief,2020,16,367.0,True
belief,2020,19,657.623265022067,True
belief,2020,2,827.623265022067,True
belief,2020,9,1129.623265022067,True
belief,2020,4,1365.623265022067,True
belief,2020,6,1377.623265022067,True
belief,2020,18,2217.7291114486857,True
belief,2020,10,2423.7291114486857,True
belief,2020,7,3352.4229981533117,True
belief,2021,2,11.0,True
belief,2021,5,29.0,True
belief,2021,6,35.0,True
belief,2021,8,47.0,True
belief,2021,10,59.0,True
belief,2021,14,83.0,True
belief,2021,17,101.0,True
belief,2021,15,361.0,True
belief,2021,1,791.4748083726415,True
belief,2021,13,857.4748083726415,True
belief,2021,16,869.4748083726415,True
belief,2021,20,887.4748083726415,True
belief,2021,9,1087.4748083726415,True
belief,2021,12,2118.0097913564564,True
belief,2021,11,2950.0365587741044,True
belief,2021,18,4510.823063748325,True
belief,2022,7,313.0,True
belief,2022,14,355.0,True
belief,2022,6,579.0,True
belief,2022,10,603.0,True
belief,2022,11,609.0,True
belief,2022,12,887.0,True
belief,2022,15,1177.0,True
belief,2022,1,1365.0,True
belief,2022,9,1413.0,True
belief,2022,13,1437.0,True
belief,2022,3,2201.7800901799737,True
belief,2022,2,2727.7800901799737,True
belief,2022,20,3283.301889512029,True
belief,2022,18,7251.327731546906,True
belief,2023,5,29.0,True
belief,2023,15,89.0,True
belief,2023,12,343.0,True
belief,2023,17,373.0,True
belief,2023,3,561.0,True
belief,2023,9,597.0,True
belief,2023,11,1416.4700164102287,True
belief,2023,2,1634.4700164102287,True
belief,2023,18,1724.4700164102287,True
belief,2023,19,1730.4700164102287,True
belief,2023,13,1960.4700164102287,True
belief,2023,4,4259.4118468380775,True
belief,2023,20,7405.856966193536,True
belief,2024,12,71.0,True
belief,2024,9,325.0,True
belief,2024,5,573.0,True
belief,2024,10,875.0,True
belief,2024,14,899.0,True
belief,2024,20,935.0,True
belief,2024,4,1407.1965098459436,True
belief,2024,7,1691.1965098459436,True
belief,2024,15,1733.1965098459436,True
belief,2024,13,2371.0582104746154,True
belief,2024,6,3964.0620965769813,True
belief,2024,8,3976.0620965769813,True
belief,2024,19,4018.0620965769813,True
belief,2025,3,17.0,True
belief,2025,6,35.0,True
belief,2025,10,59.0,True
belief,2025,11,65.0,True
belief,2025,13,77.0,True
belief,2025,18,107.0,True
belief,2025,2,283.0,True
belief,2025,14,627.0,True
belief,2025,19,2193.9038680612875,True
belief,2025,17,2435.9038680612875,True
belief,2025,16,2683.9038680612875,True
belief,2025,4,4032.44757761971,True
belief,2025,7,4504.4475776197105,True
belief,2025,1,7655.532347730619,True
belief,2026,14,83.0,True
belief,2026,19,113.0,True
belief,2026,15,361.0,True
belief,2026,7,857.0,True
belief,2026,11,881.0,True
belief,2026,10,1147.0,True
belief,2026,17,1461.0,True
belief,2026,8,1679.0,True
belief,2026,4,1927.0,True
belief,2026,9,2229.4217854709814,True
belief,2027,1,5.0,True
belief,2027,3,17.0,True
belief,2027,15,89.0,True
belief,2027,17,101.0,True
belief,2027,19,929.0,True
belief,2027,14,2248.350970630154,True
belief,2027,7,2466.350970630154,True
belief,2027,13,6178.4972401372825,True
belief,2027,16,6190.4972401372825,True
belief,2027,11,7586.611270660424,True
belief,2028,5,29.0,True
belief,2028,6,35.0,True
belief,2028,10,59.0,True
belief,2028,11,65.0,True
belief,2028,19,385.0,True
belief,2028,18,1467.0,True
belief,2028,20,1479.0,True
belief,2028,3,1921.216415963713,True
belief,2028,4,1927.216415963713,True
belief,2028,1,4205.8385582668125,True
belief,2028,9,4241.8385582668125,True
belief,2028,12,6088.247642169445,True
belief,2029,9,53.0,True
belief,2029,17,101.0,True
belief,2029,13,349.0,True
belief,2029,15,361.0,True
belief,2029,4,963.5017779746654,True
belief,2029,7,981.5017779746654,True
belief,2029,19,1047.5017779746654,True
belief,2029,20,1319.5017779746654,True
belief,2029,3,1774.6360046124648,True
belief,2029,14,2100.6360046124646,True
belief,2029,16,2372.6360046124646,True
belief,2029,18,5715.417823377419,True
belief,2029,6,8724.573702432193,True
belief,2029,8,8942.573702432193,True
belief,2029,5,9142.573702432193,True
belief,2030,7,41.0,True
belief,2030,10,59.0,True
belief,2030,17,101.0,True
belief,2030,8,319.0,True
belief,2030,11,337.0,True
belief,2030,5,927.2533249044872,True
belief,2030,1,1169.2533249044873,True
belief,2030,13,1235.2533249044873,True
belief,2030,12,1495.2533249044873,True
belief,2030,20,2974.688319104386,True
belief,2030,16,4873.996942859838,True
belief,2030,3,6606.440435426295,True
belief,2031,5,29.0,True
belief,2031,6,35.0,True
belief,2031,7,41.0,True
belief,2031,8,47.0,True
belief,2031,15,89.0,True
belief,2031,2,836.1937941174763,True
belief,2031,9,872.1937941174763,True
belief,2031,4,1265.434386044521,True
belief,2031,19,1603.434386044521,True
belief,2031,16,1845.434386044521,True
belief,2031,10,2075.434386044521,True
belief,2031,13,2093.434386044521,True
belief,2031,14,2099.434386044521,True
belief,2031,12,3499.9824960122155,True
belief,2031,11,6733.533529636389,True
belief,2032,14,83.0,True
belief,2032,17,101.0,True
belief,2032,6,307.0,True
belief,2032,15,361.0,True
belief,2032,3,566.2232016840325,True
belief,2032,10,608.2232016840325,True
belief,2032,19,656.2232016840325,True
belief,2032,4,838.2232016840325,True
belief,2032,13,1158.2232016840326,True
belief,2032,18,3194.2350964608318,True
belief,2032,7,3376.2350964608318,True
belief,2032,20,3424.2350964608318,True
belief,2032,9,4127.7573146591485,True
belief,2032,11,4357.7573146591485,True
belief,2032,2,6603.772208960612,True
belief,2032,1,8758.792501124246,True
belief,2033,18,107.0,True
belief,2033,19,113.0,True
belief,2033,5,845.0,True
belief,2033,12,1703.0,True
belief,2033,14,1981.0,True
belief,2033,15,1987.0,True
belief,2033,17,1999.0,True
belief,2033,2,3489.5972652926807,True
belief,2033,7,3519.5972652926807,True
belief,2033,11,3959.6958668381335,True
belief,2033,6,4183.695866838134,True
belief,2033,13,4479.695866838134,True
belief,2033,4,6135.0525549497,True
belief,2034,4,23.0,True
belief,2034,10,59.0,True
belief,2034,12,71.0,True
belief,2034,15,89.0,True
belief,2034,16,95.0,True
belief,2034,17,101.0,True
belief,2034,20,119.0,True
belief,2034,2,1534.8701092689066,True
belief,2034,5,2110.7910628845607,True
belief,2034,1,2571.053719907371,True
belief,2035,8,47.0,True
belief,2035,11,65.0,True
belief,2035,16,95.0,True
belief,2035,17,101.0,True
belief,2035,18,379.0,True
belief,2035,3,561.0,True
belief,2035,13,621.0,True
belief,2035,20,663.0,True
belief,2035,14,973.7206610279035,True
belief,2035,6,1191.7206610279036,True
belief,2035,2,1433.7206610279036,True
belief,2035,12,1987.290301300007,True
belief,2035,5,2205.290301300007,True
belief,2035,10,3164.7423800185466,True
belief,2035,19,3530.6168342242513,True
belief,2035,15,6587.38772773587,True
belief,2036,2,11.0,True
belief,2036,19,113.0,True
belief,2036,1,277.0,True
belief,2036,5,573.0,True
belief,2036,14,627.0,True
belief,2036,9,1141.0,True
belief,2036,13,1165.0,True
belief,2036,20,1479.0,True
belief,2036,7,2630.488083031747,True
