strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
belief,2000,13,0,13,1.0,True,702.1042670853783,9127.355472109917,6867.355472109916,34336.77736054958,1830.0,366,323,0.8825136612021858,43,0,365,13,13,13,0,0,756.1808401184555,3545.5340869436645,429.87975352163465,6867.464257838357,40,0.04343571300341864
belief,2001,14,0,14,1.0,True,693.2310050370163,9705.234070518229,7098.234070518229,35491.17035259115,2115.0,423,369,0.8723404255319149,54,0,422,14,14,14,0,0,1095.5373940572767,2895.489449233421,419.42482941975464,7220.253829721805,40,0.0983211630009464
belief,2002,15,0,15,1.0,True,617.585617869148,9263.78426803722,7065.784268037217,35328.92134018609,1770.0,354,298,0.8418079096045198,56,0,353,15,15,15,0,0,1246.5607216682688,5984.212346639367,432.58129169942134,7470.966967945587,40,0.06830166299914708
belief,2003,10,0,10,1.0,True,938.5183306142692,9385.183306142691,6528.183306142691,32640.916530713464,2340.0,468,433,0.9252136752136753,35,0,467,10,10,10,0,0,804.1977013687249,1577.6779115749787,490.29333950493844,8815.699973184235,40,0.05336529800115386
belief,2004,14,0,14,1.0,True,679.9776468660044,9519.687056124061,7128.68705612406,35643.4352806203,1935.0,387,330,0.8527131782945736,57,0,386,14,14,14,0,0,743.8182200434725,2925.772442535701,718.6314681711168,6184.452799186922,60,0.10592613499829895
belief,2005,13,0,13,1.0,True,712.5148672657604,9262.693274454885,6990.693274454884,34953.466372274415,1840.0,368,324,0.8804347826086957,44,0,367,13,13,13,0,0,754.4111672070334,3151.1461360923126,543.0866987180416,3859.0543196160015,40,0.04622065200237557
belief,2006,14,0,14,1.0,True,675.5871227239487,9458.219718135282,6947.219718135281,34736.09859067641,2035.0,407,351,0.8624078624078624,56,0,406,14,14,14,0,0,665.8624936368827,1553.8004104832394,512.9127733817771,6176.498168874893,40,0.09565407499758294
belief,2007,11,0,11,1.0,True,867.0350617258609,9537.38567898447,6711.385678984469,33556.928394922346,2310.0,462,419,0.9069264069264069,43,0,461,11,11,11,0,0,845.3899022174651,5827.416856063893,487.8850695007236,7113.7772768404875,40,0.06324727900209837
belief,2008,11,0,11,1.0,True,904.4372325832974,9948.809558416271,7260.809558416269,36304.04779208135,2195.0,439,398,0.9066059225512528,41,0,438,11,11,11,0,0,1115.1950696025415,3121.6445900936005,546.9109787913417,5609.52267014454,40,0.052291352996689966
belief,2009,12,0,12,1.0,True,825.2155941846077,9902.587130215292,7311.58713021529,36557.93565107645,2110.0,422,378,0.8957345971563981,44,0,421,12,12,12,0,0,799.1816030629308,3489.235382780002,505.6605495362427,6475.288030334311,40,0.06157394500041846
belief,2010,11,0,11,1.0,True,919.0314492927074,10109.345942219781,7487.345942219781,37436.7297110989,2140.0,428,390,0.9112149532710281,38,0,427,11,11,11,0,0,709.2939879234945,4840.375981739406,754.811440867859,7825.861384731437,60,0.047776866998901824
belief,2011,14,0,14,1.0,True,676.7961047296087,9475.145466214522,7234.145466214522,36170.72733107261,1810.0,362,312,0.861878453038674,50,0,361,14,14,14,0,0,1055.2772837039863,3774.870100099095,529.7909356089533,7489.490512535787,40,0.06535385600000154
belief,2012,10,0,10,1.0,True,1064.9068213708397,10649.068213708397,7786.068213708399,38930.34106854199,2345.0,469,433,0.9232409381663113,36,0,468,10,10,10,0,0,655.2654033634801,1552.6635084087002,677.7895903127516,6972.321420181402,59,0.04582261299947277
belief,2013,13,0,13,1.0,True,769.3524175594074,10001.581428272297,7651.5814282722995,38257.9071413615,1905.0,381,332,0.8713910761154856,49,0,380,13,13,13,0,0,314.38251355007895,1709.9863380755132,745.8968195779935,5511.477257943972,60,0.06969248099994729
belief,2014,12,0,12,1.0,True,799.7175674558208,9596.61080946985,7143.610809469848,35718.05404734925,1995.0,399,356,0.8922305764411027,43,0,398,12,12,12,0,0,308.7145281753104,2349.574338103725,435.01860530159223,5866.483889354663,40,0.07206551199851674
belief,2015,15,0,15,1.0,True,578.0607872114342,8670.911808171513,6772.911808171514,33864.559040857566,1520.0,304,251,0.8256578947368421,53,0,303,15,15,15,0,0,529.4816847959128,2455.0747522204897,455.86850176419466,5288.813389206092,40,0.060756460999982664
belief,2016,15,0,15,1.0,True,589.8197166155817,8847.295749233725,6745.295749233723,33726.47874616862,1690.0,338,281,0.8313609467455622,57,0,337,15,15,15,0,0,358.5029871199428,1119.6595430708498,491.2074298788702,7009.071680473351,40,0.0856002280015673
belief,2017,11,0,11,1.0,True,836.0756566783118,9196.83222346143,6766.832223461431,33834.16111730716,1980.0,396,355,0.8964646464646465,41,0,395,11,11,11,0,0,328.47865523883206,2117.265207627153,752.1279035993688,3849.5671603687424,60,0.04061974599972018
belief,2018,14,0,14,1.0,True,695.447684932025,9736.26758904835,7411.26758904835,37056.33794524175,1880.0,376,327,0.8696808510638298,49,0,375,14,14,14,0,0,1057.5480377498498,5776.4212477993415,538.1605260107838,6405.025231224487,40,0.061287597000045935
belief,2019,16,0,16,1.0,True,325.3455855895954,5205.529369433526,3884.529369433528,19422.646847167634,1035.0,207,157,0.7584541062801933,50,0,206,16,16,16,0,0,738.8582869155499,4545.046869251849,470.537976907306,5205.529369433526,40,0.043901019998884294
belief,2020,14,0,14,1.0,True,684.829791258144,9587.617077614017,6992.617077614017,34963.08538807008,2105.0,421,372,0.8836104513064132,49,0,420,14,14,14,0,0,640.3491553284578,2737.531055866457,441.18507597796327,7261.433940352882,40,0.0809046060021501
belief,2021,16,0,16,1.0,True,409.4784358533164,6551.654973653062,5194.654973653062,25973.27486826531,1065.0,213,155,0.7276995305164319,58,0,212,16,16,16,0,0,622.6680893923044,2614.7356328429996,453.0911662079795,6551.654973653062,40,0.06638191900128732
belief,2022,14,0,14,1.0,True,676.3941145905662,9469.517604267927,7222.517604267929,36112.588021339645,1815.0,363,309,0.8512396694214877,54,0,362,14,14,14,0,0,374.74612832637825,1965.4764078462988,487.6839594051477,7503.853629722083,40,0.08404981500279973
belief,2023,13,0,13,1.0,True,705.156666864331,9167.036669236302,6835.036669236303,34175.18334618152,1890.0,378,325,0.8597883597883598,53,0,377,13,13,13,0,0,630.0966500842216,3209.1282255474403,763.7018874767888,5316.060133273483,60,0.06997096100167255
belief,2024,13,0,13,1.0,True,754.1262551123614,9803.641316460698,7465.6413164606965,37328.20658230348,1895.0,379,332,0.8759894459102903,47,0,378,13,13,13,0,0,538.0938535573551,1345.2755802146762,466.58286475691807,5806.938364511558,40,0.07077013799789711
belief,2025,14,0,14,1.0,True,677.904106555796,9490.657491781145,7309.657491781145,36548.28745890574,1760.0,352,302,0.8579545454545454,50,0,351,14,14,14,0,0,802.0841195405217,3739.642040040579,501.40514346461094,8326.09006264475,40,0.060428271997807315
belief,2026,10,0,10,1.0,True,887.6611460843836,8876.611460843837,6055.6114608438365,30278.057304219183,2310.0,462,429,0.9285714285714286,33,0,461,10,10,10,0,0,366.4126745092598,900.3755816975327,521.6474701882124,4302.220167933517,40,0.04490036999777658
belief,2027,10,0,10,1.0,True,1028.619495162639,10286.19495162639,7393.194951626393,36965.97475813196,2370.0,474,431,0.9092827004219409,43,0,473,10,10,10,0,0,371.0272548663041,1403.262785498786,1052.1864929202873,7007.586918555358,80,0.06876538000142318
belief,2028,12,0,12,1.0,True,889.5970605169472,10675.164726203366,7862.164726203364,39310.82363101682,2295.0,459,413,0.8997821350762527,46,0,458,12,12,12,0,0,759.0392783119809,1746.0547453210306,488.0488631865258,7434.4568042133815,40,0.0869331029971363
belief,2029,15,0,15,1.0,True,620.2246946370782,9303.370419556173,7327.370419556175,36636.85209778087,1585.0,317,261,0.8233438485804416,56,0,316,15,15,15,0,0,489.14257041725676,2624.0692781294256,703.3527844478474,6158.015614086676,60,0.06439774699902046
belief,2030,12,0,12,1.0,True,776.997264130533,9323.967169566396,6918.9671695663965,34594.835847831986,1955.0,391,351,0.8976982097186701,40,0,390,12,12,12,0,0,577.177854330282,2803.1966220699096,513.7538322160794,6752.937186914432,40,0.04674969199913903
belief,2031,15,0,15,1.0,True,627.3113634502962,9409.670451754442,7229.670451754442,36148.35225877221,1755.0,351,293,0.8347578347578347,58,0,350,15,15,15,0,0,965.8628467811562,2976.22907241884,472.6119555727412,7805.128666054869,40,0.08355857999777072
belief,2032,16,0,16,1.0,True,310.6704342710963,4970.726948337541,3415.726948337542,17078.634741687707,1230.0,246,192,0.7804878048780488,54,0,245,16,16,16,0,0,1336.7292601652246,3957.1865642382995,498.09930212128074,4970.726948337541,40,0.04847759300173493
