strategy,seed,channel,first_seen_time_s,directional
belief,2000,2,11.0,False
belief,2000,3,17.0,False
belief,2000,4,23.0,False
belief,2000,9,53.0,False
belief,2000,11,65.0,False
belief,2000,13,349.0,False
belief,2000,18,379.0,False
belief,2000,5,573.2602037916218,False
belief,2000,6,579.2602037916218,False
belief,2000,15,633.2602037916218,False
belief,2000,16,927.2686228788327,False
belief,2000,17,2674.7676003425595,False
belief,2000,7,3545.5340869436645,False
belief,2001,1,5.0,False
belief,2001,15,89.0,False
belief,2001,17,101.0,False
belief,2001,19,113.0,False
belief,2001,11,337.0,False
belief,2001,12,343.0,False
belief,2001,2,554.0254235449235,False
belief,2001,5,572.0254235449235,False
belief,2001,10,1134.0254235449233,False
belief,2001,3,2073.489449233421,False
belief,2001,4,2079.489449233421,False
belief,2001,20,2411.489449233421,False
belief,2001,14,2629.489449233421,False
belief,2001,18,2895.489449233421,False
belief,2002,1,5.0,False
belief,2002,2,11.0,False
belief,2002,7,41.0,False
belief,2002,13,77.0,False
belief,2002,14,83.0,False
belief,2002,5,301.0,False
belief,2002,10,331.0,False
belief,2002,12,343.0,False
belief,2002,15,361.0,False
belief,2002,4,840.7906292011952,False
belief,2002,11,2340.3623747113584,False
belief,2002,17,2585.348491490704,False
belief,2002,20,2603.348491490704,False
belief,2002,9,2791.348491490704,False
belief,2002,16,5984.212346639367,False
belief,2003,10,59.0,False
belief,2003,14,83.0,False
belief,2003,15,89.0,False
belief,2003,16,95.0,False
belief,2003,12,815.5874558123562,False
belief,2003,18,1153.6779115749787,False
belief,2003,8,1365.6779115749787,False
belief,2003,13,1389.6779115749787,False
belief,2003,20,1413.6779115749787,False
belief,2003,2,1577.6779115749787,False
belief,2004,1,5.0,False
belief,2004,4,23.0,False
belief,2004,6,35.0,False
belief,2004,9,53.0,False
belief,2004,11,65.0,False
belief,2004,12,71.0,False
belief,2004,13,77.0,False
belief,2004,15,89.0,False
belief,2004,3,289.0,False
belief,2004,20,391.0,False
belief,2004,8,876.1377530015131,False
belief,2004,5,2635.772442535701,False
belief,2004,7,2877.772442535701,False
belief,2004,19,2925.772442535701,False
belief,2005,1,5.0,False
belief,2005,2,11.0,False
belief,2005,3,17.0,False
belief,2005,7,41.0,False
belief,2005,8,47.0,False
belief,2005,11,65.0,False
belief,2005,13,77.0,False
belief,2005,14,83.0,False
belief,2005,16,95.0,False
belief,2005,6,307.0,False
belief,2005,15,2951.099518799561,False
belief,2005,17,2957.099518799561,False
belief,2005,4,3151.1461360923126,False
belief,2006,5,29.0,False
belief,2006,14,83.0,False
belief,2006,18,107.0,False
belief,2006,4,295.0,False
belief,2006,8,319.0,False
belief,2006,11,337.0,False
belief,2006,12,343.0,False
belief,2006,2,595.9577563278008,False
belief,2006,20,697.9577563278008,False
belief,2006,10,909.9577563278008,False
belief,2006,13,1275.8004104832394,False
belief,2006,19,1299.8004104832394,False
belief,2006,3,1475.8004104832394,False
belief,2006,17,1553.8004104832394,False
belief,2007,2,11.0,False
belief,2007,6,35.0,False
belief,2007,8,47.0,False
belief,2007,17,101.0,False
belief,2007,19,113.0,False
belief,2007,7,313.0,False
belief,2007,14,355.0,False
belief,2007,1,596.2780654662774,False
belief,2007,12,656.2780654662774,False
belief,2007,18,1244.3159373956692,False
belief,2007,3,5827.416856063893,False
belief,2008,7,41.0,False
belief,2008,14,83.0,False
belief,2008,16,95.0,False
belief,2008,18,107.0,False
belief,2008,4,295.0,False
belief,2008,8,319.0,False
belief,2008,19,385.0,False
belief,2008,2,2243.428292720378,False
