strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
opportunistic,2000,13,13,13,1.0,True,829.1677451269419,10779.180686650245,7409.180686650247,37045.903433251224,2755.0,551,509,0.9237749546279492,42,0,550,13,13,13,17,17,2598.113452441291,7632.213098258994,2468.5050218676884,10779.180686650245,180,0.023533972998848185
opportunistic,2001,14,14,14,1.0,True,742.9028231925043,10400.639524695061,7265.639524695061,36328.19762347531,2555.0,511,465,0.9099804305283757,46,0,510,14,14,14,15,15,2937.453509741241,8148.599529536684,2211.3173338592997,10400.639524695061,160,0.022688389999530045
opportunistic,2002,15,15,15,1.0,True,670.2690930079708,10054.036395119561,7208.036395119559,36040.181975597814,2310.0,462,412,0.8917748917748918,50,0,461,15,15,15,18,18,2127.777828065323,7698.0370062305055,1607.2392766025673,9610.388869791286,120,0.023639201001060428
opportunistic,2003,10,10,10,1.0,True,1052.9720255662353,10529.720255662352,7013.7202556623515,35068.601278311755,2890.0,578,537,0.9290657439446367,41,0,576,10,10,10,13,13,2447.5219490841528,5144.527680877403,2455.409243425013,10529.720255662352,180,0.034914572002890054
opportunistic,2004,14,14,14,1.0,True,735.7301533218813,10300.222146506338,7279.222146506338,36396.11073253169,2460.0,492,447,0.9085365853658537,45,0,491,14,14,14,12,12,3426.4016561910316,7225.913172143084,1357.7488315600003,10300.222146506338,100,0.02189298299708753
opportunistic,2005,13,13,13,1.0,True,881.6509009939309,11461.461712921102,8175.461712921098,40877.308564605504,2685.0,537,487,0.9068901303538175,50,0,536,13,13,13,18,18,2164.369292739452,9498.974433809282,2239.9883107382284,11461.461712921102,158,0.049531617001775885
opportunistic,2006,14,14,14,1.0,True,758.3590572183413,10617.026801056778,7680.02680105678,38400.13400528391,2390.0,478,435,0.9100418410041841,43,0,477,14,14,14,12,12,3025.131545976873,5324.1433673563215,1089.2937790078045,10277.413738230242,80,0.021017368002503645
opportunistic,2007,11,11,11,1.0,True,1020.7969201027931,11228.766121130724,7407.766121130721,37038.83060565362,3140.0,628,592,0.9426751592356688,36,0,626,11,11,11,13,13,3631.7506721522586,10000.296867012901,474.34177302677335,11228.766121130724,40,0.03197797499888111
opportunistic,2008,11,11,11,1.0,True,971.5101286932182,10686.6114156254,7363.611415625396,36818.057078127,2725.0,545,512,0.9394495412844037,33,0,543,11,11,11,11,11,2304.2215640647287,7092.002867835159,809.9370188118653,10686.6114156254,60,0.0322374379975372
opportunistic,2009,12,12,12,1.0,True,836.1209619552795,10033.451543463354,6866.451543463355,34332.257717316774,2590.0,518,471,0.9092664092664092,47,0,517,12,12,12,17,17,1907.757428021331,6443.8560085113895,1350.7809908566755,9517.372023391476,100,0.02696040500086383
opportunistic,2010,11,11,11,1.0,True,877.1090153489004,9648.199168837904,6492.199168837908,32460.995844189536,2585.0,517,480,0.9284332688588007,37,0,516,11,11,11,12,12,1601.521755941747,5312.394725006897,437.1192056961537,9113.38888760415,40,0.019379331002710387
opportunistic,2011,14,14,14,1.0,True,749.9483403366629,10499.27676471328,7274.276764713277,36371.38382356639,2630.0,526,475,0.903041825095057,51,0,525,14,14,14,19,19,1674.5918687211677,5612.962550892654,2431.5849741074453,10499.27676471328,180,0.02678615699915099
opportunistic,2012,10,10,10,1.0,True,1060.1098798811784,10601.098798811783,7042.098798811782,35210.493994058925,2925.0,585,549,0.9384615384615385,36,0,584,10,10,10,14,14,2905.6821761184883,5476.991681084508,2095.575069028832,10601.098798811783,160,0.021187178001127904
opportunistic,2013,13,13,13,1.0,True,791.4173004901307,10288.4249063717,7554.424906371702,37772.1245318585,2225.0,445,401,0.9011235955056179,44,0,444,13,13,13,16,16,692.8417326076568,5850.942523899538,1953.3277654782441,10288.4249063717,135,0.02302212599897757
opportunistic,2014,12,12,12,1.0,True,881.9422380252637,10583.306856303165,7326.306856303165,36631.53428151583,2665.0,533,491,0.9212007504690432,42,0,532,12,12,12,17,17,2253.1104990755252,7654.445857963617,2584.4191909309907,10583.306856303165,200,0.027792822998890188
opportunistic,2015,15,15,15,1.0,True,709.0897816005893,10636.34672400884,7630.3467240088385,38151.73362004419,2445.0,489,438,0.8957055214723927,51,0,486,15,15,15,15,15,2717.821469871823,8446.925917320212,2467.1476244667588,10636.34672400884,180,0.03544494699963252
opportunistic,2016,15,15,15,1.0,True,680.4249634919282,10206.374452378923,6910.374452378923,34551.87226189461,2685.0,537,480,0.8938547486033519,57,0,536,15,15,15,19,19,2386.2069240954243,6004.158135439467,2684.9513464653974,10068.018903972757,200,0.031057380998390727
opportunistic,2017,11,11,11,1.0,True,994.8380628200458,10943.218691020504,7451.218691020503,37256.09345510252,2865.0,573,530,0.924956369982548,43,0,572,11,11,11,19,19,2563.3982403779905,7281.499605340506,2655.5916302373803,10943.218691020504,200,0.05100858199875802
opportunistic,2018,14,14,14,1.0,True,754.4736268247088,10562.630775545924,7424.630775545924,37123.15387772963,2560.0,512,459,0.896484375,53,0,508,14,14,14,19,19,2037.839860726601,8335.701294049772,1263.5269955050837,10562.630775545924,100,0.07573232499998994
opportunistic,2019,16,16,16,1.0,True,652.0085283122522,10432.136452996036,7251.136452996039,36255.68226498019,2585.0,517,458,0.8858800773694391,59,0,516,16,16,16,20,20,3301.857648955178,9056.707374399879,3819.5783247677305,10432.136452996036,280,0.03133397000055993
opportunistic,2020,14,14,14,1.0,True,756.3910471068779,10589.47465949629,7562.4746594962935,37812.37329748147,2465.0,493,442,0.896551724137931,51,0,492,14,14,14,16,16,1528.0168214917794,6286.305950305809,538.0705420061022,10231.714443997478,40,0.02697030499984976
opportunistic,2021,16,16,16,1.0,True,532.0844440525052,8513.351104840083,6010.351104840083,30051.75552420041,2020.0,404,349,0.8638613861386139,55,0,403,16,16,16,23,23,1165.4075720880026,6850.853386377743,2081.5454029139996,8513.351104840083,160,0.028363878998789005
opportunistic,2022,14,14,14,1.0,True,758.0018380676522,10612.025732947131,7546.025732947131,37730.128664735654,2500.0,500,454,0.908,46,0,496,14,14,14,16,16,2655.8339375897463,6970.962419692574,1133.458950269956,10612.025732947131,80,0.05129346800094936
opportunistic,2023,13,13,13,1.0,True,835.3153558222966,10859.099625689856,7549.099625689859,37745.49812844929,2705.0,541,494,0.9131238447319778,47,0,540,13,13,13,15,15,2248.7625711325763,5215.973739283692,818.0472135140195,10645.098687730479,60,0.02604269799849135
opportunistic,2024,13,13,13,1.0,True,792.3937356141869,10301.11856298443,7297.118562984429,36485.59281492214,2450.0,490,447,0.9122448979591836,43,0,489,13,13,13,14,14,2381.6714692363453,7461.554145279212,2187.162271910764,9073.579492983754,156,0.02128590400025132
opportunistic,2025,14,14,14,1.0,True,780.5906997384948,10928.269796338927,7884.2697963389255,39421.34898169464,2480.0,496,449,0.905241935483871,47,0,494,14,14,14,13,13,2944.398513734838,7423.457571654021,2360.682946999569,10928.269796338927,173,0.043764032001490705
opportunistic,2026,10,10,10,1.0,True,1087.3225385840033,10873.225385840033,7416.225385840034,37081.12692920017,2840.0,568,537,0.9454225352112676,31,0,567,10,10,10,12,12,2372.3810944355537,7423.005880589433,2852.7524810199407,9875.126145389422,220,0.015729808001196943
opportunistic,2027,10,10,10,1.0,True,1023.170018962613,10231.70018962613,6954.700189626132,34773.500948130655,2690.0,538,503,0.9349442379182156,35,0,537,10,10,10,11,11,1702.3647659632036,6682.067171591,1913.4727400368406,10114.212195327178,140,0.018849020001653116
opportunistic,2028,12,12,12,1.0,True,847.6238306616292,10171.48596793955,6896.485967939553,34482.429839697776,2680.0,536,493,0.9197761194029851,43,0,535,12,12,12,12,12,2435.1389523658577,5975.414327956965,1353.7680301147366,9720.61865409263,100,0.022656282999378163
opportunistic,2029,15,15,15,1.0,True,674.9979554728684,10124.969332093026,7428.969332093027,37144.84666046514,2185.0,437,384,0.8787185354691075,53,0,436,15,15,15,19,19,2071.6821037901263,6498.533617538017,782.2174732055156,10124.969332093026,60,0.02612308099924121
opportunistic,2030,12,12,12,1.0,True,874.2438940917647,10490.926729101177,7047.9267291011765,35239.633645505884,2820.0,564,524,0.9290780141843972,40,0,563,12,12,12,14,14,2490.3335292524353,9507.181356929937,2353.6402021872223,9775.587368088034,180,0.020875670001260005
