strategy,seed,channel,first_seen_time_s,directional
opportunistic,2000,2,11.0,True
opportunistic,2000,4,23.0,True
opportunistic,2000,6,307.0,True
opportunistic,2000,11,337.0,True
opportunistic,2000,16,367.0,True
opportunistic,2000,9,1957.0,True
opportunistic,2000,13,1981.0,True
opportunistic,2000,17,2005.0,True
opportunistic,2000,15,3345.0162284062644,True
opportunistic,2000,5,4059.0162284062644,True
opportunistic,2000,18,4367.016228406264,True
opportunistic,2000,3,7384.213098258994,True
opportunistic,2000,7,7632.213098258994,True
opportunistic,2001,3,17.0,True
opportunistic,2001,4,23.0,True
opportunistic,2001,5,29.0,True
opportunistic,2001,17,101.0,True
opportunistic,2001,14,355.0,True
opportunistic,2001,2,555.0,True
opportunistic,2001,11,609.0,True
opportunistic,2001,20,3065.0684960404074,True
opportunistic,2001,10,3773.0684960404074,True
opportunistic,2001,15,5732.111188358739,True
opportunistic,2001,19,5750.111188358739,True
opportunistic,2001,1,5908.111188358739,True
opportunistic,2001,12,7058.279049683653,True
opportunistic,2001,18,8148.599529536684,True
opportunistic,2002,1,5.0,True
opportunistic,2002,2,11.0,True
opportunistic,2002,10,59.0,True
opportunistic,2002,20,119.0,True
opportunistic,2002,12,343.0,True
opportunistic,2002,17,645.0,True
opportunistic,2002,14,1443.0,True
opportunistic,2002,15,1749.931775794967,True
opportunistic,2002,9,2671.714288780145,True
opportunistic,2002,13,2695.714288780145,True
opportunistic,2002,5,3005.1183301443602,True
opportunistic,2002,4,3253.1183301443602,True
opportunistic,2002,7,3527.507373772621,True
opportunistic,2002,11,4690.5260273327385,True
opportunistic,2002,16,7698.0370062305055,True
opportunistic,2003,16,95.0,True
opportunistic,2003,14,355.0,True
opportunistic,2003,12,615.0,True
opportunistic,2003,15,1449.0,True
opportunistic,2003,20,2023.0,True
opportunistic,2003,8,2549.6306859052306,True
opportunistic,2003,13,2579.6306859052306,True
opportunistic,2003,2,4796.215219076831,True
opportunistic,2003,18,4868.215219076831,True
opportunistic,2003,10,5144.527680877403,True
opportunistic,2004,6,35.0,True
opportunistic,2004,4,295.0,True
opportunistic,2004,1,549.0,True
opportunistic,2004,13,621.0,True
opportunistic,2004,8,1135.0,True
opportunistic,2004,19,1473.0221708382307,True
opportunistic,2004,7,2758.886675968799,True
opportunistic,2004,20,4064.062707441945,True
opportunistic,2004,3,5222.337340894052,True
opportunistic,2004,9,5476.337340894052,True
opportunistic,2004,5,5936.337340894052,True
opportunistic,2004,11,6363.8132654571455,True
opportunistic,2004,15,6813.913172143084,True
opportunistic,2004,12,7225.913172143084,True
opportunistic,2005,1,5.0,True
opportunistic,2005,3,17.0,True
opportunistic,2005,15,89.0,True
opportunistic,2005,17,101.0,True
opportunistic,2005,7,313.0,True
opportunistic,2005,13,349.0,True
opportunistic,2005,16,367.0,True
opportunistic,2005,11,881.0,True
opportunistic,2005,8,1407.0,True
opportunistic,2005,14,3174.7657616821944,True
opportunistic,2005,6,4023.1125420216895,True
opportunistic,2005,2,7910.94806809971,True
opportunistic,2005,4,9498.974433809282,True
opportunistic,2006,12,343.0,True
opportunistic,2006,14,627.0,True
opportunistic,2006,20,663.0,True
opportunistic,2006,19,1822.9396687515057,True
opportunistic,2006,5,2004.9396687515057,True
opportunistic,2006,11,2040.9396687515057,True
opportunistic,2006,17,2965.2042634402433,True
opportunistic,2006,18,2971.2042634402433,True
opportunistic,2006,13,3562.8972737596077,True
opportunistic,2006,8,4852.1433673563215,True
opportunistic,2006,2,5052.1433673563215,True
opportunistic,2006,3,5058.1433673563215,True
opportunistic,2006,4,5064.1433673563215,True
opportunistic,2006,10,5324.1433673563215,True
opportunistic,2007,2,11.0,True
opportunistic,2007,14,83.0,True
opportunistic,2007,18,107.0,True
opportunistic,2007,17,373.0,True
opportunistic,2007,3,1100.3458099975858,True
opportunistic,2007,12,4457.617532748056,True
opportunistic,2007,6,4953.617532748056,True
opportunistic,2007,7,5245.41567861724,True
opportunistic,2007,8,5251.41567861724,True
opportunistic,2007,1,8366.548293933767,True
opportunistic,2007,19,10000.296867012901,True
opportunistic,2008,6,35.0,True
opportunistic,2008,13,77.0,True
opportunistic,2008,14,83.0,True
opportunistic,2008,19,113.0,True
opportunistic,2008,18,379.0,True
opportunistic,2008,7,585.0,True
opportunistic,2008,3,2365.2979814525106,True
opportunistic,2008,16,4164.839025039524,True
opportunistic,2008,8,5114.1486651924115,True
opportunistic,2008,4,5338.1486651924115,True
opportunistic,2008,2,7092.002867835159,True
opportunistic,2009,3,17.0,True
opportunistic,2009,11,65.0,True
opportunistic,2009,20,119.0,True
opportunistic,2009,2,283.0,True
opportunistic,2009,4,567.0,True
opportunistic,2009,18,651.0,True
opportunistic,2009,5,1448.3597086635962,True
opportunistic,2009,15,1508.3597086635962,True
