strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
opportunistic,2000,13,0,13,1.0,True,696.7428728431433,9057.657346960863,6167.657346960863,30838.28673480431,2355.0,471,428,0.9087048832271762,43,0,470,13,13,13,0,0,2071.755414458885,4662.1438994453765,1079.626311273394,7981.034248565393,80,0.020647239001846174
opportunistic,2001,14,0,14,1.0,True,655.1206748112214,9171.6894473571,6558.6894473571,32793.4472367855,2120.0,424,368,0.8679245283018868,56,0,423,14,14,14,0,0,2099.518303075912,6050.162161868391,419.42482941975464,8703.06626065381,40,0.030420898001466412
opportunistic,2002,15,0,15,1.0,True,624.5393794844234,9368.09069226635,6906.090692266351,34530.45346133175,1990.0,398,341,0.8567839195979899,57,0,397,15,15,15,0,0,1301.0840542608314,5861.751005166616,413.3326944155744,8241.424696379196,40,0.029042637997918064
opportunistic,2003,10,0,10,1.0,True,968.9443920294822,9689.443920294822,6220.443920294822,31102.21960147411,2850.0,570,532,0.9333333333333333,38,0,569,10,10,10,0,0,1897.463431312433,6260.125999189573,1075.2009097532562,8571.142829781447,80,0.02164584099955391
opportunistic,2004,14,0,14,1.0,True,733.0545525139465,10262.76373519525,7967.763735195249,39838.81867597625,1855.0,371,323,0.8706199460916442,48,0,370,14,14,14,0,0,854.835857840079,4610.861291597898,778.7479061588117,5749.62930948441,60,0.02229538100073114
opportunistic,2005,13,0,13,1.0,True,726.5136740880456,9444.677763144593,6950.677763144595,34753.388815722974,2025.0,405,354,0.8740740740740741,51,0,404,13,13,13,0,0,634.1253024289877,3527.628931576839,2040.5841177054806,7457.480314235742,138,0.02727131599749555
opportunistic,2006,14,0,14,1.0,True,687.9421141164987,9631.189597630982,6910.1895976309825,34550.94798815492,2210.0,442,387,0.8755656108597285,55,0,441,14,14,14,0,0,1501.7201544336729,4017.8467015411034,512.9127733817771,8957.654224286327,40,0.028616839001188055
opportunistic,2007,11,0,11,1.0,True,864.7975326167851,9512.772858784636,6344.772858784635,31723.864293923183,2595.0,519,478,0.9210019267822736,41,0,518,11,11,11,0,0,1738.337402510838,4892.20051485912,523.5683931069908,8037.240513846467,40,0.024992594997456763
opportunistic,2008,11,0,11,1.0,True,904.8567537790004,9953.424291569005,7013.424291569003,35067.12145784501,2405.0,481,443,0.920997920997921,38,0,480,11,11,11,0,0,1843.1449899632992,6807.436877505277,546.9109787913417,8178.3653982135975,40,0.01934434900249471
opportunistic,2009,12,0,12,1.0,True,852.5956851394811,10231.148221673773,7334.148221673774,36670.74110836887,2365.0,473,422,0.8921775898520085,51,0,472,12,12,12,0,0,1449.8407505309244,4832.51690280334,1668.2764156163414,8216.188630949962,120,0.029476902000169503
opportunistic,2010,11,0,11,1.0,True,915.7692403920635,10073.461644312698,7193.4616443127,35967.3082215635,2355.0,471,430,0.9129511677282378,41,0,470,11,11,11,0,0,983.5779786987929,6217.258656892869,788.2361547874142,8221.218743250953,60,0.021241761998680886
opportunistic,2011,14,0,14,1.0,True,641.7389098952023,8984.34473853283,6203.34473853283,31016.723692664145,2260.0,452,399,0.8827433628318584,53,0,451,14,14,14,0,0,1540.784461179072,5251.659453276398,529.7909356089533,7769.180454523416,40,0.027401843999541597
opportunistic,2012,10,0,10,1.0,True,970.661729354945,9706.61729354945,6585.6172935494515,32928.08646774725,2560.0,512,474,0.92578125,38,0,511,10,10,10,0,0,2495.373268336296,6566.247714916933,2413.838656338924,7512.962720619894,173,0.021623102002195083
opportunistic,2013,13,0,13,1.0,True,681.011409066946,8853.148317870298,6473.148317870299,32365.741589351495,1930.0,386,335,0.8678756476683938,51,0,385,13,13,13,0,0,305.3374683248384,2342.401166615339,435.27657867659786,5376.5978708212115,40,0.02777707399945939
opportunistic,2014,12,0,12,1.0,True,834.736592164353,10016.839105972236,6867.8391059722335,34339.19552986117,2575.0,515,461,0.8951456310679612,54,0,514,12,12,12,0,0,865.8903180994054,5273.830832282632,739.1953382512796,7944.055142564706,60,0.03490362000229652
opportunistic,2015,15,0,15,1.0,True,669.0427307824633,10035.64096173695,7207.64096173695,36038.204808684735,2295.0,459,402,0.8758169934640523,57,0,458,15,15,15,0,0,1826.430514769865,5544.606496672156,501.2249251007431,8620.924670933287,40,0.030597925000620307
opportunistic,2016,15,0,15,1.0,True,607.0586732886253,9105.880099329379,6835.880099329379,34179.40049664691,1830.0,366,316,0.8633879781420765,50,0,365,15,15,15,0,0,991.6539090299003,5358.462337526739,725.2897607392905,6311.059462526213,59,0.023525561999122147
opportunistic,2017,11,0,11,1.0,True,862.214503183346,9484.359535016805,6664.359535016805,33321.79767508403,2305.0,461,417,0.9045553145336226,44,0,460,11,11,11,0,0,502.26115174308484,4028.872669173933,1314.786435711709,7842.103822746374,96,0.02571065600204747
opportunistic,2018,14,0,14,1.0,True,651.4832665911135,9120.76573227559,6693.7657322755895,33468.82866137794,1965.0,393,346,0.8804071246819338,47,0,392,14,14,14,0,0,783.8190144141045,3516.8021584909607,538.1605260107838,7290.4325963900155,40,0.02330632300072466
opportunistic,2019,16,0,16,1.0,True,495.2224132243863,7923.558611590181,5942.55861159018,29712.793057950897,1585.0,317,262,0.8264984227129337,55,0,316,16,16,16,0,0,858.3671283141335,5833.417165877169,491.56867284339376,7923.558611590181,40,0.026533566000580322
opportunistic,2020,14,0,14,1.0,True,640.9510502403557,8973.31470336498,6372.314703364982,31861.57351682491,2110.0,422,371,0.8791469194312796,51,0,421,14,14,14,0,0,1007.1774633603384,5438.109746752075,419.99389507987877,7175.803693554977,40,0.026793580000230577
opportunistic,2021,16,0,16,1.0,True,553.7044543539141,8859.271269662626,6830.271269662627,34151.35634831313,1625.0,325,265,0.8153846153846154,60,0,324,16,16,16,0,0,349.70962377096845,1610.6428443482496,501.94485740564613,8859.271269662626,40,0.03366919600011897
opportunistic,2022,14,0,14,1.0,True,670.2931054715434,9384.103476601607,6837.103476601607,34185.51738300803,2065.0,413,352,0.8523002421307506,61,0,412,14,14,14,0,0,837.8072434349575,3651.0297919571526,751.2379233079616,7300.493345821133,60,0.03982850800093729
opportunistic,2023,13,0,13,1.0,True,703.6718172838174,9147.733624689627,6431.7336246896275,32158.668123448137,2210.0,442,392,0.8868778280542986,50,0,441,13,13,13,0,0,1096.5668043214998,4762.371296236404,779.9608105017751,6195.217917853106,60,0.028388560000166763
opportunistic,2024,13,0,13,1.0,True,724.2656683902715,9415.453689073529,6729.453689073532,33647.26844536766,2185.0,437,386,0.8832951945080092,51,0,436,13,13,13,0,0,803.7928975525515,4020.8137611510347,540.3581875459402,8685.720836850873,40,0.028211371001816588
opportunistic,2025,14,0,14,1.0,True,684.8721628905827,9588.210280468158,6975.210280468157,34876.051402340796,2120.0,424,373,0.8797169811320755,51,0,423,14,14,14,0,0,761.4759812241422,4144.68536121541,472.81032580493587,7252.819251077438,40,0.028194504000566667
opportunistic,2026,10,0,10,1.0,True,932.0201016795534,9320.201016795534,6367.201016795533,31836.005083977663,2420.0,484,450,0.9297520661157025,34,0,483,10,10,10,0,0,1073.3411521252087,4435.017969777277,521.6474701882124,6765.0814466356815,40,0.018096801999490708
opportunistic,2027,10,0,10,1.0,True,970.3593698235794,9703.593698235794,6546.593698235794,32732.96849117897,2590.0,518,478,0.9227799227799228,40,0,517,10,10,10,0,0,1003.3189135779255,5134.069590809159,1071.4718086307992,8699.441228001384,80,0.022916224002983654
opportunistic,2028,12,0,12,1.0,True,826.790927278572,9921.491127342864,7018.491127342867,35092.45563671433,2370.0,474,427,0.9008438818565401,47,0,473,12,12,12,0,0,931.4083981820927,4955.073358770079,686.0199141667078,8381.962519591298,60,0.026487414001167053
opportunistic,2029,15,0,15,1.0,True,633.2716542023572,9499.074813035359,6881.074813035358,34405.37406517679,2120.0,424,364,0.8584905660377359,60,0,423,15,15,15,0,0,936.4831584670694,3535.009999863539,518.030784089096,8086.82913938489,40,0.034736827001324855
opportunistic,2030,12,0,12,1.0,True,757.8266912582668,9093.920295099202,6568.920295099202,32844.601475496005,2055.0,411,371,0.902676399026764,40,0,410,12,12,12,0,0,959.2872512074665,5085.986788785391,513.7538322160794,6414.617749715942,40,0.01894286299648229
opportunistic,2031,15,0,15,1.0,True,654.6719823676491,9820.079735514737,7220.079735514738,36100.398677573685,2105.0,421,365,0.8669833729216152,56,0,420,15,15,15,0,0,1592.961614384978,4688.213393675426,465.6562890349513,8254.798232003253,40,0.030197936997865327
opportunistic,2032,16,0,16,1.0,True,417.82303020949405,6685.168483351905,4746.168483351905,23730.842416759522,1550.0,310,255,0.8225806451612904,55,0,309,16,16,16,0,0,1804.061023082399,5450.243873019471,498.09930212128074,6685.168483351905,40,0.024984736999613233
opportunistic,2033,13,0,13,1.0,True,754.4363647011929,9807.672741115508,7049.672741115508,35248.36370557754,2245.0,449,399,0.888641425389755,50,0,448,13,13,13,0,0,1020.311342970799,4621.477901584215,1342.5455311057103,7575.355059912086,98,0.028355379999993602
opportunistic,2034,10,0,10,1.0,True,1000.3191995797846,10003.191995797846,7014.191995797846,35070.95997898924,2450.0,490,458,0.9346938775510204,32,0,489,10,10,10,0,0,1446.8505762374907,6133.290709396353,530.0680978861567,6829.428170023153,40,0.01567024100222625
opportunistic,2035,16,0,16,1.0,True,426.228806413854,6819.660902621664,4838.660902621666,24193.30451310832,1585.0,317,258,0.8138801261829653,59,0,316,16,16,16,0,0,805.1668038722023,5568.64966034765,424.5677803798131,6819.660902621664,40,0.03453518599781091
opportunistic,2036,10,0,10,1.0,True,962.6862371603693,9626.862371603693,6469.862371603693,32349.311858018464,2590.0,518,479,0.9247104247104247,39,0,517,10,10,10,0,0,1524.8417774077193,4250.551871914806,1903.012002784339,7819.495053234633,140,0.02373411699954886
opportunistic,2037,12,0,12,1.0,True,782.6432704999369,9391.719245999242,6428.719245999242,32143.596229996212,2420.0,484,441,0.9111570247933884,43,0,483,12,12,12,0,0,1612.1521827884096,4501.0564516330605,712.8769697066921,8120.358461323233,60,0.026011124002252473
opportunistic,2038,10,0,10,1.0,True,937.0247935091751,9370.247935091751,6423.24793509175,32116.23967545875,2415.0,483,444,0.9192546583850931,39,0,482,10,10,10,0,0,970.3772654717862,3882.7827473171265,700.3489947284078,7587.684014131811,60,0.023087542002031114
opportunistic,2039,15,0,15,1.0,True,626.025647703764,9390.38471555646,6682.38471555646,33411.9235777823,2195.0,439,381,0.8678815489749431,58,0,438,15,15,15,0,0,2366.0002584240715,6181.659308134315,731.7884074002554,8230.768105530004,60,0.03240510799878393
opportunistic,2040,13,0,13,1.0,True,720.4932294859079,9366.411983316802,6308.411983316802,31542.059916584007,2495.0,499,445,0.8917835671342685,54,0,498,13,13,13,0,0,1618.177570261756,6557.1707995803545,1285.5335563205085,8684.542126200695,100,0.030277527999714948
opportunistic,2041,10,0,10,1.0,True,950.3412421801638,9503.412421801639,6118.412421801638,30592.062109008188,2780.0,556,519,0.9334532374100719,37,0,555,10,10,10,0,0,2893.712618631428,6824.38116395062,1977.4488227383897,7372.394260990067,140,0.020473218999541132
opportunistic,2042,16,0,16,1.0,True,442.6889741900699,7083.023587041119,5366.023587041119,26830.117935205595,1365.0,273,210,0.7692307692307693,63,0,272,16,16,16,0,0,892.1970703816655,5299.773013911721,535.1796064368585,7083.023587041119,40,0.03366091499992763
opportunistic,2043,13,0,13,1.0,True,757.436022660663,9846.668294588619,6974.668294588617,34873.34147294309,2340.0,468,418,0.8931623931623932,50,0,467,13,13,13,0,0,1514.5257585215186,3694.4464372244493,759.375709909742,7843.5161003316725,60,0.025548074998368975
opportunistic,2044,10,0,10,1.0,True,941.4005589079991,9414.00558907999,6263.005589079992,31315.027945399954,2585.0,517,486,0.9400386847195358,31,0,516,10,10,10,0,0,1312.5622223183514,5560.820597180521,689.7989812379877,8246.581428083338,60,0.014546645998052554
opportunistic,2045,11,0,11,1.0,True,904.3212235121692,9947.533458633861,7163.533458633863,35817.66729316931,2275.0,455,416,0.9142857142857143,39,0,454,11,11,11,0,0,156.3177596015463,633.4953556170092,449.7830881703753,5452.71952746454,40,0.019891508000000613
opportunistic,2046,14,0,14,1.0,True,707.1851916126718,9900.592682577406,7047.592682577407,35237.96341288703,2320.0,464,410,0.8836206896551724,54,0,463,14,14,14,0,0,2131.0498424216057,6383.614829714021,1173.8959584029267,8651.919702318293,80,0.029209374999481952
