strategy,seed,channel,first_seen_time_s,directional
opportunistic,2000,2,11.0,False
opportunistic,2000,3,17.0,False
opportunistic,2000,4,23.0,False
opportunistic,2000,9,53.0,False
opportunistic,2000,11,65.0,False
opportunistic,2000,17,373.0,False
opportunistic,2000,7,2812.1402552708996,False
opportunistic,2000,13,3637.8732944422954,False
opportunistic,2000,18,3661.8732944422954,False
opportunistic,2000,5,3850.2632147882123,False
opportunistic,2000,6,3856.2632147882123,False
opportunistic,2000,15,3910.2632147882123,False
opportunistic,2000,16,4662.1438994453765,False
opportunistic,2001,1,5.0,False
opportunistic,2001,15,89.0,False
opportunistic,2001,17,101.0,False
opportunistic,2001,19,113.0,False
opportunistic,2001,11,337.0,False
opportunistic,2001,12,343.0,False
opportunistic,2001,2,554.0254235449235,False
opportunistic,2001,5,572.0254235449235,False
opportunistic,2001,18,1318.1077549136314,False
opportunistic,2001,10,4623.421878316329,False
opportunistic,2001,3,4822.507474655699,False
opportunistic,2001,4,5096.503063109439,False
opportunistic,2001,20,5368.503063109439,False
opportunistic,2001,14,6050.162161868391,False
opportunistic,2002,1,5.0,False
opportunistic,2002,2,11.0,False
opportunistic,2002,7,41.0,False
opportunistic,2002,13,77.0,False
opportunistic,2002,14,83.0,False
opportunistic,2002,11,337.0,False
opportunistic,2002,17,373.0,False
opportunistic,2002,20,391.0,False
opportunistic,2002,10,604.4815025419568,False
opportunistic,2002,12,616.4815025419568,False
opportunistic,2002,15,634.4815025419568,False
opportunistic,2002,5,940.1134048318243,False
opportunistic,2002,9,4147.06383294798,False
opportunistic,2002,16,5393.88806334018,False
opportunistic,2002,4,5861.751005166616,False
opportunistic,2003,10,59.0,False
opportunistic,2003,14,83.0,False
opportunistic,2003,15,89.0,False
opportunistic,2003,16,95.0,False
opportunistic,2003,2,283.0,False
opportunistic,2003,8,319.0,False
opportunistic,2003,13,349.0,False
opportunistic,2003,12,5431.382314745183,False
opportunistic,2003,18,6006.125999189573,False
opportunistic,2003,20,6260.125999189573,False
opportunistic,2004,1,5.0,False
opportunistic,2004,4,23.0,False
opportunistic,2004,6,35.0,False
opportunistic,2004,9,53.0,False
opportunistic,2004,11,65.0,False
opportunistic,2004,12,71.0,False
opportunistic,2004,13,77.0,False
opportunistic,2004,15,89.0,False
opportunistic,2004,3,289.0,False
opportunistic,2004,20,391.0,False
opportunistic,2004,19,1045.1187924956457,False
opportunistic,2004,5,2600.8609628337804,False
opportunistic,2004,7,2612.8609628337804,False
opportunistic,2004,8,4610.861291597898,False
opportunistic,2005,1,5.0,False
opportunistic,2005,2,11.0,False
opportunistic,2005,3,17.0,False
opportunistic,2005,7,41.0,False
opportunistic,2005,8,47.0,False
opportunistic,2005,11,65.0,False
