strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
geometry_early_optical_clear_probe,0,16,8,16,1.0,True,464.41218708220674,7430.594993315308,5358.594993315309,26792.974966576552,1685.0,337,293,0.8694362017804155,44,0,307,16,16,16,6,6,1430.6948996585077,6719.604061076068,557.0264924870517,7430.594993315308,40,0.8560326120059472
geometry_early_optical_clear_probe,1,11,7,11,1.0,True,768.0263764991677,8448.290141490845,5608.290141490845,28041.450707454234,2350.0,470,438,0.9319148936170213,32,0,435,11,11,11,7,7,1949.269391697151,7666.486727044626,699.2472270238346,8046.279495681844,60,0.7330961560073774
geometry_early_optical_clear_probe,2,16,6,16,1.0,True,426.19137522602625,6819.06200361642,4380.062003616421,21900.31001808211,1985.0,397,355,0.8942065491183879,42,0,371,17,17,16,4,4,1852.5658035895938,5678.716203703361,457.4422414897907,6819.06200361642,40,1.2139224120037397
geometry_early_optical_clear_probe,3,11,2,11,1.0,True,698.916976570739,7688.086742278129,5038.08674227813,25190.433711390662,2190.0,438,403,0.9200913242009132,35,0,405,11,11,11,2,2,1063.0804851553141,5448.11537910531,759.9086729726758,7367.190122257412,60,0.6064440490008565
geometry_early_optical_clear_probe,4,11,5,11,1.0,True,714.105854807298,7855.1644028802775,5273.164402880278,26365.82201440141,2135.0,427,394,0.9227166276346604,33,0,392,11,11,11,5,5,910.8858804632688,3311.1832225686744,493.3004889203048,7855.1644028802775,40,0.9276638370065484
geometry_early_optical_clear_probe,5,14,6,14,1.0,True,519.5888905391442,7274.244467548019,4782.244467548022,23911.222337740113,2045.0,409,369,0.902200488997555,40,0,377,14,14,14,6,6,1402.5142591786223,4723.958052151511,442.02378053770104,7101.701013275683,40,1.0078831010032445
geometry_early_optical_clear_probe,6,16,6,16,1.0,True,466.9974311090586,7471.9588977449375,5292.958897744941,26464.794488724707,1775.0,355,309,0.8704225352112676,46,0,324,16,16,16,5,5,1093.4300715351394,5366.044793325728,496.5958489174552,7471.9588977449375,40,0.9573818119970383
geometry_early_optical_clear_probe,7,12,7,12,1.0,True,664.8216492660619,7977.859791192743,5320.859791192744,26604.298955963724,2190.0,438,407,0.9292237442922374,31,0,407,12,12,12,4,4,1840.5298963651055,5332.4740475613135,398.2430726520623,7977.859791192743,40,0.7652688160014804
geometry_early_optical_clear_probe,8,11,6,11,1.0,True,793.2880813462808,8726.168894809089,5611.16889480909,28055.844474045454,2580.0,516,490,0.9496124031007752,26,0,480,11,11,11,1,1,3630.5757793772277,7016.557196065158,764.9860836704179,8726.168894809089,60,0.5389638889901107
geometry_early_optical_clear_probe,9,13,8,13,1.0,True,656.5334268003423,8534.93454840445,5809.934548404449,29049.67274202225,2245.0,449,415,0.9242761692650334,34,0,415,13,13,13,9,9,1957.283676940446,6273.383611099303,661.4458573374103,8008.021605997894,59,1.0271063300024252
