strategy,seed,channel,first_seen_time_s,directional
double_ring_optical_clear_probe,1000,2,11.0,False
double_ring_optical_clear_probe,1000,7,41.0,False
double_ring_optical_clear_probe,1000,16,95.0,True
double_ring_optical_clear_probe,1000,19,113.0,True
double_ring_optical_clear_probe,1000,10,380.0,False
double_ring_optical_clear_probe,1000,8,576.4570656801882,False
double_ring_optical_clear_probe,1000,13,606.4570656801882,False
double_ring_optical_clear_probe,1000,18,760.9141313603762,True
double_ring_optical_clear_probe,1000,6,826.9141313603762,False
double_ring_optical_clear_probe,1000,3,844.9141313603762,True
double_ring_optical_clear_probe,1000,14,1017.3711970405644,False
double_ring_optical_clear_probe,1000,20,2354.1455213344307,True
double_ring_optical_clear_probe,1000,12,2642.094821789349,True
double_ring_optical_clear_probe,1000,4,2912.044122244268,True
double_ring_optical_clear_probe,1000,15,3300.3826757074444,True
double_ring_optical_clear_probe,1000,9,4517.179566313609,False
double_ring_optical_clear_probe,1001,6,35.0,True
double_ring_optical_clear_probe,1001,9,53.0,False
double_ring_optical_clear_probe,1001,10,59.0,False
double_ring_optical_clear_probe,1001,17,101.0,True
double_ring_optical_clear_probe,1001,19,113.0,False
double_ring_optical_clear_probe,1001,13,362.0,True
double_ring_optical_clear_probe,1001,4,841.7511576727102,False
double_ring_optical_clear_probe,1001,1,1122.2082233528984,True
double_ring_optical_clear_probe,1001,8,1264.6652890330865,False
double_ring_optical_clear_probe,1001,15,1456.3914391772005,True
double_ring_optical_clear_probe,1001,16,1688.8485048573887,True
double_ring_optical_clear_probe,1001,12,1855.3055705375768,False
double_ring_optical_clear_probe,1001,7,1867.3055705375768,False
double_ring_optical_clear_probe,1001,2,2596.654897983998,False
double_ring_optical_clear_probe,1001,3,2602.654897983998,True
double_ring_optical_clear_probe,1001,11,2614.654897983998,True
double_ring_optical_clear_probe,1002,10,59.0,False
double_ring_optical_clear_probe,1002,11,65.0,True
double_ring_optical_clear_probe,1002,18,107.0,False
double_ring_optical_clear_probe,1002,20,119.0,False
double_ring_optical_clear_probe,1002,7,398.0,False
double_ring_optical_clear_probe,1002,2,428.0,False
double_ring_optical_clear_probe,1002,12,947.560102920985,False
double_ring_optical_clear_probe,1002,17,1868.175660200583,True
double_ring_optical_clear_probe,1002,3,2141.4890902379652,False
double_ring_optical_clear_probe,1002,14,2498.34764965112,False
double_ring_optical_clear_probe,1002,8,2522.34764965112,False
double_ring_optical_clear_probe,1002,5,3236.878017508701,False
double_ring_optical_clear_probe,1002,15,3700.2492145492656,True
double_ring_optical_clear_probe,1002,16,5146.043496053093,True
double_ring_optical_clear_probe,1003,1,5.0,False
double_ring_optical_clear_probe,1003,2,11.0,True
double_ring_optical_clear_probe,1003,12,71.0,False
double_ring_optical_clear_probe,1003,15,89.0,False
double_ring_optical_clear_probe,1003,18,107.0,False
double_ring_optical_clear_probe,1003,20,119.0,False
double_ring_optical_clear_probe,1003,16,344.0,False
double_ring_optical_clear_probe,1003,14,779.9141313603762,False
double_ring_optical_clear_probe,1003,8,1631.4412879663544,True
double_ring_optical_clear_probe,1003,7,2713.2178406952867,True
double_ring_optical_clear_probe,1003,6,2918.9876097087863,False
double_ring_optical_clear_probe,1003,9,3926.2849678740995,True
double_ring_optical_clear_probe,1003,17,5237.000714784912,True
double_ring_optical_clear_probe,1004,1,5.0,False
double_ring_optical_clear_probe,1004,2,11.0,True
double_ring_optical_clear_probe,1004,7,41.0,False
double_ring_optical_clear_probe,1004,15,89.0,False
double_ring_optical_clear_probe,1004,4,416.0,True
double_ring_optical_clear_probe,1004,3,422.0,False
double_ring_optical_clear_probe,1004,10,1175.5496146294745,False
double_ring_optical_clear_probe,1004,6,1511.055821754141,False
double_ring_optical_clear_probe,1004,12,2344.7968546239294,True
double_ring_optical_clear_probe,1004,19,2665.7109859843054,False
double_ring_optical_clear_probe,1004,17,2677.7109859843054,False
double_ring_optical_clear_probe,1004,11,2707.7109859843054,True
