strategy,seed,channel,first_seen_time_s,directional
double_ring_optical_clear_probe,3000,12,71.0,True
double_ring_optical_clear_probe,3000,14,83.0,True
double_ring_optical_clear_probe,3000,20,320.0,True
double_ring_optical_clear_probe,3000,19,326.0,True
double_ring_optical_clear_probe,3000,8,392.0,True
double_ring_optical_clear_probe,3000,6,570.4570656801881,True
double_ring_optical_clear_probe,3000,16,904.1322308268759,True
double_ring_optical_clear_probe,3000,15,1523.8667682912144,True
double_ring_optical_clear_probe,3000,4,1805.8160687461332,True
double_ring_optical_clear_probe,3000,11,2105.7653692010517,True
double_ring_optical_clear_probe,3000,18,2639.663970110889,True
double_ring_optical_clear_probe,3000,5,2693.663970110889,True
double_ring_optical_clear_probe,3000,3,2927.6132705658074,True
double_ring_optical_clear_probe,3000,9,2951.6132705658074,True
double_ring_optical_clear_probe,3000,10,3574.061757019335,True
double_ring_optical_clear_probe,3001,5,29.0,True
double_ring_optical_clear_probe,3001,12,71.0,True
double_ring_optical_clear_probe,3001,15,89.0,True
double_ring_optical_clear_probe,3001,19,113.0,True
double_ring_optical_clear_probe,3001,17,630.009122266518,True
double_ring_optical_clear_probe,3001,11,1022.9232536268943,True
double_ring_optical_clear_probe,3001,10,1961.2092209183509,True
double_ring_optical_clear_probe,3001,6,1985.2092209183509,True
double_ring_optical_clear_probe,3001,8,4069.044375284596,True
double_ring_optical_clear_probe,3001,13,4338.993675739514,True
double_ring_optical_clear_probe,3001,7,4614.942976194433,True
double_ring_optical_clear_probe,3001,20,5639.139835338889,True
double_ring_optical_clear_probe,3002,13,77.0,True
double_ring_optical_clear_probe,3002,12,368.0,True
double_ring_optical_clear_probe,3002,6,404.0,True
double_ring_optical_clear_probe,3002,19,642.4570656801882,True
double_ring_optical_clear_probe,3002,1,955.2345514296782,True
double_ring_optical_clear_probe,3002,2,1159.1838518845966,True
double_ring_optical_clear_probe,3002,20,2218.568379790475,True
double_ring_optical_clear_probe,3002,3,2403.0254454706633,True
double_ring_optical_clear_probe,3002,14,2580.3834427357083,True
double_ring_optical_clear_probe,3002,15,3026.4870665893895,True
double_ring_optical_clear_probe,3002,17,3395.4011979497654,True
double_ring_optical_clear_probe,3003,4,23.0,True
double_ring_optical_clear_probe,3003,13,77.0,True
double_ring_optical_clear_probe,3003,19,113.0,True
double_ring_optical_clear_probe,3003,20,320.0,True
double_ring_optical_clear_probe,3003,18,332.0,True
double_ring_optical_clear_probe,3003,9,386.0,True
double_ring_optical_clear_probe,3003,17,1181.642621736644,True
double_ring_optical_clear_probe,3003,8,1235.642621736644,True
double_ring_optical_clear_probe,3003,6,1402.0996874168322,True
double_ring_optical_clear_probe,3003,15,1450.0996874168322,True
double_ring_optical_clear_probe,3003,12,1831.0138187772084,True
double_ring_optical_clear_probe,3003,1,3122.702459259464,True
double_ring_optical_clear_probe,3003,2,3337.2781943643995,True
double_ring_optical_clear_probe,3003,3,4899.2574400317,True
double_ring_optical_clear_probe,3004,3,17.0,True
double_ring_optical_clear_probe,3004,6,35.0,True
double_ring_optical_clear_probe,3004,7,41.0,True
double_ring_optical_clear_probe,3004,15,89.0,True
double_ring_optical_clear_probe,3004,17,101.0,True
double_ring_optical_clear_probe,3004,20,119.0,True
double_ring_optical_clear_probe,3004,19,326.0,True
double_ring_optical_clear_probe,3004,8,392.0,True
double_ring_optical_clear_probe,3004,18,630.4570656801881,True
double_ring_optical_clear_probe,3004,11,1484.7141807824037,True
double_ring_optical_clear_probe,3004,1,1984.0853778229682,True
double_ring_optical_clear_probe,3004,16,2822.5374313195116,True
double_ring_optical_clear_probe,3004,10,3554.737016651849,True
