strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
double_ring_optical_clear_probe,3000,15,0,15,1.0,True,376.35754137517466,5645.3631206276195,4227.363120627619,21136.815603138093,1140.0,228,187,0.8201754385964912,41,0,203,15,15,15,0,0,477.7645967705904,1970.0303296640777,727.835577983207,5340.179577708663,55,0.7767600880033569
double_ring_optical_clear_probe,3001,12,0,12,1.0,True,489.09984058038543,5869.198086964625,4135.198086964624,20675.990434823125,1415.0,283,247,0.872791519434629,36,0,259,12,12,12,0,0,941.7340743263925,2139.647010637028,566.5236313730453,5189.417413734807,40,0.4190522770077223
double_ring_optical_clear_probe,3002,11,0,11,1.0,True,551.701756708925,6068.7193237981755,4357.719323798176,21788.59661899088,1400.0,280,251,0.8964285714285715,29,0,256,11,11,11,0,0,548.0909521813063,2639.06082895461,574.7221384638354,4915.78735819567,40,0.40259366399550345
double_ring_optical_clear_probe,3003,14,0,14,1.0,True,409.6812292893245,5735.537210050543,4223.537210050544,21117.686050252716,1205.0,241,201,0.8340248962655602,40,0,219,20,20,14,0,0,479.2592684477894,2260.5434119746196,792.2951154610337,4891.332187822078,58,0.7610948590008775
double_ring_optical_clear_probe,3004,13,0,13,1.0,True,451.41179878686427,5868.353384229235,4279.353384229235,21396.766921146176,1290.0,258,226,0.875968992248062,32,0,234,13,13,13,0,0,504.3780292287781,1736.3437231722337,1265.7482216550804,5781.579397716436,96,0.6423894109902903
double_ring_optical_clear_probe,3005,15,0,15,1.0,True,385.4543668642472,5781.815502963708,4243.815502963709,21219.077514818546,1220.0,244,204,0.8360655737704918,40,0,222,22,22,15,0,0,861.7729113489804,2289.3019054065717,464.2623628741708,5451.847387916887,40,0.6438350450043799
double_ring_optical_clear_probe,3006,15,0,15,1.0,True,375.7460286981655,5636.190430472482,4156.190430472484,20780.952152362413,1175.0,235,192,0.8170212765957446,43,0,212,21,21,15,0,0,897.7751616710157,2458.3066666575323,876.671534087345,5516.037675064027,74,0.6436831440078095
double_ring_optical_clear_probe,3007,15,0,15,1.0,True,368.656398130058,5529.84597195087,4018.8459719508687,20094.229859754345,1215.0,243,198,0.8148148148148148,45,0,218,16,16,15,0,0,555.4639949227484,1500.4520216613623,672.3698137333066,4531.640210189722,57,1.0748986620019423
double_ring_optical_clear_probe,3008,12,0,12,1.0,True,490.5626510826057,5886.751812991269,4049.751812991268,20248.75906495634,1500.0,300,263,0.8766666666666667,37,0,277,12,12,12,0,0,907.6973746539292,1940.6565254415052,2088.4654323452037,5450.978741782056,167,0.5406039129884448
double_ring_optical_clear_probe,3009,13,0,13,1.0,True,428.39126579735824,5569.0864553656575,4141.0864553656575,20705.43227682829,1150.0,230,196,0.8521739130434782,34,0,207,15,15,13,0,0,282.8972693705656,1931.6645018173533,709.3842801944068,5285.026422334117,57,0.6074955610092729
double_ring_optical_clear_probe,3010,15,0,15,1.0,True,372.8790799239706,5593.186198859559,4153.186198859559,20765.9309942978,1145.0,229,188,0.8209606986899564,41,0,205,20,20,15,0,0,548.6473527041616,3057.859723234474,844.0007870201686,4627.763115804597,72,0.6288827889948152
double_ring_optical_clear_probe,3011,11,0,11,1.0,True,539.6847044873524,5936.531749360876,3955.5317493608773,19777.658746804387,1625.0,325,297,0.9138461538461539,28,0,301,11,11,11,0,0,986.7053724859496,4067.0424532007046,759.0370324971094,5326.906210185667,58,0.40700926500721835
double_ring_optical_clear_probe,3012,12,0,12,1.0,True,482.58567873376074,5791.028144805129,3950.0281448051287,19750.140724025645,1495.0,299,263,0.8795986622073578,36,0,274,16,16,12,0,0,514.4323838717728,1742.804082235836,658.2685791838329,4991.350930258045,58,0.7843703629914671
double_ring_optical_clear_probe,3013,15,0,15,1.0,True,384.94501859405193,5774.175278910779,4290.1752789107795,21450.8763945539,1180.0,236,199,0.8432203389830508,37,0,211,21,21,15,0,0,651.046899727641,3371.8727920056267,528.4255630399929,5022.828040725421,40,0.6220578420034144
