strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
double_ring_optical_clear_probe,3232953659,14,14,14,1.0,True,548.2836633449873,7675.971286829822,5656.971286829824,28284.856434149133,1625.0,325,292,0.8984615384615384,33,0,300,22,22,14,8,8,2195.731343172204,6153.411062588894,1112.6792299564308,7675.971286829822,92,0.3313171869958751
double_ring_optical_clear_probe,1915094833,11,11,11,1.0,True,605.1515649004236,6656.66721390466,4562.667213904659,22813.336069523288,1720.0,344,314,0.9127906976744186,30,0,319,11,11,11,2,2,2037.1391801103962,6205.917180032764,746.0846147729435,6656.66721390466,60,0.309306169001502
double_ring_optical_clear_probe,1658570499,15,15,15,1.0,True,510.4204900875381,7656.307351313071,5306.307351313072,26531.53675656535,1905.0,381,341,0.89501312335958,40,0,355,20,20,15,6,6,3194.258245048353,6473.7561037223595,1831.224308475486,7656.307351313071,159,0.39405914398957975
double_ring_optical_clear_probe,2806316090,11,11,11,1.0,True,661.6445216056453,7278.089737662099,5195.089737662099,25975.448688310487,1710.0,342,316,0.9239766081871345,26,0,318,11,11,11,6,6,1275.9836029514981,6139.235318841915,520.9859040358626,6624.971576920707,40,0.3712009189912351
double_ring_optical_clear_probe,3682850044,13,13,13,1.0,True,548.610643468004,7131.938365084052,5134.938365084052,25674.691825420257,1630.0,326,292,0.8957055214723927,34,0,302,13,13,13,7,7,1775.7381359089386,6797.459437788759,948.6404474633323,7131.938365084052,79,0.4402109289949294
double_ring_optical_clear_probe,1187032497,15,15,15,1.0,True,513.1035519944478,7696.553279916718,5787.553279916718,28937.76639958358,1550.0,310,275,0.8870967741935484,35,0,284,15,15,15,4,4,2265.1765869085925,6680.668821224074,1877.8093827368664,7696.553279916718,146,0.3104771219950635
double_ring_optical_clear_probe,4225521432,13,13,13,1.0,True,516.2386865867034,6711.102925627144,4635.102925627142,23175.51462813571,1695.0,339,299,0.8820058997050148,40,0,316,13,13,13,10,10,1001.0152680185597,2139.684988467985,715.3684294462614,6082.264500120576,59,0.7547940139920684
double_ring_optical_clear_probe,2914383880,10,10,10,1.0,True,670.5932189788605,6705.932189788605,4637.932189788604,23189.660948943016,1690.0,338,311,0.9201183431952663,27,0,313,15,15,10,5,5,778.1924884767402,2290.0568010640186,741.1289453148358,5618.779292067971,59,0.460732082996401
double_ring_optical_clear_probe,2758781408,12,12,12,1.0,True,680.9319869814047,8171.183843776857,5955.183843776857,29775.919218884275,1820.0,364,334,0.9175824175824175,30,0,336,12,12,12,6,6,2150.683229425333,4741.884403267551,719.9776476830349,8171.183843776857,60,0.3631187230057549
double_ring_optical_clear_probe,3500253885,16,16,16,1.0,True,445.0593142864435,7120.949028583096,5445.949028583096,27229.745142915475,1350.0,270,232,0.8592592592592593,38,0,245,16,16,16,7,7,1794.7473557453504,5910.643065352112,516.7691717696104,7120.949028583096,40,0.3771452780056279
