strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
double_ring_optical_clear_probe,2700726295,15,9,15,1.0,True,423.6219355692769,6354.329033539154,4749.329033539156,23746.64516769578,1290.0,258,219,0.8488372093023255,39,0,231,18,18,15,3,3,751.3350253818619,2522.457961347695,707.2781880490897,6354.329033539154,57,0.7490289300039876
double_ring_optical_clear_probe,204624662,15,7,15,1.0,True,406.81047584738127,6102.157137710719,4645.15713771072,23225.785688553613,1160.0,232,192,0.8275862068965517,40,0,207,20,20,15,1,1,553.0978559366914,1777.9988626657416,500.66130580203117,6102.157137710719,40,0.5554236610041698
double_ring_optical_clear_probe,2676328712,10,4,10,1.0,True,699.9303299609174,6999.303299609174,4807.303299609176,24036.51649804589,1800.0,360,335,0.9305555555555556,25,0,333,13,13,10,3,3,1748.4010073888585,5423.71706137208,703.8685554074984,6999.303299609174,58,0.30817916900559794
double_ring_optical_clear_probe,106755257,16,9,16,1.0,True,438.63420560156203,7018.1472896249925,5335.1472896249925,26675.736448124964,1350.0,270,227,0.8407407407407408,43,0,247,18,18,16,5,5,1217.4289623247685,3060.4681832991255,467.9294749327861,7018.1472896249925,40,0.6057149940024829
double_ring_optical_clear_probe,1340430693,10,5,10,1.0,True,761.4408628602389,7614.4086286023885,5283.40862860239,26417.04314301195,1910.0,382,356,0.9319371727748691,26,0,356,15,15,10,4,4,1423.5138912160196,4340.3623941223,525.5022101644322,7614.4086286023885,40,0.38197380999918096
double_ring_optical_clear_probe,263388646,14,4,14,1.0,True,445.7357722100472,6240.30081094066,4645.300810940659,23226.504054703306,1290.0,258,224,0.8682170542635659,34,0,235,14,14,14,2,2,1118.417338277322,5747.353826969149,750.8037993857295,6240.30081094066,58,0.4470582549984101
double_ring_optical_clear_probe,4000461408,11,4,11,1.0,True,568.006143604396,6248.067579648356,4472.067579648354,22360.337898241774,1455.0,291,263,0.9037800687285223,28,0,266,11,11,11,1,1,857.0435572166964,2229.432851350291,541.477393601109,6011.990242789578,40,0.36633361599524505
double_ring_optical_clear_probe,1896970274,13,6,13,1.0,True,491.32419692775534,6387.214560060819,4703.214560060819,23516.0728003041,1370.0,274,240,0.8759124087591241,34,0,249,13,13,13,4,4,680.7638345460065,2314.569763360789,678.7288752418119,6156.901104638387,57,0.43855684000300243
double_ring_optical_clear_probe,1750159921,10,6,10,1.0,True,703.381100784023,7033.811007840231,4727.8110078402315,23639.055039201154,1900.0,380,353,0.9289473684210526,27,0,356,10,10,10,2,2,1548.9438666727874,4630.172927303115,709.0853900467774,6833.288494502515,60,0.35384694700769614
double_ring_optical_clear_probe,1989664305,11,8,11,1.0,True,602.8108337907729,6630.9191716985015,4613.919171698504,23069.595858492514,1655.0,331,300,0.9063444108761329,31,0,307,11,11,11,4,4,1114.0245649475842,3113.895412167545,983.7872607063007,6630.9191716985015,77,0.36658194499614183
double_ring_optical_clear_probe,1268186085,13,7,13,1.0,True,489.5634584751642,6364.324960177135,4475.324960177135,22376.624800885682,1540.0,308,270,0.8766233766233766,38,0,284,13,13,13,4,4,1146.4575336587977,2878.584552242569,532.8867576418455,6364.324960177135,40,0.50193946599029
double_ring_optical_clear_probe,1761614255,13,5,13,1.0,True,497.10205178491776,6462.326673203931,4693.326673203931,23466.63336601965,1440.0,288,259,0.8993055555555556,29,0,264,13,13,13,1,1,1656.356284839344,3612.344461586066,749.7883011369877,5402.1195582690025,58,0.31092597800306976
