strategy,seed,channel,first_seen_time_s,directional
double_ring_optical_clear_probe,2700726295,10,59.0,True
double_ring_optical_clear_probe,2700726295,15,89.0,False
double_ring_optical_clear_probe,2700726295,16,95.0,True
double_ring_optical_clear_probe,2700726295,19,113.0,False
double_ring_optical_clear_probe,2700726295,20,119.0,True
double_ring_optical_clear_probe,2700726295,14,356.0,True
double_ring_optical_clear_probe,2700726295,13,362.0,False
double_ring_optical_clear_probe,2700726295,3,422.0,False
double_ring_optical_clear_probe,2700726295,18,757.2661416708467,True
double_ring_optical_clear_probe,2700726295,6,811.2661416708467,False
double_ring_optical_clear_probe,2700726295,4,965.7232073510348,True
double_ring_optical_clear_probe,2700726295,17,1230.7236426192806,False
double_ring_optical_clear_probe,2700726295,12,1662.7941430341118,True
double_ring_optical_clear_probe,2700726295,2,1704.7941430341118,True
double_ring_optical_clear_probe,2700726295,5,2522.457961347695,True
double_ring_optical_clear_probe,204624662,4,23.0,False
double_ring_optical_clear_probe,204624662,6,35.0,False
double_ring_optical_clear_probe,204624662,9,53.0,False
double_ring_optical_clear_probe,204624662,11,65.0,False
double_ring_optical_clear_probe,204624662,14,83.0,True
double_ring_optical_clear_probe,204624662,15,89.0,False
double_ring_optical_clear_probe,204624662,17,101.0,True
double_ring_optical_clear_probe,204624662,5,410.0,False
double_ring_optical_clear_probe,204624662,12,602.3283701996268,True
double_ring_optical_clear_probe,204624662,19,638.3283701996268,False
double_ring_optical_clear_probe,204624662,3,828.7854358798148,True
double_ring_optical_clear_probe,204624662,2,953.242501560003,True
double_ring_optical_clear_probe,204624662,16,1013.242501560003,False
double_ring_optical_clear_probe,204624662,1,1623.5417969855537,True
double_ring_optical_clear_probe,204624662,18,1777.9988626657416,True
double_ring_optical_clear_probe,2676328712,15,89.0,False
double_ring_optical_clear_probe,2676328712,18,107.0,False
double_ring_optical_clear_probe,2676328712,11,374.0,True
double_ring_optical_clear_probe,2676328712,10,380.0,False
double_ring_optical_clear_probe,2676328712,12,1080.5657688121796,False
double_ring_optical_clear_probe,2676328712,7,1289.0228344923678,True
double_ring_optical_clear_probe,2676328712,9,1479.479900172556,False
double_ring_optical_clear_probe,2676328712,14,3484.9555395010098,False
double_ring_optical_clear_probe,2676328712,1,3776.268969538392,True
double_ring_optical_clear_probe,2676328712,16,5423.71706137208,True
double_ring_optical_clear_probe,106755257,7,41.0,False
double_ring_optical_clear_probe,106755257,9,53.0,False
double_ring_optical_clear_probe,106755257,10,59.0,False
double_ring_optical_clear_probe,106755257,11,65.0,False
double_ring_optical_clear_probe,106755257,14,83.0,False
double_ring_optical_clear_probe,106755257,15,89.0,False
double_ring_optical_clear_probe,106755257,5,410.0,True
double_ring_optical_clear_probe,106755257,13,995.8302500999778,True
double_ring_optical_clear_probe,106755257,16,1554.2487039448433,True
double_ring_optical_clear_probe,106755257,8,1578.2487039448433,True
double_ring_optical_clear_probe,106755257,4,1732.7057696250315,True
double_ring_optical_clear_probe,106755257,3,1960.8694248608024,False
double_ring_optical_clear_probe,106755257,19,2257.7835562211785,True
double_ring_optical_clear_probe,106755257,20,2484.240621901367,True
double_ring_optical_clear_probe,106755257,2,3054.4681832991255,True
double_ring_optical_clear_probe,106755257,1,3060.4681832991255,True
double_ring_optical_clear_probe,1340430693,6,35.0,False
double_ring_optical_clear_probe,1340430693,15,89.0,False
double_ring_optical_clear_probe,1340430693,19,113.0,False
double_ring_optical_clear_probe,1340430693,1,1034.9312440256147,False
double_ring_optical_clear_probe,1340430693,3,1046.9312440256147,True
double_ring_optical_clear_probe,1340430693,7,1064.9312440256147,True
double_ring_optical_clear_probe,1340430693,10,1082.9312440256147,False
double_ring_optical_clear_probe,1340430693,17,1654.3024410661792,True
double_ring_optical_clear_probe,1340430693,2,3773.749100869258,True
double_ring_optical_clear_probe,1340430693,14,4340.3623941223,True
double_ring_optical_clear_probe,263388646,3,17.0,False
double_ring_optical_clear_probe,263388646,4,23.0,False
double_ring_optical_clear_probe,263388646,8,47.0,False
double_ring_optical_clear_probe,263388646,11,65.0,True
double_ring_optical_clear_probe,263388646,16,95.0,True
double_ring_optical_clear_probe,263388646,17,101.0,False
double_ring_optical_clear_probe,263388646,15,350.0,False
double_ring_optical_clear_probe,263388646,6,404.0,False
double_ring_optical_clear_probe,263388646,13,1542.9560565913243,False
double_ring_optical_clear_probe,263388646,19,1566.9560565913243,False
double_ring_optical_clear_probe,263388646,2,1745.4131222715125,False
double_ring_optical_clear_probe,263388646,1,1751.4131222715125,True
double_ring_optical_clear_probe,263388646,5,2201.750551187684,False
double_ring_optical_clear_probe,263388646,10,5747.353826969149,True
double_ring_optical_clear_probe,4000461408,2,11.0,False
double_ring_optical_clear_probe,4000461408,10,59.0,True
double_ring_optical_clear_probe,4000461408,17,101.0,True
double_ring_optical_clear_probe,4000461408,19,113.0,False
double_ring_optical_clear_probe,4000461408,20,119.0,False
double_ring_optical_clear_probe,4000461408,12,368.0,False
double_ring_optical_clear_probe,4000461408,18,1138.5473533465827,False
double_ring_optical_clear_probe,4000461408,4,1311.0044190267708,True
double_ring_optical_clear_probe,4000461408,3,1908.5187199899144,False
double_ring_optical_clear_probe,4000461408,13,2068.9757856701026,False
double_ring_optical_clear_probe,4000461408,8,2229.432851350291,True
double_ring_optical_clear_probe,1896970274,3,17.0,False
double_ring_optical_clear_probe,1896970274,8,47.0,True
double_ring_optical_clear_probe,1896970274,10,59.0,False
double_ring_optical_clear_probe,1896970274,16,95.0,False
double_ring_optical_clear_probe,1896970274,17,101.0,False
double_ring_optical_clear_probe,1896970274,13,362.0,False
double_ring_optical_clear_probe,1896970274,12,368.0,True
double_ring_optical_clear_probe,1896970274,9,386.0,False
double_ring_optical_clear_probe,1896970274,4,416.0,False
double_ring_optical_clear_probe,1896970274,5,971.5058874166572,True
double_ring_optical_clear_probe,1896970274,14,1452.284434959848,True
double_ring_optical_clear_probe,1896970274,20,2260.569763360789,True
double_ring_optical_clear_probe,1896970274,2,2314.569763360789,True
double_ring_optical_clear_probe,1750159921,6,35.0,True
double_ring_optical_clear_probe,1750159921,19,326.0,False
double_ring_optical_clear_probe,1750159921,14,356.0,False
double_ring_optical_clear_probe,1750159921,18,884.3924354415618,True
double_ring_optical_clear_probe,1750159921,2,968.3924354415618,True
double_ring_optical_clear_probe,1750159921,5,1355.306566801938,True
double_ring_optical_clear_probe,1750159921,1,1485.7636324821262,False
double_ring_optical_clear_probe,1750159921,3,1497.7636324821262,False
double_ring_optical_clear_probe,1750159921,9,3950.6470367754455,True
double_ring_optical_clear_probe,1750159921,11,4630.172927303115,True
double_ring_optical_clear_probe,1989664305,8,47.0,False
double_ring_optical_clear_probe,1989664305,9,53.0,True
double_ring_optical_clear_probe,1989664305,14,83.0,True
double_ring_optical_clear_probe,1989664305,17,101.0,True
double_ring_optical_clear_probe,1989664305,18,107.0,True
double_ring_optical_clear_probe,1989664305,2,1151.2430156518406,True
double_ring_optical_clear_probe,1989664305,1,1607.847348130728,False
double_ring_optical_clear_probe,1989664305,20,1798.3044138109162,False
double_ring_optical_clear_probe,1989664305,16,1810.3044138109162,True
double_ring_optical_clear_probe,1989664305,6,2381.67561085148,True
double_ring_optical_clear_probe,1989664305,11,3113.895412167545,True
double_ring_optical_clear_probe,1268186085,2,11.0,True
double_ring_optical_clear_probe,1268186085,5,29.0,False
double_ring_optical_clear_probe,1268186085,10,59.0,False
double_ring_optical_clear_probe,1268186085,11,65.0,False
double_ring_optical_clear_probe,1268186085,17,101.0,False
double_ring_optical_clear_probe,1268186085,19,113.0,True
double_ring_optical_clear_probe,1268186085,12,619.2491301881721,False
double_ring_optical_clear_probe,1268186085,13,1489.735798391259,True
double_ring_optical_clear_probe,1268186085,7,2074.649975793981,True
double_ring_optical_clear_probe,1268186085,18,2289.107041474169,True
double_ring_optical_clear_probe,1268186085,14,2437.5641071543573,True
double_ring_optical_clear_probe,1268186085,20,2737.057332319865,True
double_ring_optical_clear_probe,1268186085,9,2878.584552242569,False
double_ring_optical_clear_probe,1761614255,4,23.0,False
double_ring_optical_clear_probe,1761614255,12,71.0,False
double_ring_optical_clear_probe,1761614255,20,119.0,False
double_ring_optical_clear_probe,1761614255,16,344.0,False
double_ring_optical_clear_probe,1761614255,10,380.0,False
double_ring_optical_clear_probe,1761614255,6,564.4570656801882,False
double_ring_optical_clear_probe,1761614255,9,1478.5938286307498,False
double_ring_optical_clear_probe,1761614255,5,1749.7281623267772,True
double_ring_optical_clear_probe,1761614255,18,3036.755040730596,False
double_ring_optical_clear_probe,1761614255,19,3240.7043411855147,True
double_ring_optical_clear_probe,1761614255,1,3312.7043411855147,True
double_ring_optical_clear_probe,1761614255,7,3600.344461586066,True
double_ring_optical_clear_probe,1761614255,11,3612.344461586066,True
double_ring_optical_clear_probe,3878615712,2,11.0,True
double_ring_optical_clear_probe,3878615712,10,59.0,False
double_ring_optical_clear_probe,3878615712,16,344.0,True
double_ring_optical_clear_probe,3878615712,11,374.0,False
double_ring_optical_clear_probe,3878615712,18,642.4570656801881,True
double_ring_optical_clear_probe,3878615712,12,1243.8282627207525,False
double_ring_optical_clear_probe,3878615712,8,1867.3608251553342,True
double_ring_optical_clear_probe,3878615712,6,2033.8178908355223,False
double_ring_optical_clear_probe,3878615712,19,2974.0776007420172,True
double_ring_optical_clear_probe,3878615712,14,5632.019692435054,True
double_ring_optical_clear_probe,2619392121,2,11.0,False
double_ring_optical_clear_probe,2619392121,3,17.0,True
double_ring_optical_clear_probe,2619392121,6,35.0,False
double_ring_optical_clear_probe,2619392121,9,53.0,False
double_ring_optical_clear_probe,2619392121,16,95.0,False
double_ring_optical_clear_probe,2619392121,20,119.0,False
double_ring_optical_clear_probe,2619392121,17,846.8670509422922,True
double_ring_optical_clear_probe,2619392121,7,1220.0255230198381,True
double_ring_optical_clear_probe,2619392121,10,1232.0255230198381,True
double_ring_optical_clear_probe,2619392121,11,3602.6014601211937,True
double_ring_optical_clear_probe,2619392121,15,3757.0585258013816,False
double_ring_optical_clear_probe,3168104907,3,17.0,True
double_ring_optical_clear_probe,3168104907,5,29.0,False
double_ring_optical_clear_probe,3168104907,8,47.0,False
double_ring_optical_clear_probe,3168104907,9,53.0,False
double_ring_optical_clear_probe,3168104907,11,65.0,True
double_ring_optical_clear_probe,3168104907,17,101.0,False
double_ring_optical_clear_probe,3168104907,18,332.0,False
double_ring_optical_clear_probe,3168104907,7,398.0,True
double_ring_optical_clear_probe,3168104907,16,618.4570656801881,True
double_ring_optical_clear_probe,3168104907,1,873.3831756322082,True
double_ring_optical_clear_probe,3168104907,14,1027.8402413123963,True
double_ring_optical_clear_probe,3168104907,13,1188.2973069925845,True
double_ring_optical_clear_probe,3168104907,12,1711.668504033149,True
double_ring_optical_clear_probe,3168104907,10,1890.1255697133374,True
double_ring_optical_clear_probe,1852586250,2,11.0,True
double_ring_optical_clear_probe,1852586250,5,29.0,True
double_ring_optical_clear_probe,1852586250,6,35.0,True
double_ring_optical_clear_probe,1852586250,7,41.0,False
double_ring_optical_clear_probe,1852586250,12,71.0,False
double_ring_optical_clear_probe,1852586250,13,77.0,True
double_ring_optical_clear_probe,1852586250,14,83.0,True
double_ring_optical_clear_probe,1852586250,18,107.0,True
double_ring_optical_clear_probe,1852586250,8,759.8622058289058,False
double_ring_optical_clear_probe,1852586250,20,813.8622058289058,True
double_ring_optical_clear_probe,1852586250,3,1432.28210576297,True
double_ring_optical_clear_probe,1852586250,17,1610.7391714431583,True
double_ring_optical_clear_probe,1852586250,9,1822.067261927535,True
double_ring_optical_clear_probe,1852586250,4,1834.067261927535,False
double_ring_optical_clear_probe,1852586250,19,5539.062188170317,True
double_ring_optical_clear_probe,3745971502,6,35.0,False
double_ring_optical_clear_probe,3745971502,14,83.0,False
double_ring_optical_clear_probe,3745971502,17,101.0,True
double_ring_optical_clear_probe,3745971502,13,362.0,True
double_ring_optical_clear_probe,3745971502,2,428.0,False
double_ring_optical_clear_probe,3745971502,18,772.9141313603764,True
double_ring_optical_clear_probe,3745971502,3,975.3711970405644,False
double_ring_optical_clear_probe,3745971502,4,981.3711970405644,True
double_ring_optical_clear_probe,3745971502,8,1427.1933540161567,True
double_ring_optical_clear_probe,3745971502,5,3623.0350747070497,False
double_ring_optical_clear_probe,3745971502,15,4108.933675616887,True
double_ring_optical_clear_probe,1089323782,1,5.0,False
double_ring_optical_clear_probe,1089323782,9,53.0,False
double_ring_optical_clear_probe,1089323782,15,89.0,True
double_ring_optical_clear_probe,1089323782,19,113.0,False
double_ring_optical_clear_probe,1089323782,20,320.0,True
double_ring_optical_clear_probe,1089323782,4,416.0,True
double_ring_optical_clear_probe,1089323782,3,547.4570656801882,False
double_ring_optical_clear_probe,1089323782,16,761.9141313603762,True
double_ring_optical_clear_probe,1089323782,5,821.9141313603762,False
double_ring_optical_clear_probe,1089323782,10,1570.0093265029996,True
double_ring_optical_clear_probe,1089323782,17,3048.468365815943,True
double_ring_optical_clear_probe,1089323782,8,3937.5425562581045,True
double_ring_optical_clear_probe,1647890593,2,11.0,False
double_ring_optical_clear_probe,1647890593,5,29.0,False
double_ring_optical_clear_probe,1647890593,8,47.0,False
double_ring_optical_clear_probe,1647890593,10,59.0,True
double_ring_optical_clear_probe,1647890593,17,101.0,True
double_ring_optical_clear_probe,1647890593,18,107.0,True
double_ring_optical_clear_probe,1647890593,20,119.0,True
double_ring_optical_clear_probe,1647890593,19,326.0,True
double_ring_optical_clear_probe,1647890593,14,356.0,True
double_ring_optical_clear_probe,1647890593,6,1017.9809516410297,True
double_ring_optical_clear_probe,1647890593,13,1047.9809516410296,False
double_ring_optical_clear_probe,1647890593,16,2220.6453422255504,True
double_ring_optical_clear_probe,1647890593,12,2381.115332908985,True
double_ring_optical_clear_probe,1647890593,15,2654.428762946367,True
double_ring_optical_clear_probe,1647890593,4,3782.6653235389063,True
double_ring_optical_clear_probe,1647890593,1,4513.325165644037,True
double_ring_optical_clear_probe,2289634464,1,5.0,False
double_ring_optical_clear_probe,2289634464,5,29.0,True
double_ring_optical_clear_probe,2289634464,7,41.0,True
double_ring_optical_clear_probe,2289634464,15,89.0,True
double_ring_optical_clear_probe,2289634464,12,368.0,False
double_ring_optical_clear_probe,2289634464,4,553.4570656801882,False
double_ring_optical_clear_probe,2289634464,14,607.4570656801882,True
