strategy,seed,channel,first_seen_time_s,directional
double_ring_optical_clear_probe,0,5,29.0,False
double_ring_optical_clear_probe,0,6,35.0,False
double_ring_optical_clear_probe,0,13,77.0,False
double_ring_optical_clear_probe,0,20,119.0,False
double_ring_optical_clear_probe,0,12,368.0,True
double_ring_optical_clear_probe,0,4,416.0,False
double_ring_optical_clear_probe,0,3,422.0,True
double_ring_optical_clear_probe,0,1,434.0,False
double_ring_optical_clear_probe,0,9,1203.2559105561588,True
double_ring_optical_clear_probe,0,8,1209.2559105561588,True
double_ring_optical_clear_probe,0,18,1417.712976236347,False
double_ring_optical_clear_probe,0,7,1738.6271075967231,True
double_ring_optical_clear_probe,0,10,2131.5412389570993,False
double_ring_optical_clear_probe,0,2,3191.228549885475,True
double_ring_optical_clear_probe,0,16,3233.228549885475,True
double_ring_optical_clear_probe,0,14,4260.958105353001,True
double_ring_optical_clear_probe,1,7,41.0,False
double_ring_optical_clear_probe,1,13,77.0,True
double_ring_optical_clear_probe,1,14,83.0,False
double_ring_optical_clear_probe,1,19,113.0,False
double_ring_optical_clear_probe,1,16,344.0,True
double_ring_optical_clear_probe,1,11,374.0,False
double_ring_optical_clear_probe,1,4,416.0,True
double_ring_optical_clear_probe,1,17,1429.1160506472231,True
double_ring_optical_clear_probe,1,8,1631.573116327411,True
double_ring_optical_clear_probe,1,9,2006.4872476877872,True
double_ring_optical_clear_probe,1,3,2444.8491014476385,True
double_ring_optical_clear_probe,2,6,35.0,False
double_ring_optical_clear_probe,2,13,77.0,False
double_ring_optical_clear_probe,2,15,89.0,True
double_ring_optical_clear_probe,2,20,320.0,True
double_ring_optical_clear_probe,2,16,344.0,False
double_ring_optical_clear_probe,2,11,374.0,False
double_ring_optical_clear_probe,2,10,380.0,False
double_ring_optical_clear_probe,2,5,410.0,False
double_ring_optical_clear_probe,2,3,422.0,False
double_ring_optical_clear_probe,2,4,558.4570656801881,True
double_ring_optical_clear_probe,2,14,612.4570656801881,True
double_ring_optical_clear_probe,2,17,624.4570656801881,False
double_ring_optical_clear_probe,2,2,871.0684910985809,False
double_ring_optical_clear_probe,2,12,2537.1240069061782,True
double_ring_optical_clear_probe,2,1,2703.5810725863666,False
double_ring_optical_clear_probe,2,19,4325.200212125609,True
double_ring_optical_clear_probe,3,1,5.0,False
double_ring_optical_clear_probe,3,2,11.0,True
double_ring_optical_clear_probe,3,8,47.0,False
double_ring_optical_clear_probe,3,16,95.0,False
double_ring_optical_clear_probe,3,19,113.0,False
double_ring_optical_clear_probe,3,14,356.0,False
double_ring_optical_clear_probe,3,12,606.6768717826918,False
double_ring_optical_clear_probe,3,5,1076.5864237491444,False
double_ring_optical_clear_probe,3,11,1106.5864237491444,False
double_ring_optical_clear_probe,3,18,2260.0667865597266,False
double_ring_optical_clear_probe,3,10,4268.568001728373,True
double_ring_optical_clear_probe,4,2,11.0,False
double_ring_optical_clear_probe,4,4,23.0,True
double_ring_optical_clear_probe,4,9,53.0,False
double_ring_optical_clear_probe,4,17,101.0,True
double_ring_optical_clear_probe,4,15,350.0,False
double_ring_optical_clear_probe,4,7,576.4570656801882,True
double_ring_optical_clear_probe,4,16,2759.638399769235,False
double_ring_optical_clear_probe,4,1,2825.638399769235,False
double_ring_optical_clear_probe,4,10,2968.0954654494235,True
double_ring_optical_clear_probe,4,5,3194.5525311296115,False
double_ring_optical_clear_probe,4,13,3362.0095968098,True
double_ring_optical_clear_probe,5,3,17.0,False
double_ring_optical_clear_probe,5,8,47.0,False
double_ring_optical_clear_probe,5,9,53.0,False
double_ring_optical_clear_probe,5,12,71.0,False
double_ring_optical_clear_probe,5,17,101.0,True
double_ring_optical_clear_probe,5,15,350.0,False
double_ring_optical_clear_probe,5,13,362.0,False
double_ring_optical_clear_probe,5,6,823.4887899236381,True
double_ring_optical_clear_probe,5,1,847.4887899236381,True
double_ring_optical_clear_probe,5,2,1110.0033795507463,False
double_ring_optical_clear_probe,5,11,1146.0033795507463,True
double_ring_optical_clear_probe,5,7,1342.4604452309345,False
double_ring_optical_clear_probe,5,4,1582.3974882787345,True
double_ring_optical_clear_probe,5,18,2865.318168630266,True
double_ring_optical_clear_probe,6,2,11.0,False
double_ring_optical_clear_probe,6,3,17.0,False
double_ring_optical_clear_probe,6,4,23.0,True
double_ring_optical_clear_probe,6,6,35.0,True
double_ring_optical_clear_probe,6,9,53.0,False
double_ring_optical_clear_probe,6,10,59.0,True
double_ring_optical_clear_probe,6,14,83.0,True
double_ring_optical_clear_probe,6,15,89.0,False
double_ring_optical_clear_probe,6,16,344.0,False
double_ring_optical_clear_probe,6,11,374.0,False
double_ring_optical_clear_probe,6,19,763.2184882477488,False
double_ring_optical_clear_probe,6,1,841.2184882477488,True
double_ring_optical_clear_probe,6,8,1034.744529047487,True
double_ring_optical_clear_probe,6,12,1874.8851661763993,False
double_ring_optical_clear_probe,6,20,2017.3422318565874,False
double_ring_optical_clear_probe,6,18,2023.3422318565874,False
double_ring_optical_clear_probe,7,1,5.0,False
double_ring_optical_clear_probe,7,9,53.0,False
double_ring_optical_clear_probe,7,13,77.0,False
double_ring_optical_clear_probe,7,19,113.0,True
double_ring_optical_clear_probe,7,2,428.0,False
double_ring_optical_clear_probe,7,6,570.4570656801881,True
double_ring_optical_clear_probe,7,18,1342.1079113733308,True
double_ring_optical_clear_probe,7,16,1587.564977053519,True
double_ring_optical_clear_probe,7,5,1914.3322554673366,True
double_ring_optical_clear_probe,7,4,2156.96321243578,False
double_ring_optical_clear_probe,7,3,2999.6774855740073,True
double_ring_optical_clear_probe,7,10,3304.5884704205973,True
double_ring_optical_clear_probe,8,9,386.0,True
double_ring_optical_clear_probe,8,7,398.0,False
double_ring_optical_clear_probe,8,5,410.0,True
double_ring_optical_clear_probe,8,3,422.0,True
double_ring_optical_clear_probe,8,17,778.9141313603762,True
double_ring_optical_clear_probe,8,2,862.9141313603762,False
double_ring_optical_clear_probe,8,12,1231.8282627207525,True
double_ring_optical_clear_probe,8,19,1606.7423940811289,False
double_ring_optical_clear_probe,8,4,1809.199459761317,False
