strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
double_ring_optical_clear_probe,1000,16,8,16,1.0,True,404.3009222991203,6468.814756785925,4889.814756785924,24449.073783929616,1270.0,254,215,0.8464566929133859,39,0,229,16,16,16,4,4,1312.4296518669482,4517.179566313609,1157.4888721753834,6468.814756785925,92,0.525390064009116
double_ring_optical_clear_probe,1001,16,8,16,1.0,True,382.0582724252462,6112.932358803939,4606.932358803941,23034.6617940197,1185.0,237,194,0.8185654008438819,43,0,214,25,25,16,5,5,1164.590028070027,2614.654897983998,614.5409174765616,6112.932358803939,40,0.56578335899394
double_ring_optical_clear_probe,1002,14,4,14,1.0,True,448.8967083108219,6284.553916351507,4571.553916351506,22857.769581757526,1390.0,278,242,0.8705035971223022,36,0,253,14,14,14,1,1,1659.7922057694882,5146.043496053093,760.1164068225227,6191.921679321132,57,0.30212384699552786
double_ring_optical_clear_probe,1003,13,5,13,1.0,True,492.11038707827686,6397.435032017599,4515.435032017598,22577.175160087983,1515.0,303,266,0.8778877887788779,37,0,281,20,20,13,2,2,1380.9881963376781,5237.000714784912,931.3716167382981,6168.428082532914,77,0.4526308830099879
double_ring_optical_clear_probe,1004,13,5,13,1.0,True,528.1529931414857,6865.988910839314,4975.988910839315,24879.944554196572,1530.0,306,272,0.8888888888888888,34,0,280,18,18,13,3,3,1467.162242683084,5006.573905919634,709.046555739921,6865.988910839314,58,0.41634889200213365
double_ring_optical_clear_probe,1005,13,6,13,1.0,True,480.61584431337553,6248.005976073882,4291.005976073882,21455.029880369406,1585.0,317,280,0.8832807570977917,37,0,292,18,18,13,5,5,971.8297836495033,4428.8118575190465,968.0846601971385,5819.2803704246,76,0.636515396006871
double_ring_optical_clear_probe,1006,12,7,12,1.0,True,679.8535995747853,8158.2431948974245,6138.2431948974245,30691.215974487135,1650.0,330,299,0.906060606060606,31,0,295,17,17,12,6,6,1169.5031101337781,5538.064450476644,952.757455944837,8158.2431948974245,74,0.4821735199948307
double_ring_optical_clear_probe,1007,16,8,16,1.0,True,488.2632190827189,7812.211505323502,5807.211505323502,29036.057526617496,1605.0,321,277,0.8629283489096573,44,0,293,25,25,16,4,3,1772.6524198389388,5487.635409150367,523.3003402315253,7812.211505323502,40,0.718467722996138
double_ring_optical_clear_probe,1008,14,10,14,1.0,True,491.98366531654676,6887.771314431655,4997.771314431655,24988.856572158278,1535.0,307,271,0.8827361563517915,36,0,285,14,14,14,4,4,1262.1617767012426,4689.117682558549,509.4068234606472,6425.6266699588205,40,0.5204366899997694
double_ring_optical_clear_probe,1009,11,7,11,1.0,True,663.4211587372534,7297.632746109788,5001.632746109791,25008.163730548946,1870.0,374,348,0.93048128342246,26,0,344,20,20,11,6,6,1774.1534663533544,6295.47304629337,668.7539119782003,7297.632746109788,57,0.5071541290089954
double_ring_optical_clear_probe,1010,15,7,15,1.0,True,477.87572289626127,7168.135843443919,5188.13584344392,25940.6792172196,1605.0,321,282,0.8785046728971962,39,0,294,17,17,15,5,5,1425.738987340073,4304.089347473427,673.8935719539797,7168.135843443919,57,0.6854988069972023
double_ring_optical_clear_probe,1011,12,7,12,1.0,True,567.0778281647504,6804.9339379770045,4981.9339379770045,24909.669689885024,1490.0,298,267,0.8959731543624161,31,0,273,12,12,12,4,4,838.733749014416,5080.661927806785,872.9144057368818,5686.917505623761,72,0.5857550799992168
double_ring_optical_clear_probe,1012,12,8,12,1.0,True,595.1124457007259,7141.34934840871,5175.349348408711,25876.746742043553,1600.0,320,283,0.884375,37,0,291,17,17,12,4,4,1330.3284019434902,3543.565595146665,996.8009954366986,7141.34934840871,79,0.4251000020012725
double_ring_optical_clear_probe,1013,13,8,13,1.0,True,513.3554912698658,6673.6213865082555,4628.621386508256,23143.106932541275,1655.0,331,297,0.8972809667673716,34,0,307,19,19,13,5,5,1330.4838768117859,5800.495502173582,873.8004692456823,6673.6213865082555,76,0.515647424996132
double_ring_optical_clear_probe,1014,14,6,14,1.0,True,449.5050473021753,6293.070662230454,4492.070662230454,22460.35331115227,1460.0,292,258,0.8835616438356164,34,0,268,15,15,14,1,1,1435.8503378998873,5107.4084308937145,1098.902070288092,6133.781190343831,92,0.5427055699983612
double_ring_optical_clear_probe,1015,10,8,10,1.0,True,692.7411501653476,6927.411501653476,4675.411501653477,23377.05750826738,1840.0,368,340,0.9239130434782609,28,0,344,16,16,10,7,7,1054.6641773109916,2662.7428115679645,524.7019328953459,6562.3305027203,40,0.4439413239888381
double_ring_optical_clear_probe,1016,12,6,12,1.0,True,509.6500360248203,6115.800432297843,4150.800432297843,20754.002161489214,1570.0,314,287,0.9140127388535032,27,0,290,27,27,12,4,4,668.3440457834896,3775.267338713588,877.4454278735026,5863.163893547837,72,0.6135673120006686
