strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s
double_ring_optical_clear_probe,3000,15,15,15,1.0,True,544.4397027131361,8166.595540697041,6002.595540697041,30012.977703485216,1760.0,352,316,0.8977272727272727,36,0,326,16,16,15,11,11,1525.9102494078793,3574.061757019335,738.4435960110036,8166.595540697041,60,0.8211439850128954
double_ring_optical_clear_probe,3001,12,12,12,1.0,True,750.9557959479206,9011.469551375047,6716.469551375048,33582.34775687525,1890.0,378,348,0.9206349206349206,30,0,345,12,12,12,8,8,2046.9559733572953,5639.139835338889,502.66049699159413,9011.469551375047,40,0.3835872920026304
double_ring_optical_clear_probe,3002,11,11,11,1.0,True,625.8013570373637,6883.814927411,4871.814927411,24359.074637054997,1650.0,330,305,0.9242424242424242,25,0,307,11,11,11,5,5,1566.340091048224,3395.4011979497654,712.5396769536667,6046.369238742347,59,0.2603713360003894
double_ring_optical_clear_probe,3003,14,14,14,1.0,True,490.33635366289064,6864.708951280469,4880.708951280466,24403.544756402334,1615.0,323,287,0.8885448916408669,36,0,299,14,14,14,8,8,1407.9097521956944,4899.2574400317,726.1486797771472,6864.708951280469,59,0.5635911670105997
double_ring_optical_clear_probe,3004,13,13,13,1.0,True,506.4301955807424,6583.592542549652,4804.5925425496525,24022.962712748256,1445.0,289,258,0.8927335640138409,31,0,266,14,14,13,6,6,892.0408517120709,3554.737016651849,667.857886883341,6329.6136302384975,57,0.5703500539966626
double_ring_optical_clear_probe,3005,15,15,15,1.0,True,484.1801484538213,7262.70222680732,5519.702226807321,27598.511134036606,1405.0,281,242,0.8612099644128114,39,0,257,17,17,15,8,8,1126.4574810271877,4955.955556174104,926.2912404831059,7262.70222680732,74,0.7021098120021634
double_ring_optical_clear_probe,3006,15,15,15,1.0,True,627.15924290944,9407.3886436416,7071.388643641601,35356.94321820801,1910.0,382,342,0.8952879581151832,40,0,351,15,15,15,8,8,2434.9512782778706,6438.418426272639,1984.4832646713658,9407.3886436416,166,0.6631429499975638
double_ring_optical_clear_probe,3007,15,15,15,1.0,True,461.97362412419756,6929.604361862964,5199.604361862962,25998.021809314818,1400.0,280,243,0.8678571428571429,37,0,255,15,15,15,6,6,1455.0488399047113,6300.619880176864,1302.0396489813156,6929.604361862964,103,0.4843491529900348
double_ring_optical_clear_probe,3008,12,12,12,1.0,True,568.3204501641026,6819.845401969231,4660.845401969231,23304.22700984615,1765.0,353,322,0.9121813031161473,31,0,328,14,14,12,9,9,1470.4582291511042,3552.7774635666406,1117.8280357558644,6819.845401969231,97,0.4390765449934406
double_ring_optical_clear_probe,3009,13,13,13,1.0,True,593.2893942457683,7712.762125194988,5415.762125194988,27078.810625974937,1875.0,375,340,0.9066666666666666,35,0,351,15,15,13,3,3,2606.682144194187,6489.239966085683,673.3134065385191,7652.236850075255,59,0.5102472160069738
double_ring_optical_clear_probe,3010,15,15,15,1.0,True,585.6717232172937,8785.075848259405,6537.075848259405,32685.379241297018,1805.0,361,325,0.9002770083102493,36,0,332,27,27,15,9,8,2428.7765971382623,7248.90458290986,913.1964239258332,8785.075848259405,80,0.5484101730107795
double_ring_optical_clear_probe,3011,11,11,11,1.0,True,726.4838352906405,7991.322188197046,5438.322188197047,27191.610940985236,2105.0,421,390,0.9263657957244655,31,0,393,11,11,11,9,9,1886.5518121100047,6709.680055463706,2446.463916607207,7991.322188197046,211,0.877640849997988
double_ring_optical_clear_probe,3012,12,12,12,1.0,True,683.6824518289177,8204.189421947012,6007.189421947014,30035.947109735072,1805.0,361,332,0.9196675900277008,29,0,332,12,12,12,6,6,2186.796646041214,5859.76877769796,534.938253799294,8204.189421947012,40,0.38699738499417435
double_ring_optical_clear_probe,3013,15,15,15,1.0,True,509.7615816408781,7646.4237246131715,5666.423724613173,28332.11862306586,1610.0,322,283,0.8788819875776398,39,0,295,15,15,15,9,9,1239.0326048974957,3430.3302734061604,2082.4435006460412,7646.4237246131715,170,0.7212444719916675
double_ring_optical_clear_probe,3014,10,10,10,1.0,True,807.0336642041701,8070.336642041701,5932.336642041701,29661.683210208506,1765.0,353,329,0.9320113314447592,24,0,323,10,10,10,6,6,1110.223522420491,5264.901866862685,739.6086168465179,8070.336642041701,58,0.3672022850078065
double_ring_optical_clear_probe,3015,15,15,15,1.0,True,539.1251666067955,8086.877499101933,5982.877499101935,29914.38749550968,1705.0,341,303,0.8885630498533724,38,0,315,18,18,15,11,11,1976.2341548455092,6628.6262539652635,524.7111626227318,8086.877499101933,40,0.42845339799532667
double_ring_optical_clear_probe,3016,15,15,15,1.0,True,485.56137091193654,7283.420563679048,5468.42056367905,27342.102818395248,1465.0,293,255,0.8703071672354948,38,0,269,17,17,15,9,9,1328.81429690724,3634.7605155999854,761.1331025943947,7283.420563679048,59,0.5189721009955974
double_ring_optical_clear_probe,3017,15,15,15,1.0,True,537.0104770038997,8055.157155058496,5986.157155058496,29930.78577529247,1685.0,337,294,0.8724035608308606,43,0,309,15,15,15,9,9,1826.0075693250062,6667.872038984512,729.2174790740899,8055.157155058496,60,0.7658602540032007
double_ring_optical_clear_probe,3018,13,13,13,1.0,True,599.5724323154492,7794.44162010084,5585.441620100838,27927.20810050419,1810.0,362,327,0.9033149171270718,35,0,334,13,13,13,11,11,1698.8322111025782,6928.932420337191,1139.9787671248191,7794.44162010084,96,0.49318829299591016
double_ring_optical_clear_probe,3019,12,12,12,1.0,True,684.2246202100196,8210.695442520235,5998.695442520234,29993.477212601167,1815.0,363,333,0.9173553719008265,30,0,337,12,12,12,4,4,2398.022331494002,6978.222846368419,2018.5823033666823,8210.695442520235,166,0.35247962799621746
double_ring_optical_clear_probe,3020,13,13,13,1.0,True,589.2903581082112,7660.774655406745,5630.774655406746,28153.873277033723,1660.0,332,296,0.891566265060241,36,0,305,13,13,13,8,8,1299.5795849709127,3641.9520608714906,1384.3959723550602,7660.774655406745,114,0.6746136229921831
double_ring_optical_clear_probe,3021,14,14,14,1.0,True,448.5730107364803,6280.022150310724,4579.022150310726,22895.11075155363,1365.0,273,239,0.8754578754578755,34,0,251,19,19,14,8,8,967.9635746449986,2900.6340800560433,1172.634347690605,6019.272430013156,90,0.49448433599900454
double_ring_optical_clear_probe,3022,13,13,13,1.0,True,546.7862011489808,7108.22061493675,5070.220614936751,25351.10307468376,1665.0,333,301,0.9039039039039038,32,0,308,13,13,13,6,6,1395.9348710346806,6564.812722067055,697.8428514210781,7108.22061493675,59,0.5854407390143024
double_ring_optical_clear_probe,3023,14,14,14,1.0,True,610.0539109038795,8540.754752654313,6207.754752654317,31038.773763271587,1895.0,379,342,0.9023746701846965,37,0,353,19,19,14,9,9,2169.004150110091,5270.521615125597,2218.0246654887037,8540.754752654313,188,0.5832664699992165
