strategy,seed,channel,first_seen_time_s,directional
double_ring_optical_clear_probe,3000,4,23.0,False
double_ring_optical_clear_probe,3000,5,29.0,False
double_ring_optical_clear_probe,3000,6,35.0,False
double_ring_optical_clear_probe,3000,10,59.0,False
double_ring_optical_clear_probe,3000,11,65.0,False
double_ring_optical_clear_probe,3000,18,107.0,False
double_ring_optical_clear_probe,3000,19,113.0,False
double_ring_optical_clear_probe,3000,20,119.0,False
double_ring_optical_clear_probe,3000,16,344.0,False
double_ring_optical_clear_probe,3000,14,356.0,False
double_ring_optical_clear_probe,3000,8,392.0,False
double_ring_optical_clear_probe,3000,9,1012.355808284738,False
double_ring_optical_clear_probe,3000,15,1184.8128739649262,False
double_ring_optical_clear_probe,3000,3,1357.2699396451144,False
double_ring_optical_clear_probe,3000,12,1970.0303296640777,False
double_ring_optical_clear_probe,3001,7,41.0,False
double_ring_optical_clear_probe,3001,10,59.0,False
double_ring_optical_clear_probe,3001,11,65.0,False
double_ring_optical_clear_probe,3001,15,89.0,False
double_ring_optical_clear_probe,3001,20,119.0,False
double_ring_optical_clear_probe,3001,12,793.9959900049153,False
double_ring_optical_clear_probe,3001,13,1230.1485055285352,False
double_ring_optical_clear_probe,3001,19,1382.8187479162752,False
double_ring_optical_clear_probe,3001,6,1603.2758135964634,False
double_ring_optical_clear_probe,3001,8,1805.7328792766516,False
double_ring_optical_clear_probe,3001,5,1972.1899449568398,False
double_ring_optical_clear_probe,3001,17,2139.647010637028,False
double_ring_optical_clear_probe,3002,2,11.0,False
double_ring_optical_clear_probe,3002,3,17.0,False
double_ring_optical_clear_probe,3002,12,71.0,False
double_ring_optical_clear_probe,3002,13,77.0,False
double_ring_optical_clear_probe,3002,15,89.0,False
double_ring_optical_clear_probe,3002,17,101.0,False
double_ring_optical_clear_probe,3002,19,113.0,False
double_ring_optical_clear_probe,3002,20,320.0,False
double_ring_optical_clear_probe,3002,14,356.0,False
double_ring_optical_clear_probe,3002,6,2234.9396450397594,False
double_ring_optical_clear_probe,3002,1,2639.06082895461,False
double_ring_optical_clear_probe,3003,4,23.0,False
double_ring_optical_clear_probe,3003,8,47.0,False
double_ring_optical_clear_probe,3003,9,53.0,False
double_ring_optical_clear_probe,3003,13,77.0,False
double_ring_optical_clear_probe,3003,17,101.0,False
double_ring_optical_clear_probe,3003,18,107.0,False
double_ring_optical_clear_probe,3003,20,119.0,False
double_ring_optical_clear_probe,3003,19,326.0,False
double_ring_optical_clear_probe,3003,15,350.0,False
double_ring_optical_clear_probe,3003,12,368.0,False
double_ring_optical_clear_probe,3003,6,404.0,False
double_ring_optical_clear_probe,3003,1,434.0,False
double_ring_optical_clear_probe,3003,3,2040.086346294432,False
double_ring_optical_clear_probe,3003,2,2260.5434119746196,False
double_ring_optical_clear_probe,3004,10,59.0,False
double_ring_optical_clear_probe,3004,11,65.0,False
double_ring_optical_clear_probe,3004,17,101.0,False
double_ring_optical_clear_probe,3004,18,107.0,False
double_ring_optical_clear_probe,3004,19,113.0,False
double_ring_optical_clear_probe,3004,20,119.0,False
double_ring_optical_clear_probe,3004,15,350.0,False
double_ring_optical_clear_probe,3004,6,404.0,False
double_ring_optical_clear_probe,3004,1,434.0,False
double_ring_optical_clear_probe,3004,7,772.9141313603762,False
double_ring_optical_clear_probe,3004,8,1135.8282627207527,False
double_ring_optical_clear_probe,3004,3,1159.8282627207527,False
double_ring_optical_clear_probe,3004,16,1736.3437231722337,False
double_ring_optical_clear_probe,3005,1,5.0,False
double_ring_optical_clear_probe,3005,2,11.0,False
double_ring_optical_clear_probe,3005,6,35.0,False
double_ring_optical_clear_probe,3005,13,77.0,False
double_ring_optical_clear_probe,3005,14,83.0,False
double_ring_optical_clear_probe,3005,17,101.0,False
double_ring_optical_clear_probe,3005,19,113.0,False
double_ring_optical_clear_probe,3005,20,119.0,False
double_ring_optical_clear_probe,3005,7,1009.013568283346,False
double_ring_optical_clear_probe,3005,10,1481.672740684319,False
double_ring_optical_clear_probe,3005,9,1672.1298063645072,False
double_ring_optical_clear_probe,3005,11,1838.5868720446954,False
double_ring_optical_clear_probe,3005,12,1844.5868720446954,False
double_ring_optical_clear_probe,3005,16,2247.3019054065717,False
double_ring_optical_clear_probe,3005,4,2289.3019054065717,False
double_ring_optical_clear_probe,3006,1,5.0,False
double_ring_optical_clear_probe,3006,4,23.0,False
double_ring_optical_clear_probe,3006,6,35.0,False
double_ring_optical_clear_probe,3006,9,53.0,False
double_ring_optical_clear_probe,3006,14,83.0,False
double_ring_optical_clear_probe,3006,12,368.0,False
double_ring_optical_clear_probe,3006,10,380.0,False
double_ring_optical_clear_probe,3006,11,594.4570656801882,False
double_ring_optical_clear_probe,3006,19,754.9141313603762,False
double_ring_optical_clear_probe,3006,18,1053.6647485794556,False
double_ring_optical_clear_probe,3006,20,1421.5642725764033,False
double_ring_optical_clear_probe,3006,17,1993.9354696169678,False
double_ring_optical_clear_probe,3006,13,2118.392535297156,False
double_ring_optical_clear_probe,3006,8,2124.392535297156,False
double_ring_optical_clear_probe,3006,3,2458.3066666575323,False
double_ring_optical_clear_probe,3007,4,23.0,False
double_ring_optical_clear_probe,3007,6,35.0,False
double_ring_optical_clear_probe,3007,7,41.0,False
double_ring_optical_clear_probe,3007,8,47.0,False
double_ring_optical_clear_probe,3007,12,71.0,False
double_ring_optical_clear_probe,3007,13,77.0,False
double_ring_optical_clear_probe,3007,18,332.0,False
double_ring_optical_clear_probe,3007,5,410.0,False
double_ring_optical_clear_probe,3007,3,422.0,False
double_ring_optical_clear_probe,3007,16,612.4570656801882,False
double_ring_optical_clear_probe,3007,2,916.0733965884754,False
double_ring_optical_clear_probe,3007,11,1064.5304622686635,False
double_ring_optical_clear_probe,3007,14,1285.9949559811741,False
double_ring_optical_clear_probe,3007,17,1494.4520216613623,False
double_ring_optical_clear_probe,3007,19,1500.4520216613623,False
double_ring_optical_clear_probe,3008,1,5.0,False
double_ring_optical_clear_probe,3008,2,11.0,False
double_ring_optical_clear_probe,3008,12,71.0,False
double_ring_optical_clear_probe,3008,15,89.0,False
double_ring_optical_clear_probe,3008,3,422.0,False
double_ring_optical_clear_probe,3008,10,583.4570656801883,False
double_ring_optical_clear_probe,3008,13,1018.3711970405644,False
double_ring_optical_clear_probe,3008,11,1399.2853284009407,False
double_ring_optical_clear_probe,3008,6,1762.199459761317,False
double_ring_optical_clear_probe,3008,14,1792.199459761317,False
double_ring_optical_clear_probe,3008,16,1798.199459761317,False
double_ring_optical_clear_probe,3008,18,1940.6565254415052,False
double_ring_optical_clear_probe,3009,1,5.0,False
double_ring_optical_clear_probe,3009,3,17.0,False
