seed,emitter_count,directional_count,baseline_all_cleared,candidate_all_cleared,baseline_virtual_time_s,candidate_virtual_time_s,virtual_time_delta_s,lost_clearance,lost_target,is_regression,regression_log
0,16,8,True,True,6891.614165953992,6610.63466841904,-280.9794975349514,False,False,False,
1,11,7,True,True,6844.176847247368,6112.136923611781,-732.039923635587,False,False,False,
2,16,6,True,True,6273.531319113034,4625.702252550275,-1647.8290665627592,False,False,False,
3,11,2,True,True,6121.6386327285545,5980.250673216918,-141.38795951163684,False,False,False,
4,11,5,True,True,6346.185775723838,6191.46188499139,-154.72389073244722,False,False,False,
5,14,6,True,True,5832.534236758792,5889.656053599994,57.12181684120242,False,False,True,
6,16,6,True,True,4810.14848576996,4357.713415677049,-452.4350700929108,False,False,False,
7,12,7,True,True,6529.777467828927,6556.946953037723,27.169485208795777,False,False,True,
8,11,6,True,True,6956.224987617685,6965.200740450064,8.97575283237893,False,False,True,
9,13,8,True,True,6811.989504565928,7129.888957594485,317.8994530285572,False,False,True,regressions/seed_9.json
10,14,8,True,True,6392.849176774049,6038.808512001736,-354.040664772313,False,False,False,
11,13,8,True,True,6799.431500302928,6731.432311677227,-67.99918862570121,False,False,False,
12,13,10,True,True,7678.75188589412,7404.0487633965995,-274.7031224975208,False,False,False,
13,12,6,True,True,7786.346227932112,7544.927396216647,-241.41883171546488,False,False,False,
14,10,6,True,True,5988.6111733441485,6110.061521601111,121.45034825696257,False,True,True,
15,11,5,True,True,6321.908109736347,6231.314281887107,-90.59382784923946,False,False,False,
16,12,8,True,True,6766.135421766066,6608.433187847029,-157.7022339190371,False,False,False,
17,14,8,True,True,7374.641688102543,7283.396763593621,-91.24492450892285,False,False,False,
18,11,4,True,True,6615.520279262888,6571.896852169583,-43.6234270933046,False,False,False,
19,15,10,True,True,6795.771044514464,6790.184166028857,-5.586878485606576,False,False,False,
20,15,6,True,True,6271.180303238927,5929.44483710184,-341.7354661370873,False,False,False,
21,11,5,True,True,6234.328648296462,6084.387867269433,-149.94078102702952,False,False,False,
22,11,2,True,True,5820.955582620968,5766.687400199992,-54.26818242097579,False,False,False,
23,16,9,True,True,7012.07914324681,6593.764771235795,-418.3143720110156,False,False,False,
24,15,10,True,True,6747.9799168863265,7131.550952072749,383.5710351864227,False,False,True,regressions/seed_24.json
25,13,7,True,True,6067.956198809142,6071.801643024976,3.8454442158345046,False,False,True,
26,15,7,True,True,6541.630610255195,5793.700735910893,-747.9298743443023,False,False,False,
27,15,6,True,True,5908.36153477334,5826.815741973704,-81.54579279963673,False,False,False,
28,10,6,True,True,6040.869928466939,5898.091325403543,-142.77860306339608,False,False,False,
29,14,7,True,True,7108.160155936209,6670.5775495413345,-437.58260639487435,False,False,False,
30,14,5,True,True,7696.586801412435,6740.099316720459,-956.4874846919765,False,False,False,
31,10,5,True,True,6136.249703515361,6113.806886029071,-22.44281748628964,False,False,False,
32,10,6,True,True,6831.641846491272,6504.8043158912205,-326.83753060005165,False,False,False,
33,14,6,True,True,7578.372619583216,7050.7571553115695,-527.6154642716465,False,False,False,
34,14,10,True,True,6629.305546855254,6624.6061812727075,-4.6993655825463065,False,False,False,
35,14,9,True,True,7461.6037742122435,7599.666134890726,138.06236067848295,False,False,True,
36,12,7,True,True,6121.630023702236,6161.418999971323,39.78897626908656,False,False,True,
37,15,9,True,True,6477.817468016966,6391.5126432400575,-86.30482477690839,False,False,False,
38,15,9,True,True,6365.564378891123,6366.666938391712,1.1025595005894502,False,False,True,
39,11,4,True,True,6391.221922842093,6275.811045545111,-115.41087729698211,False,False,False,
40,13,5,True,True,6166.8452639960315,6149.095283606154,-17.749980389877237,False,False,False,
41,13,9,True,True,6139.517273928325,6149.86622818365,10.348954255324315,False,False,True,
42,15,6,True,True,6166.81323403382,5885.976825236769,-280.83640879705035,False,False,False,
43,10,8,True,True,7531.174312873017,7711.303393396868,180.12908052385137,False,False,True,regressions/seed_43.json
44,13,7,True,True,6565.002622659576,6556.178802428262,-8.82382023131413,False,False,False,
45,12,6,True,True,6095.908822024507,6109.160899282009,13.252077257502606,False,False,True,
46,10,4,True,True,6408.794546713839,6351.51886930104,-57.27567741279927,False,False,False,
47,12,5,True,True,6343.836131722636,6284.2605386345485,-59.57559308808777,False,False,False,
48,14,5,True,True,6009.067155383836,5682.570964839231,-326.49619054460436,False,False,False,
49,10,6,True,True,6746.248926249366,6620.307627483782,-125.94129876558418,False,False,False,
50,13,5,True,True,7088.813134245323,6822.07983465398,-266.7332995913439,False,False,False,
51,11,4,True,True,6971.769763892542,6836.3180969048835,-135.45166698765843,False,False,False,
52,12,6,True,True,7518.947014783676,7472.283490705533,-46.66352407814338,False,False,False,
53,14,6,True,True,8627.224020457123,7550.141499376232,-1077.0825210808907,False,False,False,
54,11,8,True,True,7034.664046826083,6629.209117136281,-405.45492968980216,False,False,False,
55,10,5,True,True,6528.790313437707,6338.367027075903,-190.42328636180355,False,False,False,
56,16,10,True,True,7375.109916489254,6549.688796729929,-825.4211197593249,False,False,False,
57,10,5,True,True,7268.1664728325495,7131.738952169886,-136.42752066266348,False,False,False,
58,14,10,True,True,6552.838785298604,6436.177671878411,-116.66111342019303,False,False,False,
59,11,5,True,True,6608.962941491707,6602.314566924201,-6.648374567505925,False,False,False,
60,12,5,True,True,6384.141421783968,6456.496439711554,72.35501792758532,False,False,True,
61,13,9,True,True,6237.630883959526,6094.7010006807695,-142.92988327875628,False,False,False,
62,14,7,True,True,7215.8755730605435,6755.04627171499,-460.8293013455532,False,False,False,
63,13,7,True,True,6720.185866191405,6621.04429879519,-99.14156739621467,False,False,False,
64,13,5,True,True,6205.035769487063,6123.006510618941,-82.02925886812136,False,False,False,
65,13,5,True,True,6523.583334098319,6560.098882998031,36.515548899711575,False,False,True,
66,10,7,True,True,6654.919596542688,6607.524562442217,-47.39503410047109,False,False,False,
