strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s,local_check_count,local_detour_distance_m,main_skeleton_distance_m,switch_time_s,optical_time_s,successful_clear_time_s,cost_accounting_residual_s,all_cleared_within_6000,post_last_clear_time_s,seen16_time_s,post_seen16_time_s,unseen_measures_after_seen16
double_ring_optical_clear_probe,0,16,8,16,1.0,True,430.7258853721245,6891.614165953992,5058.614165953992,25293.070829769953,1480.0,296,252,0.8513513513513513,44,0,270,17,17,16,6,6,1267.8630218141523,4260.958105353001,497.1774631633855,6891.614165953992,40,1.3711668029864086,,,,270.0,51.0,32.0,0.0,False,0.0,4260.958105353001,2630.6560606009907,27
double_ring_optical_clear_probe,1,11,7,11,1.0,True,622.1978952043062,6844.176847247368,4756.176847247368,23780.884236236845,1715.0,343,311,0.9067055393586005,32,0,318,11,11,11,6,6,814.5477741918236,2444.8491014476385,518.3447298040112,6434.974897896608,40,0.9733201649942202,,,,318.0,33.0,22.0,0.0,False,409.2019493507596,,,
double_ring_optical_clear_probe,2,16,6,16,1.0,True,392.09570744456465,6273.531319113034,4847.531319113034,24237.656595565168,1135.0,227,184,0.8105726872246696,43,0,199,20,20,16,2,2,917.7090612348312,4325.200212125609,746.6185579125023,6273.531319113034,58,1.0627343720116187,,,,199.0,60.0,32.0,0.0,False,0.0,4325.200212125609,1948.3311069874253,24
double_ring_optical_clear_probe,3,11,2,11,1.0,True,556.5126029753231,6121.6386327285545,4207.638632728553,21038.19316364276,1570.0,314,282,0.8980891719745223,32,0,289,11,11,11,0,0,904.1349552335528,4268.568001728373,506.17613643660604,5931.042712707481,40,0.7403312100068433,,,,289.0,33.0,22.0,1.8189894035458565e-12,False,190.59592002107365,,,
double_ring_optical_clear_probe,4,11,5,11,1.0,True,576.925979611258,6346.185775723838,4281.1857757238395,21405.928878619194,1685.0,337,307,0.9109792284866469,30,0,313,15,15,11,5,5,1474.9446780552266,3362.0095968098,728.4980257408246,5901.3198547329575,59,0.5404517719871365,,,,313.0,45.0,22.0,-1.8189894035458565e-12,False,444.8659209908801,,,
double_ring_optical_clear_probe,5,14,6,14,1.0,True,416.6095883399137,5832.534236758792,4316.534236758793,21582.67118379396,1215.0,243,205,0.8436213991769548,38,0,219,18,18,14,2,2,765.5828886491933,2865.318168630266,668.5936844743516,4744.727855960996,56,0.970317621002323,,,,219.0,54.0,28.0,-9.094947017729282e-13,True,1087.806380797796,,,
double_ring_optical_clear_probe,6,16,6,16,1.0,True,300.6342803606225,4810.14848576996,3569.148485769961,17845.742428849808,980.0,196,156,0.7959183673469388,40,0,181,16,16,16,4,4,602.6719459645349,2023.3422318565874,670.4775274616673,4810.14848576996,56,0.9095995419920655,,,,181.0,48.0,32.0,-1.8189894035458565e-12,True,0.0,2023.3422318565874,2786.8062539133725,28
double_ring_optical_clear_probe,7,12,7,12,1.0,True,544.1481223190773,6529.777467828927,4582.777467828925,22913.887339144636,1575.0,315,284,0.9015873015873016,31,0,291,19,19,12,3,3,1212.6409481670632,3304.5884704205973,888.6593941941611,6529.777467828927,77,0.6709048889897531,,,,291.0,57.0,24.0,1.8189894035458565e-12,False,0.0,,,
double_ring_optical_clear_probe,8,11,6,11,1.0,True,632.3840897834259,6956.224987617685,4754.224987617685,23771.124938088426,1815.0,363,333,0.9173553719008265,30,0,332,11,11,11,4,4,1454.7537699102534,5834.579498607143,2588.2901770448857,6956.224987617685,211,0.7659481580049032,,,,332.0,33.0,22.0,0.0,False,0.0,,,
double_ring_optical_clear_probe,9,13,8,13,1.0,True,523.9991926589175,6811.989504565928,4784.98950456593,23924.947522829643,1640.0,328,292,0.8902439024390244,36,0,304,19,19,13,5,5,1769.788285173572,6382.300943231107,738.1596879980642,6811.989504565928,60,0.737605499001802,,,,304.0,57.0,26.0,-1.8189894035458565e-12,False,0.0,,,
double_ring_optical_clear_probe,10,14,8,14,1.0,True,456.6320840552892,6392.849176774049,4551.8491767740525,22759.24588387025,1480.0,296,261,0.8817567567567568,35,0,273,20,20,14,4,4,1090.7458445943646,5377.9070936044745,731.9683413101312,6392.849176774049,56,1.0810096850036643,,,,273.0,60.0,28.0,-3.637978807091713e-12,False,0.0,,,
double_ring_optical_clear_probe,11,13,8,13,1.0,True,523.0331923309944,6799.431500302928,4977.43150030293,24887.157501514645,1485.0,297,262,0.8821548821548821,35,0,272,13,13,13,6,6,651.4931689524344,1881.9791969087805,790.6180364402692,5754.369580446184,59,1.0311798799957614,,,,272.0,39.0,26.0,-1.8189894035458565e-12,False,1045.0619198567438,,,
double_ring_optical_clear_probe,12,13,10,13,1.0,True,590.6732219918554,7678.75188589412,5697.751885894122,28488.759429470607,1615.0,323,292,0.9040247678018576,31,0,295,15,15,13,3,2,1888.253259776492,5842.09398487708,719.9862923631238,7678.75188589412,59,0.7869594060030067,,,,295.0,45.0,26.0,-1.8189894035458565e-12,False,0.0,,,
double_ring_optical_clear_probe,13,12,6,12,1.0,True,648.8621856610093,7786.346227932112,5731.346227932114,28656.731139660566,1675.0,335,303,0.9044776119402985,32,0,308,16,16,12,3,3,1782.6622595607716,5384.534985821747,736.0950462057535,7786.346227932112,59,0.6555766490055248,,,,308.0,48.0,24.0,-1.8189894035458565e-12,False,0.0,,,
