seed,emitter_count,directional_count,baseline_all_cleared,candidate_all_cleared,baseline_virtual_time_s,candidate_virtual_time_s,virtual_time_delta_s,lost_clearance,lost_target,is_regression,regression_log
0,16,8,True,True,6891.614165953992,6651.147646801846,-240.46651915214534,False,False,False,
1,11,7,True,True,6844.176847247368,6080.888086803785,-763.2887604435828,False,False,False,
2,16,6,True,True,6273.531319113034,4658.993780992191,-1614.5375381208432,False,False,False,
3,11,2,True,True,6121.6386327285545,5920.142616114032,-201.4960166145229,False,False,False,
4,11,5,True,True,6346.185775723838,6157.711984728991,-188.47379099484624,False,False,False,
5,14,6,True,True,5832.534236758792,5923.873586529056,91.33934977026456,False,False,True,regressions/seed_5.json
6,16,6,True,True,4810.14848576996,4400.484260713785,-409.6642250561745,False,False,False,
7,12,7,True,True,6529.777467828927,6577.946953037723,48.16948520879578,False,False,True,
8,11,6,True,True,6956.224987617685,6288.556117241751,-667.6688703759337,False,False,False,
9,13,8,True,True,6811.989504565928,7040.648980666729,228.65947610080093,False,False,True,regressions/seed_9.json
10,14,8,True,True,6392.849176774049,6071.808512001736,-321.040664772313,False,False,False,
11,13,8,True,True,6799.431500302928,6786.432311677227,-12.999188625701208,False,False,False,
12,13,10,True,True,7678.75188589412,7264.805169977606,-413.9467159165142,False,False,False,
13,12,6,True,True,7786.346227932112,6950.241931200351,-836.1042967317608,False,False,False,
14,10,6,True,True,5988.6111733441485,5933.870881984109,-54.74029136003992,False,False,False,
15,11,5,True,True,6321.908109736347,6318.068745009895,-3.839364726452004,False,False,False,
16,12,8,True,True,6766.135421766066,6635.433187847029,-130.7022339190371,False,False,False,
17,14,8,True,True,7374.641688102543,7402.031220921932,27.389532819388478,False,False,True,
18,11,4,True,True,6615.520279262888,6439.010225334832,-176.51005392805564,False,False,False,
19,15,10,True,True,6795.771044514464,6667.606395370895,-128.16464914356857,False,False,False,
20,15,6,True,True,6271.180303238927,5974.2332612346545,-296.9470420042726,False,False,False,
21,11,5,True,True,6234.328648296462,6059.068336718394,-175.26031157806847,False,False,False,
