configuration,runs,successful_runs,sources,mean_case_time_s,aggregate_time_per_source_s,p95_case_time_s,within_220_s_per_source_rate,mean_movement_s,mean_measurement_s,mean_fallback_misses,probe_success_rate
completion_samples_15,12,12,163,3698.3016993261276,272.2676097663407,3909.6212377013703,0.0,2872.0516993261276,644.1666666666666,0.0,0.0
default,12,12,163,3698.3016993261276,272.2676097663407,3909.6212377013703,0.0,2872.0516993261276,644.1666666666666,0.0,0.0
free_order_off,12,12,163,3698.3016993261276,272.2676097663407,3909.6212377013703,0.0,2872.0516993261276,644.1666666666666,0.0,0.0
grid_10,12,12,163,3724.6648164345243,274.208452743646,3888.2846831603783,0.0,2866.498149767858,671.25,0.6666666666666666,0.0
grid_2p5,12,12,163,4495.850292421038,330.9828436138188,5151.4469402393215,0.0,3658.766959087705,652.0833333333334,1.0,0.0
posterior_off,12,12,163,3698.3016993261276,272.2676097663407,3909.6212377013703,0.0,2872.0516993261276,644.1666666666666,0.0,0.0
probe_budget_0,12,12,163,3698.3016993261276,272.2676097663407,3909.6212377013703,0.0,2872.0516993261276,644.1666666666666,0.0,0.0
probe_budget_48,12,12,163,3698.3016993261276,272.2676097663407,3909.6212377013703,0.0,2872.0516993261276,644.1666666666666,0.0,0.0
probe_limit_0,12,12,163,3698.3016993261276,272.2676097663407,3909.6212377013703,0.0,2872.0516993261276,644.1666666666666,0.0,0.0
probe_limit_3,12,12,163,3698.3016993261276,272.2676097663407,3909.6212377013703,0.0,2872.0516993261276,644.1666666666666,0.0,0.0
shared_stops_off,12,12,163,3698.3016993261276,272.2676097663407,3909.6212377013703,0.0,2872.0516993261276,644.1666666666666,0.0,0.0
