spatial_pattern,source_count,paired_cases,mean_case_delta_vs_area_uniform_s,bootstrap_ci95_low_s,bootstrap_ci95_high_s,slower_than_area_uniform_cases
boundary_heavy,10,6,465.8158924439945,196.63525485780733,724.3488487451715,6
boundary_heavy,13,6,377.6810316205252,143.37038216294596,640.3230456496791,6
boundary_heavy,16,6,261.76322565113134,-74.92008294546356,611.7608016944149,4
clustered,10,6,-455.54138843211126,-699.1741760283054,-206.71196364204982,0
clustered,13,6,-629.9375555741756,-808.7560812582615,-448.07628998037256,0
clustered,16,6,-982.6015578736691,-1449.0833742137004,-586.7493248909458,0
large_angular_gap,10,6,-9.570456250338339,-129.4323972268459,108.7035712824432,3
large_angular_gap,13,6,35.077000262251964,-122.87147915054356,181.87596288243307,4
large_angular_gap,16,6,-35.443032762228164,-386.79123119546654,362.97747511645775,2
near_pairs,10,6,-430.9809877000586,-779.1593835669161,-90.13026515521096,2
near_pairs,13,6,-528.2931481887791,-873.8147383882379,-227.51264918576007,0
near_pairs,16,6,-437.9255818428688,-795.9794451367611,-41.22453966772347,2
