strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s,local_check_count,local_detour_distance_m,main_skeleton_distance_m,switch_time_s,optical_time_s,successful_clear_time_s,cost_accounting_residual_s,all_cleared_within_6000,post_last_clear_time_s,seen16_time_s,post_seen16_time_s,unseen_measures_after_seen16
double_ring_optical_clear_probe,0,16,16,16,1.0,True,405.03613190164936,6480.57811042639,4519.578110426389,22597.890552131943,1575.0,315,264,0.8380952380952381,51,0,291,21,21,16,12,12,1191.4822774181607,2403.6921054816553,732.2583680117065,6480.57811042639,59,2.0234477190097095,,,,291.0,63.0,32.0,9.094947017729282e-13,False,0.0,2403.6921054816553,4076.8860049447344,50
double_ring_optical_clear_probe,1,11,11,11,1.0,True,718.2568099730732,7900.824909703805,5520.824909703805,27604.124548519027,1960.0,392,364,0.9285714285714286,28,0,365,11,11,11,8,8,2517.4676109311395,7243.537007554948,1189.5708508726937,7900.824909703805,97,0.7064145509939408,,,,365.0,33.0,22.0,0.0,False,0.0,,,
double_ring_optical_clear_probe,2,16,16,16,1.0,True,553.9661969976843,8863.459151962948,6712.45915196295,33562.295759814755,1735.0,347,309,0.8904899135446686,38,0,318,22,22,16,6,6,2738.3745206736007,5876.277827254047,938.9854298677942,8863.459151962948,80,0.8183928670041496,,,,318.0,66.0,32.0,-1.8189894035458565e-12,False,0.0,5876.277827254047,2987.1813247089012,15
double_ring_optical_clear_probe,3,11,11,11,1.0,True,658.6027889630827,7244.6306785939105,4862.630678593909,24313.153392969543,1960.0,392,361,0.9209183673469388,31,0,367,11,11,11,7,7,2012.512576089579,6303.185481474468,2596.7016096231823,6731.314424655384,221,1.021596556995064,,,,367.0,33.0,22.0,1.8189894035458565e-12,False,513.3162539385266,,,
double_ring_optical_clear_probe,4,11,11,11,1.0,True,655.1529382707298,7206.682320978028,5103.682320978029,25518.41160489015,1730.0,346,319,0.9219653179190751,27,0,318,11,11,11,4,4,1343.548463302677,5354.1062214455405,1295.8660579911675,7206.682320978028,110,0.7424121840012958,,,,318.0,33.0,22.0,-9.094947017729282e-13,False,0.0,,,
double_ring_optical_clear_probe,5,14,14,14,1.0,True,555.2734310638042,7773.828034893259,5738.828034893259,28694.140174466294,1660.0,332,291,0.8765060240963856,41,0,305,14,14,14,11,11,1209.333436885009,4017.0789740048585,671.9746254533277,7773.828034893259,59,1.745242896999116,,,,305.0,42.0,28.0,0.0,False,0.0,,,
double_ring_optical_clear_probe,6,16,16,16,1.0,True,399.67234954324493,6394.757592691919,4531.757592691922,22658.78796345961,1485.0,297,252,0.8484848484848485,45,0,274,24,24,16,9,9,1291.9782052226087,4068.4519596852892,739.0916610721666,6394.757592691919,60,1.3015517690073466,,,,274.0,72.0,32.0,-2.7284841053187847e-12,False,0.0,4068.4519596852892,2326.3056330066297,32
double_ring_optical_clear_probe,7,12,12,12,1.0,True,566.7521740597609,6801.026088717131,4817.026088717129,24085.130443585647,1620.0,324,291,0.8981481481481481,33,0,301,13,13,12,4,4,1481.4018862146731,6102.195297292948,532.4577860843955,6801.026088717131,40,0.8442379240004811,,,,301.0,39.0,24.0,1.8189894035458565e-12,False,0.0,,,
double_ring_optical_clear_probe,8,11,11,11,1.0,True,664.7605258846935,7312.365784731628,5182.365784731631,25911.82892365816,1745.0,349,322,0.9226361031518625,27,0,318,15,15,11,5,5,1169.1738126374846,3675.2833525335145,1280.2956772930374,7312.365784731628,110,0.8238394539948786,,,,318.0,45.0,22.0,-2.7284841053187847e-12,False,0.0,,,
double_ring_optical_clear_probe,9,13,13,13,1.0,True,562.6703553724922,7314.714619842398,5236.714619842398,26183.573099211993,1700.0,340,306,0.9,34,0,313,13,13,13,6,6,1916.352639566444,5422.758664293776,705.5376100759726,7314.714619842398,59,0.999139676001505,,,,313.0,39.0,26.0,0.0,False,0.0,,,
