seed,emitter_count,directional_count,baseline_all_cleared,candidate_all_cleared,baseline_virtual_time_s,candidate_virtual_time_s,virtual_time_delta_s,lost_clearance,lost_target,is_regression,regression_log
0,16,16,True,True,6480.57811042639,5202.7856966622785,-1277.7924137641112,False,False,False,
1,11,11,True,True,7900.824909703805,7897.595261097863,-3.2296486059422023,False,False,False,
2,16,16,True,True,8863.459151962948,7851.291041295651,-1012.1681106672977,False,False,False,
3,11,11,True,True,7244.6306785939105,7267.176033484607,22.545354890696217,False,False,True,
4,11,11,True,True,7206.682320978028,7157.549868274724,-49.1324527033039,False,False,False,
5,14,14,True,True,7773.828034893259,6749.6835127063505,-1024.144522186909,False,False,False,
6,16,16,True,True,6394.757592691919,5878.231988036025,-516.5256046558943,False,False,False,
7,12,12,True,True,6801.026088717131,6459.552392137699,-341.4736965794318,False,False,False,
8,11,11,True,True,7312.365784731628,6548.900574869901,-763.4652098617271,False,False,False,
9,13,13,True,True,7314.714619842398,6835.498941587251,-479.2156782551474,False,False,False,
10,14,14,True,True,8522.365066735318,7859.529334127083,-662.835732608235,False,False,False,
11,13,13,True,True,6753.749735009773,6239.868656325205,-513.8810786845679,False,False,False,
12,13,13,True,True,6493.213879725266,6575.457236397647,82.24335667238029,False,False,True,
13,12,12,True,True,8124.095832670953,7757.222401988016,-366.8734306829374,False,False,False,
14,10,10,True,True,6474.427922063773,7002.3110379392165,527.8831158754438,False,False,True,regressions/seed_14.json
15,11,11,True,True,7950.163516828472,7526.832721247766,-423.33079558070585,False,False,False,
16,12,12,True,True,7856.911417281537,7596.713038909587,-260.19837837194973,False,False,False,
17,14,14,True,True,7996.1524273328705,7145.741346147795,-850.4110811850751,False,False,False,
18,11,11,True,True,6688.258573311976,6305.648799783255,-382.60977352872123,False,False,False,
19,15,15,True,True,7155.312330168215,7025.5244123511575,-129.78791781705786,False,False,False,
20,15,15,True,True,6946.038960455495,6795.024068303457,-151.01489215203765,False,False,False,
21,11,11,True,True,8024.40328502306,6974.4448078762725,-1049.9584771467871,False,False,False,
22,11,11,True,True,8017.272946442565,7602.504100440913,-414.7688460016516,False,False,False,
23,16,16,True,True,8362.132981944898,7093.109463911909,-1269.0235180329892,False,False,False,
24,15,15,True,True,7648.507449241444,7591.06820185855,-57.43924738289388,False,False,False,
25,13,13,True,True,7083.448958103351,6531.343170919954,-552.1057871833973,False,False,False,
26,15,15,True,True,8351.531366808327,7886.969509619503,-464.56185718882443,False,False,False,
27,15,15,True,True,6853.971192640969,7167.793205623261,313.8220129822921,False,False,True,regressions/seed_27.json
28,10,10,True,True,7584.688824243025,7239.510941171032,-345.17788307199316,False,False,False,
29,14,14,True,True,7608.0922819737825,7363.108895872488,-244.98338610129485,False,False,False,
30,14,14,True,True,6670.876257136777,6691.905009651696,21.02875251491878,False,False,True,
31,10,10,True,True,7970.546749713925,7639.70917235541,-330.83757735851486,False,False,False,
32,10,10,True,True,7386.7150978694735,7244.675860510193,-142.03923735928038,False,False,False,
33,14,14,True,True,8429.228626633598,7625.536067437256,-803.6925591963418,False,False,False,
34,14,14,True,True,6981.868444030636,6438.241938628161,-543.6265054024752,False,False,False,
35,14,14,True,True,7174.7742255879,6469.637900972485,-705.1363246154151,False,False,False,
36,12,12,True,True,6478.334135455765,6462.819225893839,-15.514909561926288,False,False,False,
37,15,15,True,True,6867.419780583046,7002.0177230683385,134.59794248529215,False,False,True,
38,15,15,True,True,8155.755749075895,7286.9565291904155,-868.7992198854799,False,False,False,
39,11,11,True,True,6797.014371767941,6351.83963589582,-445.17473587212135,False,False,False,
40,13,13,True,True,7548.770621989666,7478.36775275039,-70.4028692392767,False,False,False,
41,13,13,True,True,7049.986697705769,7087.554805765106,37.56810805933674,False,False,True,
42,15,15,True,True,7227.334377814464,7067.725036406915,-159.60934140754853,False,False,False,
43,10,10,True,True,7341.678536459007,7144.050683774983,-197.62785268402422,False,False,False,
44,13,13,True,True,6854.718617494494,6870.610773910345,15.892156415851787,False,False,True,
45,12,12,True,True,8785.445753498585,8143.986058803041,-641.4596946955444,False,False,False,
46,10,10,True,True,6713.091333682858,6860.411019225242,147.31968554238392,False,False,True,
47,12,12,True,True,8065.797401500382,6116.561962827226,-1949.2354386731558,False,False,False,
48,14,14,True,True,6659.932506448452,6703.659462546645,43.726956098193114,False,False,True,
49,10,10,True,True,7444.31901803003,6699.976122038045,-744.3428959919847,False,False,False,
50,13,13,True,True,7320.229148166588,6970.619540267691,-349.6096078988967,False,False,False,
51,11,11,True,True,7425.510469627155,7469.588171490914,44.0777018637591,False,False,True,
52,12,12,True,True,8751.043100647245,7254.569957307054,-1496.4731433401903,False,False,False,
53,14,14,True,True,7890.635239752501,7591.318247524273,-299.3169922282277,False,False,False,
54,11,11,True,True,6970.62731445733,6896.435201223715,-74.19211323361469,False,False,False,
55,10,10,True,True,7120.143242470299,6234.6938042833235,-885.4494381869754,False,False,False,
56,16,16,True,True,6855.887559294389,6645.106301290785,-210.7812580036034,False,False,False,
57,10,10,True,True,8761.645793128995,8208.358798092666,-553.2869950363292,False,False,False,
58,14,14,True,True,6529.428709688228,6719.872130445688,190.44342075745953,False,False,True,
59,11,11,True,True,7337.591602271398,6671.948394004817,-665.6432082665815,False,False,False,
60,12,12,True,True,6542.23029467255,6448.479474923415,-93.75081974913519,False,False,False,
61,13,13,True,True,7464.701891063068,6981.964521111386,-482.737369951682,False,False,False,
62,14,14,True,True,6664.280390263639,6708.518572305053,44.23818204141389,False,False,True,
63,13,13,True,True,8224.89863365113,8196.928455185262,-27.97017846586823,False,False,False,
64,13,13,True,True,7436.041532123656,7329.995116364405,-106.04641575925143,False,False,False,
65,13,13,True,True,7611.814026224133,7067.843952199714,-543.9700740244189,False,False,False,
66,10,10,True,True,7805.913247333673,7217.170104723937,-588.7431426097364,False,False,False,
67,10,10,True,True,7973.420805932907,7553.959586503401,-419.46121942950595,False,False,False,
68,15,15,True,True,7250.545786309748,6640.18752002427,-610.3582662854778,False,False,False,
69,15,15,True,True,7636.369175299653,7040.013127828438,-596.3560474712149,False,False,False,
70,10,10,True,True,6894.207267941119,6875.358696293134,-18.84857164798541,False,False,False,
71,12,12,True,True,6654.607657834093,6240.430383027886,-414.1772748062067,False,False,False,
72,10,10,True,True,7747.228743676645,7177.444001048623,-569.7847426280214,False,False,False,
73,12,12,True,True,7349.1267715637005,6580.125019103574,-769.0017524601262,False,False,False,
74,16,16,True,True,7776.786715721495,9191.480354211093,1414.693638489598,False,False,True,regressions/seed_74.json
75,13,13,True,True,9285.271261585867,8526.131680136887,-759.1395814489806,False,False,False,
76,12,12,True,True,7179.8665220054945,6110.341407079557,-1069.5251149259375,False,False,False,
77,16,16,True,True,7336.447915520756,6940.28475571761,-396.1631598031463,False,False,False,
78,16,16,True,True,7899.61065387029,7415.077388960137,-484.53326491015287,False,False,False,
79,11,11,True,True,6656.222450922178,6799.386357041073,143.16390611889528,False,False,True,
80,12,12,True,True,6610.533245580601,6276.4428576715145,-334.09038790908653,False,False,False,
81,14,14,True,True,6937.249581036798,7339.273211874614,402.0236308378162,False,False,True,regressions/seed_81.json
