base_seed,emitter_count,directional_probability,realized_directional_count,realized_directional_fraction,strategy,all_cleared,cleared_count,virtual_time_s,within_6000,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,channel_switch_count,switch_time_s,optical_count,optical_time_s,clear_success_count,successful_clear_time_s,directional_loss_count,directional_reacquisition_count,first_clear_time_s,last_clear_time_s,post_last_clear_time_s,seen_channel_count,cost_accounting_residual_s,wall_time_s
60000,10,0.0,0,0.0,double_ring_optical_clear_probe,True,10,6070.404867953491,False,4077.404867953492,20387.024339767453,1640.0,328,302,0.9207317073170732,303,303.0,10,30.0,10,20.0,0,0,1130.6114501134239,5952.917402803015,117.48746515047605,10,-9.094947017729282e-13,0.634047454004758
60000,10,0.0,0,0.0,adaptive_double_ring_clear_probe,True,10,6123.100465344485,False,4156.100465344488,20780.502326722435,1580.0,316,290,0.9177215189873418,292,292.0,25,75.0,10,20.0,0,0,1118.6114501134239,6005.613000194009,117.48746515047605,10,-2.7284841053187847e-12,0.5882298729993636
60000,10,0.25,1,0.1,double_ring_optical_clear_probe,True,10,6281.240474572174,False,4264.240474572174,21321.202372860873,1660.0,332,306,0.9216867469879518,307,307.0,10,30.0,10,20.0,1,1,1593.8171242374615,6163.753009421698,117.48746515047605,10,0.0,0.6285218710108893
60000,10,0.25,1,0.1,adaptive_double_ring_clear_probe,True,10,6339.936071963168,False,4342.936071963171,21714.680359815848,1605.0,321,295,0.9190031152647975,297,297.0,25,75.0,10,20.0,1,1,1569.8171242374615,6222.448606812692,117.48746515047605,10,-3.637978807091713e-12,0.5947560860076919
60000,10,0.5,3,0.3,double_ring_optical_clear_probe,True,10,6419.0456724514415,False,4354.0456724514415,21770.22836225721,1700.0,340,313,0.9205882352941176,315,315.0,10,30.0,10,20.0,2,2,1593.8171242374615,6419.0456724514415,0.0,10,0.0,0.6397825029998785
60000,10,0.5,3,0.3,adaptive_double_ring_clear_probe,True,10,6483.741269842435,False,4432.741269842439,22163.706349212185,1650.0,330,303,0.9181818181818182,306,306.0,25,75.0,10,20.0,2,2,1569.8171242374615,6483.741269842435,0.0,10,-3.637978807091713e-12,0.6297106739948504
60000,10,0.75,6,0.6,double_ring_optical_clear_probe,True,10,7846.593191928907,False,5526.593191928909,27632.965959644538,1915.0,383,360,0.9399477806788512,355,355.0,10,30.0,10,20.0,6,6,1397.3600585572735,7846.593191928907,0.0,10,-1.8189894035458565e-12,0.6056642219919013
60000,10,0.75,6,0.6,adaptive_double_ring_clear_probe,True,10,7463.92153776777,False,5106.921537767772,25534.60768883886,1945.0,389,365,0.9383033419023136,362,362.0,10,30.0,10,20.0,5,5,1397.3600585572735,7463.92153776777,0.0,10,-1.8189894035458565e-12,0.6121993629931239
60000,10,1.0,10,1.0,double_ring_optical_clear_probe,True,10,8147.695176034678,False,5635.695176034678,28178.4758801734,2075.0,415,393,0.946987951807229,387,387.0,10,30.0,10,20.0,7,7,1439.3600585572735,8147.695176034678,0.0,10,0.0,0.5464107650041115
60000,10,1.0,10,1.0,adaptive_double_ring_clear_probe,True,10,7754.7367957719525,False,5194.7367957719525,25973.683978859768,2115.0,423,400,0.9456264775413712,395,395.0,10,30.0,10,20.0,8,8,1439.3600585572735,7754.7367957719525,0.0,10,0.0,0.5367066040053032
60000,13,0.0,0,0.0,double_ring_optical_clear_probe,True,13,5746.872498783217,True,4161.872498783218,20809.362493916087,1285.0,257,224,0.8715953307392996,235,235.0,13,39.0,13,26.0,0,0,513.381522584271,4846.601293404063,900.2712053791547,13,-9.094947017729282e-13,0.8491632790100994
60000,13,0.0,0,0.0,adaptive_double_ring_clear_probe,True,13,5808.115526213897,True,4239.115526213902,21195.57763106949,1235.0,247,212,0.8582995951417004,224,224.0,28,84.0,13,26.0,0,0,513.381522584271,4907.844320834743,900.2712053791547,13,-4.547473508864641e-12,0.8113199910003459
60000,13,0.25,3,0.23076923076923078,double_ring_optical_clear_probe,True,13,6332.95357632254,False,4540.953576322539,22704.767881612705,1460.0,292,258,0.8835616438356164,267,267.0,13,39.0,13,26.0,3,3,1563.8171242374615,5432.682370943386,900.2712053791547,13,9.094947017729282e-13,0.9698076460044831
60000,13,0.25,3,0.23076923076923078,adaptive_double_ring_clear_probe,True,13,6392.691578642257,False,4619.69157864226,23098.45789321129,1405.0,281,248,0.8825622775800712,258,258.0,28,84.0,13,26.0,3,3,1539.8171242374615,5492.420373263102,900.2712053791547,13,-2.7284841053187847e-12,0.8797390450054081
60000,13,0.5,5,0.38461538461538464,double_ring_optical_clear_probe,True,13,7093.289998022407,False,5224.289998022407,26121.449990112043,1525.0,305,270,0.8852459016393442,279,279.0,13,39.0,13,26.0,4,4,1563.8171242374615,7093.289998022407,0.0,13,0.0,0.9998521550005535
60000,13,0.5,5,0.38461538461538464,adaptive_double_ring_clear_probe,True,13,7153.028000342124,False,5303.028000342128,26515.140001710624,1470.0,294,260,0.8843537414965986,270,270.0,28,84.0,13,26.0,4,4,1539.8171242374615,7153.028000342124,0.0,13,-3.637978807091713e-12,0.8511193669983186
60000,13,0.75,9,0.6923076923076923,double_ring_optical_clear_probe,True,13,8147.840984807242,False,5889.840984807243,29449.20492403622,1850.0,370,341,0.9216216216216216,343,343.0,13,39.0,13,26.0,8,8,1397.3600585572735,8147.840984807242,0.0,13,-9.094947017729282e-13,0.8740020569966873
60000,13,0.75,9,0.6923076923076923,adaptive_double_ring_clear_probe,True,13,7632.51692361365,False,5322.516923613651,26612.584618068264,1895.0,379,348,0.9182058047493403,350,350.0,13,39.0,13,26.0,8,8,1397.3600585572735,7632.51692361365,0.0,13,-9.094947017729282e-13,0.9889344809926115
60000,13,1.0,13,1.0,double_ring_optical_clear_probe,True,13,8060.493173605052,False,5901.493173605053,29507.46586802527,1755.0,351,318,0.905982905982906,324,324.0,18,54.0,13,26.0,9,9,1189.2128349597035,8060.493173605052,0.0,13,-9.094947017729282e-13,0.7732704230002128
60000,13,1.0,13,1.0,adaptive_double_ring_clear_probe,True,13,7275.429489196255,False,5276.429489196259,26382.147445981285,1590.0,318,288,0.9056603773584906,296,296.0,29,87.0,13,26.0,6,6,1172.2128349597035,7275.429489196255,0.0,13,-3.637978807091713e-12,0.7405860050057527
60000,16,0.0,0,0.0,double_ring_optical_clear_probe,True,16,4075.655296794752,True,3015.6552967947528,15078.276483973761,825.0,165,123,0.7454545454545455,152,152.0,17,51.0,16,32.0,0,0,513.381522584271,4075.655296794752,0.0,16,-9.094947017729282e-13,1.0251686060073553
60000,16,0.0,0,0.0,adaptive_double_ring_clear_probe,True,16,3960.895376536141,True,2994.895376536141,14974.47688268069,700.0,140,96,0.6857142857142857,126,126.0,36,108.0,16,32.0,0,0,513.381522584271,3960.895376536141,0.0,16,0.0,0.9768551290035248
60000,16,0.25,4,0.25,double_ring_optical_clear_probe,True,16,5223.343969188475,True,3825.3439691884737,19126.719845942374,1115.0,223,181,0.8116591928251121,203,203.0,16,48.0,16,32.0,3,3,919.5206921251297,5223.343969188475,0.0,16,9.094947017729282e-13,1.1664604609977687
60000,16,0.25,4,0.25,adaptive_double_ring_clear_probe,True,16,4867.201029538675,True,3693.20102953868,18466.005147693388,880.0,176,136,0.7727272727272727,160,160.0,34,102.0,16,32.0,3,3,907.5206921251297,4867.201029538675,0.0,16,-4.547473508864641e-12,1.0714850859949365
60000,16,0.5,7,0.4375,double_ring_optical_clear_probe,True,16,6964.309152713192,False,5386.30915271319,26931.545763565955,1270.0,254,212,0.8346456692913385,228,228.0,16,48.0,16,32.0,4,4,919.5206921251297,6964.309152713192,0.0,16,1.8189894035458565e-12,1.1827206339949043
60000,16,0.5,7,0.4375,adaptive_double_ring_clear_probe,True,16,5507.4565874903,True,4198.456587490303,20992.28293745152,995.0,199,160,0.8040201005025126,180,180.0,34,102.0,16,32.0,3,3,907.5206921251297,5507.4565874903,0.0,16,-2.7284841053187847e-12,1.0558558899938362
60000,16,0.75,12,0.75,double_ring_optical_clear_probe,True,16,7562.747072891543,False,5874.747072891541,29373.73536445772,1350.0,270,228,0.8444444444444444,243,243.0,21,63.0,16,32.0,6,6,743.6604511998498,7562.747072891543,0.0,16,1.8189894035458565e-12,1.0405156229971908
60000,16,0.75,12,0.75,adaptive_double_ring_clear_probe,True,16,6139.6154931878045,False,4684.615493187811,23423.077465939037,1100.0,220,182,0.8272727272727273,200,200.0,41,123.0,16,32.0,7,7,743.6604511998498,6139.6154931878045,0.0,16,-6.366462912410498e-12,0.9699151900131255
60000,16,1.0,16,1.0,double_ring_optical_clear_probe,True,16,7833.667525572324,False,6049.667525572322,30248.337627861623,1430.0,286,246,0.8601398601398601,259,259.0,21,63.0,16,32.0,8,8,1165.2128349597035,7833.667525572324,0.0,16,1.8189894035458565e-12,0.9101135880046058
