contrast,emitter_count,strategy,p_low,p_high,paired_cases,mean_time_difference_s,ci95_low_s,ci95_high_s,median_time_difference_s,positive_difference_rate,mean_movement_time_s_difference,mean_measure_time_s_difference,mean_switch_time_s_difference,mean_optical_time_s_difference
adjacent_p_increment,10,double_ring_optical_clear_probe,0.0,0.25,100,376.1128893083706,297.4156523649218,460.6910455539569,264.6367806075946,0.81,276.46288930837045,84.4,16.48,-1.23
adjacent_p_increment,10,double_ring_optical_clear_probe,0.25,0.5,100,314.5078607550961,248.86341204203575,384.8705071396926,252.46117425157718,0.81,219.55786075509633,79.0,15.47,0.48
adjacent_p_increment,10,double_ring_optical_clear_probe,0.5,0.75,100,336.1783173121054,260.0874500252345,417.5232578720622,202.04481674546696,0.81,248.94831731210508,72.55,14.02,0.66
adjacent_p_increment,10,double_ring_optical_clear_probe,0.75,1.0,100,324.1445184984219,243.7444052393776,409.24239235671655,210.95033652180246,0.78,214.55451849842203,92.3,18.19,-0.9
adjacent_p_increment,10,adaptive_double_ring_clear_probe,0.0,0.25,100,321.489083724973,250.28623480982228,396.41265089737783,229.48298813632164,0.79,228.6090837249729,78.5,15.34,-0.96
adjacent_p_increment,10,adaptive_double_ring_clear_probe,0.25,0.5,100,258.56094279111807,203.405077579449,316.74758188215037,153.98858310354444,0.82,163.4509427911178,81.35,16.01,-2.25
adjacent_p_increment,10,adaptive_double_ring_clear_probe,0.5,0.75,100,277.4434115157774,207.05549076044304,351.65528393818494,155.010462551028,0.73,183.74341151577713,80.7,15.58,-2.58
adjacent_p_increment,10,adaptive_double_ring_clear_probe,0.75,1.0,100,240.52945666712188,182.89519220142338,299.93942385461247,209.7392309010129,0.77,140.889456667122,85.8,16.87,-3.03
adjacent_p_increment,13,double_ring_optical_clear_probe,0.0,0.25,100,486.78887514447337,396.4962878803226,581.2779115498384,355.4993969691827,0.92,360.33887514447315,106.55,20.89,-0.99
adjacent_p_increment,13,double_ring_optical_clear_probe,0.25,0.5,100,412.80872176681,330.4192105568587,497.98143875214635,336.6127438917483,0.9,286.24872176681004,105.2,20.49,0.87
adjacent_p_increment,13,double_ring_optical_clear_probe,0.5,0.75,100,375.59562162466034,278.566157557081,477.87595645442514,226.83333099808533,0.75,265.2756216246601,91.4,17.75,1.17
adjacent_p_increment,13,double_ring_optical_clear_probe,0.75,1.0,100,420.9154064392796,329.8507794007079,516.1845924075112,269.1807607786909,0.81,288.67540643927964,111.55,21.89,-1.2
adjacent_p_increment,13,adaptive_double_ring_clear_probe,0.0,0.25,100,407.5838903531429,334.2206406553095,482.909072512269,317.2241632096461,0.91,271.84389035314285,113.9,21.96,-0.12
adjacent_p_increment,13,adaptive_double_ring_clear_probe,0.25,0.5,100,334.67553002169683,265.5465738897931,407.4729099511208,261.44706883998833,0.86,221.38553002169658,95.8,18.75,-1.26
adjacent_p_increment,13,adaptive_double_ring_clear_probe,0.5,0.75,100,317.0188881637798,245.90965131329904,397.20254523118837,184.4110789143292,0.83,207.5888881637797,92.85,17.96,-1.38
adjacent_p_increment,13,adaptive_double_ring_clear_probe,0.75,1.0,100,282.92810048243217,210.8899996216755,360.40075715361087,195.4088121139198,0.77,164.98810048243206,103.3,20.4,-5.76
adjacent_p_increment,16,double_ring_optical_clear_probe,0.0,0.25,100,1044.1541589369817,881.5736999203906,1208.9925875788947,982.243604300586,0.9,809.4341589369814,200.55,35.16,-0.99
adjacent_p_increment,16,double_ring_optical_clear_probe,0.25,0.5,100,718.6825811755662,570.253083137847,870.7927554907582,522.61519741041,0.89,524.5325811755664,163.2,30.14,0.81
adjacent_p_increment,16,double_ring_optical_clear_probe,0.5,0.75,100,607.2564929362316,474.73017802808147,747.6211260037331,524.391171122079,0.85,446.10649293623146,135.65,25.83,-0.33
adjacent_p_increment,16,double_ring_optical_clear_probe,0.75,1.0,100,553.890613508551,431.91861976296883,675.6578197938233,494.53721346721886,0.83,383.65061350855126,143.15,27.48,-0.39
adjacent_p_increment,16,adaptive_double_ring_clear_probe,0.0,0.25,100,841.6353505613521,694.926111118673,990.4603525641635,867.1380179696234,0.89,570.0753505613525,229.65,39.48,2.43
adjacent_p_increment,16,adaptive_double_ring_clear_probe,0.25,0.5,100,636.4810181145627,490.44973751033586,790.56377957458,545.8925641507028,0.83,434.43101811456296,169.7,30.49,1.86
adjacent_p_increment,16,adaptive_double_ring_clear_probe,0.5,0.75,100,454.029279674663,329.3578685051035,580.2919766879821,365.74363306973737,0.82,301.0892796746623,132.25,24.92,-4.23
adjacent_p_increment,16,adaptive_double_ring_clear_probe,0.75,1.0,100,501.9515334628294,379.59409095269905,624.8244289793994,373.1713901862827,0.76,319.4315334628298,157.15,29.27,-3.9
