contrast,directional_probability,strategy,paired_cases,mean_time_difference_s,ci95_low_s,ci95_high_s,median_time_difference_s,positive_difference_rate,mean_movement_time_s_difference,mean_measure_time_s_difference,mean_switch_time_s_difference,mean_optical_time_s_difference
n16_minus_n10,0.0,double_ring_optical_clear_probe,100,-1244.5078483022285,-1351.8468324918194,-1138.502320791078,-1231.7421131166234,0.0,-483.08784830222845,-669.45,-125.48,21.51
n16_minus_n10,0.0,adaptive_double_ring_clear_probe,100,-1530.5121745994056,-1616.6305213035514,-1444.2024786677373,-1576.1189613232268,0.0,-581.0921745994062,-830.55,-154.42,23.55
n16_minus_n10,0.25,double_ring_optical_clear_probe,100,-576.4665786736173,-720.6096947015377,-432.957957257342,-606.5330692158918,0.18,49.883421326382525,-553.3,-106.8,21.75
n16_minus_n10,0.25,adaptive_double_ring_clear_probe,100,-1010.3659077630264,-1125.4752277764203,-892.1959574854232,-965.181792928242,0.03,-239.62590776302676,-679.4,-130.28,26.94
n16_minus_n10,0.5,double_ring_optical_clear_probe,100,-172.2918582531472,-307.7768226325176,-33.789221506033954,-199.92955950589385,0.41,354.85814174685254,-469.1,-92.13,22.08
n16_minus_n10,0.5,adaptive_double_ring_clear_probe,100,-632.4458324395817,-757.2910220690816,-507.29679766391445,-571.5130216777789,0.17,31.354167560418453,-591.05,-115.8,31.05
n16_minus_n10,0.75,double_ring_optical_clear_probe,100,98.78631737097902,-39.56605062186133,232.99426190820955,62.61232499053858,0.51,552.016317370979,-406.0,-80.32,21.09
n16_minus_n10,0.75,adaptive_double_ring_clear_probe,100,-455.85996428069615,-577.3430305667925,-330.6050967676021,-392.9397473351805,0.25,148.70003571930366,-539.5,-106.46,29.4
n16_minus_n10,1.0,double_ring_optical_clear_probe,100,328.53241238110814,189.26731444606054,466.547723720065,233.17876336447807,0.71,721.1124123811081,-355.15,-71.03,21.6
n16_minus_n10,1.0,adaptive_double_ring_clear_probe,100,-194.43788748498864,-314.1509875245832,-79.06959852332575,-137.70049098178288,0.42,327.2421125150115,-468.15,-94.06,28.53
