emitter_count,directional_probability,strategy,cases,total_emitters,total_directional,realized_directional_fraction,all_clear_cases,mean_time_s,mean_time_ci95_low_s,mean_time_ci95_high_s,median_time_s,p95_time_s,maximum_time_s,within_6000_cases,within_6000_rate,within_6000_wilson_low,within_6000_wilson_high,mean_movement_time_s,mean_measure_time_s,mean_switch_time_s,mean_optical_time_s,mean_measure_count,mean_no_signal_rate,mean_directional_loss_count,mean_post_last_clear_time_s
10,0,double_ring_optical_clear_probe,100,1000,0,0.0,100,5988.447129431463,5962.10881126058,6015.730802213405,5974.3293125504315,6225.167077994364,6428.55491124096,54,0.54,0.44264860323368227,0.6343919169097589,4032.4171294314624,1604.2,296.49,35.34,320.84,0.9139345922204111,0.0,492.48041973151
10,0,adaptive_double_ring_clear_probe,100,1000,0,0.0,100,5963.504719572411,5936.747374917765,5991.460811319927,5949.0786364513115,6176.580601464263,6458.84328843376,64,0.64,0.5423540245160874,0.7272877959859567,4047.7947195724114,1554.1,286.53,55.08,310.82,0.9212927932685574,0.0,454.9124409181634
10,0.25,double_ring_optical_clear_probe,100,1000,285,0.285,100,6364.560018739833,6284.264564469309,6451.076579417713,6279.563290857957,7308.48494215274,7833.691760394098,16,0.16,0.10095288488804782,0.24420269389270244,4308.880018739833,1688.6,312.97,34.11,337.72,0.9186111233203544,1.65,407.99138596147765
10,0.25,adaptive_double_ring_clear_probe,100,1000,285,0.285,100,6284.993803297384,6216.428837112719,6358.172698462071,6213.880520720302,6977.668863426546,7665.65503711733,21,0.21,0.141656540619153,0.29979968834089865,4276.403803297384,1632.6,301.87,54.12,326.52,0.9249795717104863,1.5,387.5069892755787
10,0.5,double_ring_optical_clear_probe,100,1000,514,0.514,100,6679.067879494929,6582.141585910535,6781.060656397232,6587.399314430126,7587.176539503212,8235.977276622658,4,0.04,0.01566330399154762,0.0983707143588792,4528.437879494929,1767.6,328.44,34.59,353.52,0.9235079364861184,2.98,340.9321033687416
10,0.5,adaptive_double_ring_clear_probe,100,1000,514,0.514,100,6543.554746088501,6462.652862522042,6629.44304570217,6501.002611028553,7344.491228601957,7971.627736231313,7,0.07,0.03431926106727268,0.137495147390735,4439.854746088502,1713.95,317.88,51.87,342.79,0.9293042312881405,2.64,355.7904955106912
10,0.75,double_ring_optical_clear_probe,100,1000,751,0.7509999999999999,100,7015.246196807034,6902.040731468471,7129.771446698375,6926.9946838381,8187.690722440952,8351.174715087513,1,0.01,0.0017674320641406505,0.054486196178705315,4777.386196807034,1840.15,342.46,35.25,368.03,0.9274640042762248,4.17,233.87637638448345
10,0.75,adaptive_double_ring_clear_probe,100,1000,751,0.7509999999999999,100,6820.998157604278,6724.070864916921,6920.526609161008,6763.40874726437,7717.827937929736,8160.18017417958,0,0.0,3.469446951953614e-18,0.03699349820698568,4623.59815760428,1794.65,333.46,49.29,358.93,0.9326270128039753,3.72,289.58128859439074
10,1,double_ring_optical_clear_probe,100,1000,1000,1.0,100,7339.390715305456,7219.8240174804,7461.077815272687,7289.733169301111,8382.64078105364,9012.526262041067,0,0.0,3.469446951953614e-18,0.03699349820698568,4991.940715305456,1932.45,360.65,34.35,386.49,0.9315775941078183,5.61,167.91411053960576
10,1,adaptive_double_ring_clear_probe,100,1000,1000,1.0,100,7061.527614271401,6965.288584328583,7160.453951194272,6997.057641618861,7907.552648982801,8703.776646270691,0,0.0,3.469446951953614e-18,0.03699349820698568,4764.487614271401,1880.45,350.33,46.26,376.09,0.9357491185705021,4.96,247.45602768706928
13,0,double_ring_optical_clear_probe,100,1300,0,0.0,100,5828.664676231847,5795.869220117958,5861.547522620893,5814.0215457484355,6180.909454468223,6261.87460979925,87,0.87,0.7901964855992357,0.9224283257275948,4162.764676231847,1348.4,245.63,45.87,269.68,0.867342022768915,0.0,349.90880756632146
13,0,adaptive_double_ring_clear_probe,100,1300,0,0.0,100,5772.033526050462,5744.997782341062,5798.112896552037,5775.0024856787695,5965.099522019667,6158.216000546383,96,0.96,0.9016292856411208,0.9843366960084523,4160.533526050462,1285.7,233.08,66.72,257.14,0.8737776436891842,0.0,364.92529029940533
13,0.25,double_ring_optical_clear_probe,100,1300,369,0.28384615384615386,100,6315.45355137632,6221.137924885706,6418.20743270903,6177.712591553096,7378.968368962242,8074.479987168229,26,0.26,0.18404698464748132,0.3537098944918718,4523.103551376321,1454.95,266.52,44.88,290.99,0.8779364482741215,2.24,292.7543265371043
13,0.25,adaptive_double_ring_clear_probe,100,1300,369,0.28384615384615386,100,6179.617416403603,6103.96676236533,6257.831401446894,6089.597512908196,7059.42897701752,7299.3034330638375,35,0.35,0.26364248243097527,0.44745556703112027,4432.377416403604,1399.6,255.04,66.6,279.92,0.8846653131792058,1.96,263.32019062081514
