contrast,emitter_count,directional_probability,paired_cases,mean_time_difference_s,ci95_low_s,ci95_high_s,median_time_difference_s,positive_difference_rate,mean_movement_time_s_difference,mean_measure_time_s_difference,mean_switch_time_s_difference,mean_optical_time_s_difference
candidate_minus_baseline,10,0.0,100,-24.942409859051878,-44.90820289487162,-5.838051483921467,-14.638688116968751,0.44,15.377590140948755,-50.1,-9.96,19.74
candidate_minus_baseline,10,0.25,100,-79.56621544244943,-120.00950397277973,-42.367009796595845,-47.12413974267747,0.31,-32.47621544244884,-56.0,-11.1,20.01
candidate_minus_baseline,10,0.5,100,-135.51313340642744,-184.16126664228315,-91.14918610335633,-80.6892674291903,0.32,-88.58313340642741,-53.65,-10.56,17.28
candidate_minus_baseline,10,0.75,100,-194.2480392027554,-249.76831893205056,-140.67785358115228,-157.8030546461173,0.24,-153.78803920275536,-45.5,-9.0,14.04
candidate_minus_baseline,10,1.0,100,-277.8631010340554,-354.6887597879129,-207.22962398336466,-206.79327063370374,0.19,-227.45310103405535,-52.0,-10.32,11.91
candidate_minus_baseline,13,0.0,100,-56.63115018138579,-83.88790736658123,-31.30868201265243,-42.87675129056015,0.37,-2.2311501813853694,-62.7,-12.55,20.85
candidate_minus_baseline,13,0.25,100,-135.83613497271625,-193.74736122459947,-82.50123655147598,-63.24818668633861,0.37,-90.72613497271563,-55.35,-11.48,21.72
candidate_minus_baseline,13,0.5,100,-213.9693267178294,-285.0283849356651,-149.96842239045142,-128.87039752355986,0.29,-155.58932671782907,-64.75,-13.22,19.59
candidate_minus_baseline,13,0.75,100,-272.54606017870987,-351.6090101876976,-199.55678533676445,-149.38908492332257,0.24,-213.27606017870949,-63.3,-13.01,17.04
candidate_minus_baseline,13,1.0,100,-410.5333661355573,-498.7328164588297,-323.3227639530064,-327.9929114594738,0.16,-336.96336613555707,-71.55,-14.5,12.48
candidate_minus_baseline,16,0.0,100,-310.9467361562288,-429.40295782737513,-189.58395788567094,-341.14992223852823,0.28,-82.62673615622913,-211.2,-38.9,21.78
candidate_minus_baseline,16,0.25,100,-513.4655445318585,-638.1770142265824,-387.4072735659815,-509.68947944440697,0.22,-321.9855445318581,-182.1,-34.58,25.2
candidate_minus_baseline,16,0.5,100,-595.667107592862,-732.2560562442302,-463.9846374417228,-561.0282797331602,0.22,-412.0871075928615,-175.6,-34.23,26.25
candidate_minus_baseline,16,0.75,100,-748.8943208544306,-882.7590666652816,-614.874455362479,-679.9472092207898,0.14,-557.1043208544306,-179.0,-35.14,22.35
candidate_minus_baseline,16,1.0,100,-800.8334009001522,-942.97895741052,-661.7117324052616,-750.5206918455556,0.12,-621.323400900152,-165.0,-33.35,18.84
