scenario,strategy,component,mean_time_s,share_of_mean_total
mixed,baseline,movement,4825.128600268799,0.7163505559127431
mixed,baseline,measurement,1554.0,0.2307106931463729
mixed,baseline,channel_switch,286.01,0.042461753762415774
mixed,baseline,optical,45.09,0.006694173200752867
mixed,baseline,successful_clear,25.48,0.003782823977715304
mixed,candidate,movement,4587.6149846546605,0.7127482800229665
mixed,candidate,measurement,1486.3,0.23091688647404657
mixed,candidate,channel_switch,272.5,0.042336575095322404
mixed,candidate,optical,64.62,0.01003959443177884
mixed,candidate,successful_clear,25.48,0.003958663975885559
all_directional,baseline,movement,5294.73954308538,0.7136816418014178
all_directional,baseline,measurement,1735.05,0.23386860156788303
all_directional,baseline,channel_switch,321.31,0.04330959936012017
all_directional,baseline,optical,42.33,0.005705690270809768
all_directional,baseline,successful_clear,25.48,0.003434466999769263
all_directional,candidate,movement,4971.617384772875,0.7065511965625798
all_directional,candidate,measurement,1670.1,0.23734955087117438
all_directional,candidate,channel_switch,308.06,0.04378055364431709
all_directional,candidate,optical,61.2,0.008697558537402474
all_directional,candidate,successful_clear,25.48,0.0036211403845263896
