model,response,term,estimate,hc3_se,ci95_low,ci95_high,p_value_normal_approx,n,r_squared
mixed_baseline,virtual_time_s,intercept,6735.201388283472,60.70254754328002,6616.224395098643,6854.1783814683,0.0,100,0.15903421247354999
mixed_baseline,virtual_time_s,emitter_count (+1),0.6304398191358516,34.438591659490385,-66.8691998334653,68.13007947173699,0.9853945797320989,100,0.15903421247354999
mixed_baseline,virtual_time_s,directional_share (+10pp),180.17471815454567,50.36581636012598,81.45771808869875,278.8917182203926,0.0003471331036159706,100,0.15903421247354999
mixed_baseline,virtual_time_s,interaction (+1 x +10pp),5.049207163187586,28.85965877158748,-51.515724029123874,61.61413835549905,0.8611132078368793,100,0.15903421247354999
mixed_candidate,virtual_time_s,intercept,6434.3891214872965,50.024824401184304,6336.3404656609755,6532.4377773136175,0.0,100,0.25417794163658336
mixed_candidate,virtual_time_s,emitter_count (+1),-69.50854374772568,30.789680828949805,-129.8563181724673,-9.160769322984066,0.023975148201253352,100,0.25417794163658336
mixed_candidate,virtual_time_s,directional_share (+10pp),182.0559383018712,45.24145154541936,93.38269327284927,270.72918333089314,5.7194616416832415e-05,100,0.25417794163658336
mixed_candidate,virtual_time_s,interaction (+1 x +10pp),21.16259836741201,27.299035358422,-32.34351093509511,74.66870766991913,0.4382131309463388,100,0.25417794163658336
mixed_paired_delta,virtual_time_delta_s,intercept,-300.81226679617595,40.052782762281026,-379.31572101024676,-222.30881258210513,5.894868785770393e-14,100,0.12141522955260708
mixed_paired_delta,virtual_time_delta_s,emitter_count (+1),-70.13898356686155,26.133402990361063,-121.36045342796925,-18.91751370575387,0.007277267220800161,100,0.12141522955260708
mixed_paired_delta,virtual_time_delta_s,directional_share (+10pp),1.8812201473255072,34.27112117786489,-65.29017736128968,69.0526176559407,0.9562242783762042,100,0.12141522955260708
mixed_paired_delta,virtual_time_delta_s,interaction (+1 x +10pp),16.11339120422441,20.784191223657302,-24.623623594143904,56.85040600259272,0.4381792435885052,100,0.12141522955260708
