scenario,strategy,threshold_s,success_cases,success_rate
mixed,baseline,5000,1,0.01
mixed,baseline,5250,1,0.01
mixed,baseline,5500,1,0.01
mixed,baseline,5750,1,0.01
mixed,baseline,6000,6,0.06
mixed,baseline,6250,24,0.24
mixed,baseline,6500,40,0.4
mixed,baseline,6750,57,0.57
mixed,baseline,7000,71,0.71
mixed,baseline,7250,80,0.8
mixed,baseline,7500,86,0.86
mixed,baseline,7750,93,0.93
mixed,baseline,8000,98,0.98
mixed,baseline,8250,98,0.98
mixed,baseline,8500,98,0.98
mixed,baseline,8750,100,1.0
mixed,baseline,9000,100,1.0
mixed,candidate,5000,2,0.02
mixed,candidate,5250,2,0.02
mixed,candidate,5500,2,0.02
mixed,candidate,5750,6,0.06
mixed,candidate,6000,15,0.15
mixed,candidate,6250,38,0.38
mixed,candidate,6500,59,0.59
mixed,candidate,6750,75,0.75
mixed,candidate,7000,85,0.85
mixed,candidate,7250,91,0.91
mixed,candidate,7500,96,0.96
mixed,candidate,7750,100,1.0
mixed,candidate,8000,100,1.0
mixed,candidate,8250,100,1.0
mixed,candidate,8500,100,1.0
mixed,candidate,8750,100,1.0
mixed,candidate,9000,100,1.0
all_directional,baseline,5000,0,0.0
all_directional,baseline,5250,0,0.0
all_directional,baseline,5500,0,0.0
all_directional,baseline,5750,0,0.0
all_directional,baseline,6000,0,0.0
all_directional,baseline,6250,0,0.0
all_directional,baseline,6500,6,0.06
all_directional,baseline,6750,16,0.16
all_directional,baseline,7000,34,0.34
all_directional,baseline,7250,45,0.45
all_directional,baseline,7500,59,0.59
all_directional,baseline,7750,68,0.68
all_directional,baseline,8000,82,0.82
all_directional,baseline,8250,89,0.89
all_directional,baseline,8500,93,0.93
all_directional,baseline,8750,95,0.95
all_directional,baseline,9000,99,0.99
all_directional,candidate,5000,0,0.0
all_directional,candidate,5250,1,0.01
all_directional,candidate,5500,1,0.01
all_directional,candidate,5750,1,0.01
all_directional,candidate,6000,2,0.02
all_directional,candidate,6250,7,0.07
all_directional,candidate,6500,17,0.17
all_directional,candidate,6750,35,0.35
all_directional,candidate,7000,48,0.48
all_directional,candidate,7250,68,0.68
all_directional,candidate,7500,79,0.79
all_directional,candidate,7750,90,0.9
all_directional,candidate,8000,95,0.95
all_directional,candidate,8250,98,0.98
all_directional,candidate,8500,98,0.98
all_directional,candidate,8750,99,0.99
all_directional,candidate,9000,99,0.99
