study,scenario_id,selected_x,selected_y,objective_m,realized_mean_diameter_m,realized_p95_diameter_m,selection_runtime_s,candidate_count,exact_evaluation_count,f1_area_m2,f1_diameter_m,selected_point_shift_m,objective_delta_m
ED-full,0,112.5,-1187.5,54.413296664025665,51.35107544440778,51.8610963737835,3.791538400007994,283,12000,35534.59609434849,1436.922053628629,0.0,0.0
ED-full,1,-1187.5,212.5,45.99393358672229,55.31066243349765,55.441356531295476,3.686501899996074,251,12000,26418.200494837787,1262.7968672303039,0.0,0.0
ED-full,2,12.5,-1737.5,58.46011836709458,51.70193987557705,52.59609725120967,3.9654348000040045,313,12000,39269.463539144635,1495.0030560486202,0.0,0.0
ED-full,3,12.5,1262.5,38.89644970517948,54.49442482107439,55.62042286416419,3.7509160000045085,283,12000,22530.430630259376,1143.649282924671,0.0,0.0
ED-full,4,62.5,-587.5,54.75096571344913,61.63232508211981,62.180420837765716,4.021522600000026,360,12000,39269.463539144606,1495.00305604862,0.0,0.0
ED-full,5,1412.5,662.5,23.00572768060474,25.997777632290973,26.632840477543827,3.6448409000004176,238,12000,6839.727358156278,625.5498386257145,0.0,0.0
ED-full,6,162.5,-1637.5,11.758621350124765,16.265388747882405,16.542151281262854,3.5802663000067696,210,12000,1735.5245894144757,313.6946054206885,0.0,0.0
ED-full,7,-437.5,-1037.5,55.129227188154836,42.62783911316526,42.65683860969226,3.87216639998951,310,12000,39269.46353914455,1495.0030560486202,0.0,0.0
ED-full,8,-837.5,-1137.5,57.65471512680383,69.68481735164806,70.29173575211372,3.96291139999812,313,12000,39269.46353914452,1495.0030560486202,0.0,0.0
ED-full,9,-737.5,-87.5,60.856704182674285,42.1213168639834,42.16185183671094,3.9996797000057995,269,12000,39269.463539144606,1495.0030560486202,0.0,0.0
ED-full,10,-737.5,-1287.5,26.060837305641392,38.329965334319226,38.92679187041703,3.8506002000067383,257,12000,8722.06263586226,715.9926102301956,0.0,0.0
ED-full,11,1262.5,612.5,48.81763093957795,63.94269441499783,65.87697969150209,3.899868599997717,265,12000,28080.865710781847,1269.2360349679059,0.0,0.0
ED-no-coarse-to-fine-100m,0,100.0,-1200.0,54.39765820597147,52.05726426482829,52.59717166493697,2.058846200001426,577,4000,35534.59609434849,1436.922053628629,17.67766952966369,-0.015638458054198168
ED-no-coarse-to-fine-100m,1,-1200.0,200.0,46.0006669152652,55.105616707540925,55.23817229376791,1.8435255000076722,445,4000,26418.200494837787,1262.7968672303039,17.67766952966369,0.006733328542907202
ED-no-coarse-to-fine-100m,2,0.0,-1700.0,58.49633294018408,53.993004331644876,55.026679647360346,2.2760132999974303,584,4000,39269.463539144635,1495.0030560486202,39.528470752104745,0.03621457308950227
ED-no-coarse-to-fine-100m,3,0.0,1300.0,39.018257366804406,52.348466647177744,53.36978945786455,1.961641799993231,547,4000,22530.430630259376,1143.649282924671,39.528470752104745,0.12180766162492773
ED-no-coarse-to-fine-100m,4,100.0,-500.0,54.974423519752904,67.0981904773665,67.81978389384334,2.7830805999983568,840,4000,39269.463539144606,1495.00305604862,95.19716382329885,0.2234578063037702
ED-no-coarse-to-fine-100m,5,1400.0,600.0,23.144720584989727,27.473950185749096,28.20041774273556,1.8046155999909388,434,4000,6839.727358156278,625.5498386257145,63.73774391990981,0.13899290438498824
ED-no-coarse-to-fine-100m,6,100.0,-1600.0,12.675441396196193,16.889087141736276,17.174261989576202,1.7167403000057675,354,4000,1735.5245894144757,313.6946054206885,72.88689868556625,0.9168200460714289
ED-no-coarse-to-fine-100m,7,-500.0,-1000.0,55.293152006436706,43.102537790376346,43.42026679653768,2.450271599998814,737,4000,39269.46353914455,1495.0030560486202,72.88689868556625,0.16392481828187044
ED-no-coarse-to-fine-100m,8,-800.0,-1100.0,57.825331725034985,73.6933905441145,74.38892690432641,2.5685535999946296,785,4000,39269.46353914452,1495.0030560486202,53.033008588991066,0.17061659823115605
ED-no-coarse-to-fine-100m,9,-700.0,-100.0,61.01742018229686,41.42522015715639,41.45010728957177,2.261005299995304,570,4000,39269.463539144606,1495.0030560486202,39.528470752104745,0.16071599962257466
ED-no-coarse-to-fine-100m,10,-700.0,-1300.0,26.35655940501369,38.978609424302576,39.55118045373218,1.843370500006131,403,4000,8722.06263586226,715.9926102301956,39.528470752104745,0.29572209937229843
ED-no-coarse-to-fine-100m,11,1200.0,600.0,48.9566815803491,57.0408359871739,58.584833653362445,2.1721718000044348,629,4000,28080.865710781847,1269.2360349679059,63.73774391990981,0.1390506407711456
ED-current-coarse-250m,0,200.0,-1050.0,55.92347184868746,45.64578550855545,45.9360102322031,1.2211509999906411,88,4000,35534.59609434849,1436.922053628629,162.98006013006622,1.5101751846617972
ED-current-coarse-250m,1,-1050.0,200.0,46.79145560941265,48.31848143496897,48.401012961858626,1.1875608999980614,70,4000,26418.200494837787,1262.7968672303039,138.06701271484076,0.7975220226903588
ED-current-coarse-250m,2,200.0,-550.0,60.01964826012072,56.13683590372775,56.81712451712968,1.2624046999990242,93,4000,39269.463539144635,1495.0030560486202,1202.2115038544591,1.5595298930261379
ED-current-coarse-250m,3,200.0,1200.0,40.37784615159378,51.79295080927973,52.756402175283206,1.1956640999997035,88,4000,22530.430630259376,1143.649282924671,197.64235376052372,1.4813964464143012
ED-current-coarse-250m,4,700.0,450.0,55.038286330983354,67.51567330793401,68.33208576458209,1.4044963000051212,135,4000,39269.463539144606,1495.00305604862,1217.7078877957554,0.28732061753422045
ED-current-coarse-250m,5,1450.0,700.0,24.01060660498157,23.206205193267614,23.654808014330012,1.1665325000067241,71,4000,6839.727358156278,625.5498386257145,53.033008588991066,1.0048789243768326
ED-current-coarse-250m,6,200.0,-1550.0,15.104911687928814,23.591124746683978,26.714415317175195,1.118119899998419,56,4000,1735.5245894144757,313.6946054206885,95.19716382329885,3.3462903378040494
ED-current-coarse-250m,7,-550.0,-1050.0,55.499313012972905,45.40277333343466,45.45145758673882,1.2728703000029782,118,4000,39269.46353914455,1495.0030560486202,113.19231422671771,0.3700858248180694
ED-current-coarse-250m,8,-800.0,-1050.0,58.14643298337953,75.13931888402519,75.86888881703004,1.2774924999976065,124,4000,39269.46353914452,1495.0030560486202,95.19716382329885,0.4917178565757041
ED-current-coarse-250m,9,-800.0,-50.0,63.44726337873509,44.64798172168776,44.728666814579,1.2715554000023985,88,4000,39269.463539144606,1495.0030560486202,72.88689868556625,2.590559196060802
ED-current-coarse-250m,10,-800.0,-1300.0,26.67796003800578,43.7669701064625,44.64240831562426,1.1510587999946438,63,4000,8722.06263586226,715.9926102301956,63.73774391990981,0.6171227323643862
ED-current-coarse-250m,11,1200.0,700.0,49.085168120607385,58.13586353646296,59.55523053104083,1.2225085999962175,102,4000,28080.865710781847,1269.2360349679059,107.52906583803284,0.26753718102943225
ED-old-hidden-R-update,0,112.5,-1187.5,54.413296664025665,51.35107544440778,51.8610963737835,3.7843496999994386,283,12000,35534.59609434849,1436.922053628629,0.0,0.0
ED-old-hidden-R-update,1,-1187.5,212.5,45.9939335867223,55.31066243349765,55.441356531295476,3.689701099996455,251,12000,26418.200494837787,1262.7968672303039,0.0,7.105427357601002e-15
ED-old-hidden-R-update,2,162.5,-537.5,59.30181482488388,59.48548809203777,60.25309947666417,3.9414295999886235,299,12000,39269.463539144635,1495.0030560486202,1209.3386622447824,0.8416964577892969
ED-old-hidden-R-update,3,12.5,1262.5,38.896449705179485,54.49442482107439,55.62042286416419,3.9748543000023346,283,12000,22530.430630259376,1143.649282924671,0.0,7.105427357601002e-15
ED-old-hidden-R-update,4,62.5,-587.5,54.75096571344913,61.63232508211981,62.180420837765716,4.091746299993247,360,12000,39269.463539144606,1495.00305604862,0.0,0.0
ED-old-hidden-R-update,5,1412.5,662.5,23.005727680604743,25.997777632290973,26.632840477543827,3.868312299993704,238,12000,6839.727358156278,625.5498386257145,0.0,3.552713678800501e-15
ED-old-hidden-R-update,6,162.5,-1637.5,11.758621350124765,16.265388747882405,16.542151281262854,4.025541900002281,210,12000,1735.5245894144757,313.6946054206885,0.0,0.0
ED-old-hidden-R-update,7,-437.5,-1037.5,55.129227188154836,42.62783911316526,42.65683860969226,4.079150599995046,310,12000,39269.46353914455,1495.0030560486202,0.0,0.0
ED-old-hidden-R-update,8,-837.5,-1137.5,57.65471512680383,69.68481735164806,70.29173575211372,3.906162299987045,313,12000,39269.46353914452,1495.0030560486202,0.0,0.0
ED-old-hidden-R-update,9,-737.5,-37.5,59.83182754878305,44.41496907176481,44.47785881274432,3.8131342999986373,269,12000,39269.463539144606,1495.0030560486202,50.0,-1.0248766338912318
ED-old-hidden-R-update,10,-737.5,-1287.5,26.060837305641392,38.329965334319226,38.92679187041703,3.7922950999927707,257,12000,8722.06263586226,715.9926102301956,0.0,0.0
ED-old-hidden-R-update,11,1262.5,612.5,48.81763093957795,63.94269441499783,65.87697969150209,3.865053000001353,287,12000,28080.865710781847,1269.2360349679059,0.0,0.0
ED-corrected-observable-update,0,112.5,-1187.5,54.413296664025665,51.35107544440778,51.8610963737835,3.866611899997224,283,12000,35534.59609434849,1436.922053628629,0.0,0.0
ED-corrected-observable-update,1,-1187.5,212.5,45.99393358672229,55.31066243349765,55.441356531295476,3.744311300004483,251,12000,26418.200494837787,1262.7968672303039,0.0,0.0
ED-corrected-observable-update,2,12.5,-1737.5,58.46011836709458,51.70193987557705,52.59609725120967,3.967542300000787,313,12000,39269.463539144635,1495.0030560486202,0.0,0.0
ED-corrected-observable-update,3,12.5,1262.5,38.89644970517948,54.49442482107439,55.62042286416419,3.7965063999872655,283,12000,22530.430630259376,1143.649282924671,0.0,0.0
ED-corrected-observable-update,4,62.5,-587.5,54.75096571344913,61.63232508211981,62.180420837765716,4.088521700003184,360,12000,39269.463539144606,1495.00305604862,0.0,0.0
ED-corrected-observable-update,5,1412.5,662.5,23.00572768060474,25.997777632290973,26.632840477543827,3.8868409999995492,238,12000,6839.727358156278,625.5498386257145,0.0,0.0
ED-corrected-observable-update,6,162.5,-1637.5,11.758621350124765,16.265388747882405,16.542151281262854,3.6793059000046924,210,12000,1735.5245894144757,313.6946054206885,0.0,0.0
ED-corrected-observable-update,7,-437.5,-1037.5,55.129227188154836,42.62783911316526,42.65683860969226,3.9500587999937125,310,12000,39269.46353914455,1495.0030560486202,0.0,0.0
ED-corrected-observable-update,8,-837.5,-1137.5,57.65471512680383,69.68481735164806,70.29173575211372,3.9251708000083454,313,12000,39269.46353914452,1495.0030560486202,0.0,0.0
ED-corrected-observable-update,9,-737.5,-87.5,60.856704182674285,42.1213168639834,42.16185183671094,3.875959500001045,269,12000,39269.463539144606,1495.0030560486202,0.0,0.0
ED-corrected-observable-update,10,-737.5,-1287.5,26.060837305641392,38.329965334319226,38.92679187041703,3.892128599996795,257,12000,8722.06263586226,715.9926102301956,0.0,0.0
ED-corrected-observable-update,11,1262.5,612.5,48.81763093957795,63.94269441499783,65.87697969150209,3.8574959999968996,265,12000,28080.865710781847,1269.2360349679059,0.0,0.0
