study,n_scenarios,expected_diameter_mean_m,realized_diameter_mean_m,realized_diameter_p95_m,selected_point_shift_mean_m,selection_runtime_mean_s,candidate_count_mean,exact_evaluation_count_mean,selection_stability_within_100m,scenario_objective_rank_spearman
ED-full,12,44.649852317504404,47.788352259580314,67.86361991877732,0.0,3.835520600001473,279.3333333333333,12000.0,1.0,1.0
ED-no-coarse-to-fine-100m,12,44.84638715235794,48.26718113826394,70.77589824856072,51.24572330758236,2.144986341666178,575.4166666666666,4000.0,1.0,1.0
ED-current-coarse-250m,12,45.84353033561742,48.60833037387422,71.72364713818367,293.2818480967884,1.2292845833326282,91.33333333333333,4000.0,0.4166666666666667,0.9790209790209792
ED-old-hidden-R-update,12,44.63458730282925,48.6281189616005,67.86361991877732,104.94488852039854,3.9026442083292445,280.0,12000.0,0.9166666666666666,1.0
ED-corrected-observable-update,12,44.649852317504404,47.788352259580314,67.86361991877732,0.0,3.8775378499994986,279.3333333333333,12000.0,1.0,1.0
ED-current-pruning,12,44.649852317504404,47.788352259580314,67.86361991877732,0.0,3.9058481249970405,244.41666666666666,12000.0,1.0,1.0
ED-without-pdet-threshold,12,44.649852317504404,47.788352259580314,67.86361991877732,0.0,3.9432946416697328,279.3333333333333,12000.0,1.0,1.0
ED-low-sampling-10x3,12,45.52146721037522,47.27038466569192,69.5853910744487,245.23254247126258,0.9683019250017727,287.1666666666667,900.0,0.8333333333333334,0.9440559440559443
ED-medium-sampling-20x5,12,44.804915750295045,48.53374492881792,73.1738539907933,150.2774350483161,1.5382665000021614,283.0,3000.0,0.8333333333333334,0.9720279720279721
ED-high-sampling-40x9,12,44.44751164902508,47.76402751924531,66.33778556394405,318.89348463957555,3.5591715083319286,283.75,10800.0,0.75,0.9720279720279721
