strategy_a,strategy_b,win_rate_a,tie_rate,mean_improvement_m,median_improvement_m,mean_improvement_ci_low,mean_improvement_ci_high
eig,expected_diameter,0.2168,0.0625,-26.039746165566175,-13.289453672713776,-30.8606626295706,-21.21175270874545
eig,fim_a,0.2121,0.06,-22.854584503371708,-13.417511076614437,-29.948074164945368,-13.03302246491964
eig,fim_d,0.2037,0.625,1.3179776100267806,0.0,-1.9610264351388729,4.470193811285981
eig,fim_e,0.4374,0.0175,8.887587104416212,-8.323516113407214,-2.4149835427392343,20.880207570687457
eig,gdop_mean,0.1923,0.065,-24.9184223257002,-14.957118966620765,-31.748347168109945,-15.928330887250874
eig,gdop_worst,0.2668,0.015,-21.441153370385955,-13.736058955860459,-28.947116738049417,-12.211079679702493
eig,geometry,0.1377,0.4425,-12.320522425918865,0.0,-16.123983132972416,-8.621789350677634
eig,minimax_diameter,0.2913,0.0275,-16.012608925359434,-10.644167234375832,-23.992898275319526,-5.895699533003974
eig,random,0.6451,0.0075,268.4471176120584,24.023722675370994,219.43465809325053,316.3992055695846
expected_diameter,eig,0.7207,0.0625,26.039746165566175,13.289453672713776,21.2101895406236,31.10315013860982
expected_diameter,fim_a,0.219,0.5325,3.1851616621944676,0.0,-2.418954174032999,11.697439784132138
expected_diameter,fim_d,0.7252,0.0525,27.35772377559295,16.507034767951552,22.561702665299887,31.916568268316553
expected_diameter,fim_e,0.4856,0.045,34.927333269982384,0.0,24.37014456972787,45.275550386538036
expected_diameter,gdop_mean,0.1964,0.515,1.1213238398659764,0.0,-4.415537017050333,9.716405617575369
expected_diameter,gdop_worst,0.326,0.395,4.598592795180218,0.0,-0.7333336870191496,13.138684873034771
expected_diameter,geometry,0.5483,0.095,13.71922373964731,2.3542994194175257,8.991345564219477,18.273641455939245
expected_diameter,minimax_diameter,0.3675,0.405,10.027137240206743,0.0,3.4856521142542065,19.010681306824225
expected_diameter,random,0.7775,0.0275,294.48686377762454,39.95439448814039,247.2378378502426,341.52081240578707
fim_a,eig,0.7279,0.06,22.854584503371708,13.417511076614437,13.635144993988028,29.783594959730625
fim_a,expected_diameter,0.2485,0.5325,-3.1851616621944676,0.0,-11.898021199434433,2.5980964268771016
fim_a,fim_d,0.7295,0.055,24.172562113398488,16.809563954112978,14.815615604192914,30.770825194322388
fim_a,fim_e,0.4994,0.0425,31.74217160778792,0.0,17.376267474078315,44.15119823593352
fim_a,gdop_mean,0.052,0.8075,-2.0638378223284906,0.0,-3.944203504721034,-0.7106082730774784
fim_a,gdop_worst,0.2559,0.5375,1.4134311329857514,0.0,-1.3060820689075372,4.544395792093184
fim_a,geometry,0.5547,0.0875,10.534062077452841,2.2469026856671803,1.3648932765818105,17.256427907201918
fim_a,minimax_diameter,0.3164,0.54,6.841975578012275,0.0,3.3990088487565626,10.965879003026037
fim_a,random,0.7952,0.015,291.30170211543015,39.41937466420853,243.8280374534685,341.06196780119313
fim_d,eig,0.1713,0.625,-1.3179776100267806,0.0,-4.3384367453322366,1.7400036244753614
fim_d,expected_diameter,0.2223,0.0525,-27.35772377559295,-16.507034767951552,-32.171956465498226,-22.666148587569044
fim_d,fim_a,0.2155,0.055,-24.172562113398488,-16.809563954112978,-31.37282396000253,-15.200618470167894
fim_d,fim_e,0.4127,0.0225,7.569609494389433,-10.150124564282635,-4.852785808675396,19.93254983482607
fim_d,gdop_mean,0.2053,0.055,-26.23639993572698,-18.232517426545545,-33.07439083186721,-16.705707054486282
fim_d,gdop_worst,0.2798,0.015,-22.759130980412735,-17.147613378767883,-30.05972658996646,-12.567677936841164
fim_d,geometry,0.1223,0.45,-13.638500035945643,0.0,-17.41461813335192,-10.146766647048226
fim_d,minimax_diameter,0.2819,0.0225,-17.330586535386217,-13.69998581404476,-25.352395857944792,-7.471780147802974
fim_d,random,0.6346,0.02,267.12914000203165,22.686146301238345,221.20934976876626,317.3299469434992
fim_e,eig,0.5451,0.0175,-8.887587104416212,8.323516113407214,-21.108384453442646,2.823639021818736
fim_e,expected_diameter,0.4694,0.045,-34.927333269982384,0.0,-45.93280928183248,-24.602947603439166
fim_e,fim_a,0.4581,0.0425,-31.74217160778792,0.0,-44.82446961449634,-18.576282426147845
fim_e,fim_d,0.5648,0.0225,-7.569609494389433,10.150124564282635,-20.52302000901372,4.8633583522763955
fim_e,gdop_mean,0.4407,0.045,-33.80600943011642,-1.259205372184514,-46.408256759318924,-20.789360893272583
fim_e,gdop_worst,0.4759,0.0275,-30.328740474802174,0.0,-43.03600607750171,-16.22477845768641
fim_e,geometry,0.4889,0.0375,-21.208109530335076,0.0,-32.658758259615894,-9.68187049664553
fim_e,minimax_diameter,0.4903,0.0175,-24.90019602977565,0.0,-38.46362476139388,-11.34245156574325
fim_e,random,0.6873,0.01,259.55953050764214,22.23112417730252,206.83331896418773,310.8740814854371
gdop_mean,eig,0.7427,0.065,24.9184223257002,14.957118966620765,16.432794083078893,31.727538727009396
gdop_mean,expected_diameter,0.2886,0.515,-1.1213238398659764,0.0,-9.93362714527343,4.564639577507226
gdop_mean,fim_a,0.1405,0.8075,2.0638378223284906,0.0,0.7096738614382659,4.007436455111764
gdop_mean,fim_d,0.7397,0.055,26.23639993572698,18.232517426545545,16.451579940323946,32.90862548396943
gdop_mean,fim_e,0.5143,0.045,33.80600943011642,1.259205372184514,20.82801199521809,46.46706049580532
gdop_mean,gdop_worst,0.3599,0.4175,3.4772689553142424,0.0,0.8522703227220293,6.741238925019872
gdop_mean,geometry,0.5677,0.1,12.597899899781334,2.9324388639422416,3.55631152164566,19.39864485781866
gdop_mean,minimax_diameter,0.4052,0.425,8.905813400340763,0.0,5.002433124324569,13.750101023992938
gdop_mean,random,0.795,0.0225,293.36553993775857,39.601588197952026,244.8239670737315,343.5004402324013
gdop_worst,eig,0.7182,0.015,21.441153370385955,13.736058955860459,12.482752042922717,29.003841570626196
gdop_worst,expected_diameter,0.279,0.395,-4.598592795180218,0.0,-13.418002079790401,0.8046699693775863
gdop_worst,fim_a,0.2066,0.5375,-1.4134311329857514,0.0,-4.510876130874129,1.2689869981599486
gdop_worst,fim_d,0.7052,0.015,22.759130980412735,17.147613378767883,13.066103659958642,30.535592297968066
gdop_worst,fim_e,0.4966,0.0275,30.328740474802174,0.0,16.938255947529647,43.62601090525382
gdop_worst,gdop_mean,0.2226,0.4175,-3.4772689553142424,0.0,-6.488299409374558,-0.9691229671282092
gdop_worst,geometry,0.5578,0.025,9.120630944467091,2.923362795917587,-0.5347217932296199,16.316361537521118
gdop_worst,minimax_diameter,0.2505,0.6275,5.428544445026524,0.0,2.7080315401191855,8.881181507092085
gdop_worst,random,0.7905,0.0125,289.8882709824444,38.86121521648674,242.6334213502322,342.3864370885771
geometry,eig,0.4198,0.4425,12.320522425918865,0.0,8.546480214967914,16.281909021787513
geometry,expected_diameter,0.3567,0.095,-13.71922373964731,-2.3542994194175257,-18.44752331755295,-9.14107970045807
geometry,fim_a,0.3578,0.0875,-10.534062077452841,-2.2469026856671803,-17.345080704423975,-1.4581525417691863
