factor,group,n,diameter_mean,diameter_p95,no_signal_rate
f1_diameter_m,"(1215.8703298230123, 1495.00305604862]",2925,55.707106959359486,78.18870632558027,0.017094017094017096
f1_diameter_m,"(1495.00305604862, 1495.0030560486202]",3825,64.08186194737983,83.69296536537819,0.0457516339869281
f1_diameter_m,"(1495.0030560486202, 1495.0030560486205]",750,63.89914278655644,84.62339735986097,0.03333333333333333
f1_diameter_m,"(227.1479078922441, 1215.8703298230123]",2500,30.90638429111431,53.096550611870775,0.0
f1_area_m2,"(25486.5434652691, 39269.4635391444]",2725,59.39060132317514,80.07106704047133,0.03669724770642202
f1_area_m2,"(39269.4635391444, 39269.4635391446]",2425,60.00032400636356,82.85317196931477,0.020618556701030927
f1_area_m2,"(39269.4635391446, 39269.4635391454]",2350,63.515118040727,83.24902963423331,0.0425531914893617
f1_area_m2,"(922.0439080973999, 25486.5434652691]",2500,30.658410362306046,50.826953080237594,0.0
s1_target_distance_m,"(334.701, 591.703]",2500,47.11328503150732,65.30535126381046,0.0
s1_target_distance_m,"(591.703, 872.684]",2500,43.32937678807722,51.34844020204602,0.0
s1_target_distance_m,"(84.484, 334.701]",2500,72.10026668649415,268.8327927338398,0.1
s1_target_distance_m,"(872.684, 1492.502]",2500,50.755762542944304,71.10870887634428,0.0
bearing_orientation_deg,"(1.0270000000000001, 93.469]",2500,49.74848154908795,68.44541227816543,0.02
bearing_orientation_deg,"(187.774, 276.212]",2500,57.003302387994374,84.59578889954831,0.04
bearing_orientation_deg,"(276.212, 358.586]",2500,53.966287998587966,77.2411521824264,0.02
bearing_orientation_deg,"(93.469, 187.774]",2500,52.58061911335271,80.46501476894908,0.02
