study,n_scenarios,expected_diameter_mean_m,realized_diameter_mean_m,realized_diameter_p95_m,selected_point_shift_mean_m,selection_runtime_mean_s,candidate_count_mean,exact_evaluation_count_mean,selection_stability_within_100m,scenario_objective_rank_spearman,target_samples,error_samples
10x3,6,47.46178710082299,50.0978085780582,63.00688913561035,430.1097458831978,1.044739166665143,295.1666666666667,900.0,0.6666666666666666,0.942857142857143,10,3
10x5,6,47.45929489244756,50.0978085780582,63.00688913561035,430.1097458831978,1.1847832166652854,295.1666666666667,1500.0,0.6666666666666666,0.942857142857143,10,5
10x9,6,47.455063048596514,50.0978085780582,63.00688913561035,430.1097458831978,1.5316909999989246,295.1666666666667,2700.0,0.6666666666666666,0.942857142857143,10,9
10x17,6,47.45467417190351,50.0978085780582,63.00688913561035,430.1097458831978,2.197168866669623,295.1666666666667,5100.0,0.6666666666666666,0.942857142857143,10,17
20x3,6,46.72188030088807,51.6882871043694,66.3800850749463,250.01741091124904,1.2730735833320068,290.8333333333333,1800.0,0.8333333333333334,1.0,20,3
20x5,6,46.72029648915687,51.6882871043694,66.3800850749463,250.01741091124904,1.5699394666662556,290.8333333333333,3000.0,0.8333333333333334,1.0,20,5
20x9,6,46.71879363829998,51.6882871043694,66.3800850749463,250.01741091124904,2.2107377166709434,290.8333333333333,5400.0,0.8333333333333334,1.0,20,9
20x17,6,46.718621737433494,51.6882871043694,66.3800850749463,250.01741091124904,3.4864598000009814,290.8333333333333,10200.0,0.8333333333333334,1.0,20,17
40x3,6,45.789591278633715,52.04227666782891,63.94565401157291,412.1468891057295,1.7140648499989766,288.6666666666667,3600.0,0.6666666666666666,1.0,40,3
40x5,6,45.78840619781156,52.04227666782891,63.94565401157291,412.1468891057295,2.3736182666640766,288.6666666666667,6000.0,0.6666666666666666,1.0,40,5
40x9,6,45.78668646205233,51.48153835388148,63.94565401157291,400.36177608595364,3.8524531000002753,288.6666666666667,10800.0,0.6666666666666666,1.0,40,9
40x17,6,45.786417151026534,51.48153835388148,63.94565401157291,400.36177608595364,6.217194766667187,288.6666666666667,20400.0,0.6666666666666666,1.0,40,17
80x3,6,45.92382451937953,49.992914954865824,60.55126007501223,0.0,2.663545650000742,288.0,7200.0,1.0,1.0,80,3
80x5,6,45.92008195284598,49.992914954865824,60.55126007501223,0.0,4.045124266667699,288.0,12000.0,1.0,1.0,80,5
80x9,6,45.9191415213794,49.992914954865824,60.55126007501223,0.0,6.722224000002218,288.0,21600.0,1.0,1.0,80,9
80x17,6,45.9188741942554,49.992914954865824,60.55126007501223,0.0,11.16443759999917,288.0,40800.0,1.0,1.0,80,17
