strategy,error_model,n,diameter_mean,diameter_median,diameter_p95,detection_probability,move_distance_mean
expected_diameter,truncated_gaussian,3325,55.93217429072078,47.74450115877902,83.08606824760042,0.9624060150375939,1036.9513764854557
expected_diameter,uniform,3350,51.43541907754719,47.76294921505211,78.08184066495532,0.9850746268656716,1054.9667217177619
expected_diameter,worst_bounded,3325,52.62062983342189,47.50489844117466,72.19635826921447,0.9774436090225563,1049.868531757463
fim_e,truncated_gaussian,3325,203.67809025559006,59.2706720958552,874.5296148750167,1.0,391.70687989169187
fim_e,uniform,3350,202.79402424731813,67.87250527514068,823.3538281371232,1.0,409.9472247430052
fim_e,worst_bounded,3325,173.68997687785424,67.71779668767657,692.163427820747,1.0,365.6876326497698
gdop_mean,truncated_gaussian,3325,54.63817977696669,48.15661323813301,84.38270948888143,0.9624060150375939,1016.5212402668801
gdop_mean,uniform,3350,51.09158139268189,47.171823655733846,81.36984412400658,0.9850746268656716,1033.7679436482424
gdop_mean,worst_bounded,3325,51.41194804021789,47.88335795052837,74.26268271887764,0.9849624060150376,1030.7638087743312
geometry,truncated_gaussian,3325,71.24202540438229,56.96176897581272,154.73618989434516,1.0,917.4220835288231
geometry,uniform,3350,66.95302643737497,56.22647032725144,139.34071647390422,1.0,918.1827793595833
geometry,worst_bounded,3325,64.8094607029526,56.069741259928335,128.95432097591527,1.0,925.5925868399073
random,truncated_gaussian,3325,474.2027781399872,133.4755212022917,1495.0030560486202,0.6541353383458647,1211.6331168627473
random,uniform,3350,688.5340714377841,547.9520879170221,1495.0030560486202,0.4701492537313433,1163.2614814659173
random,worst_bounded,3325,600.6143119074568,275.4627183665597,1495.0030560486202,0.5263157894736842,1249.7844867416768
