strategy,n,diameter_mean,diameter_median,diameter_std,diameter_p90,diameter_p95,diameter_p99,diameter_max,area_mean,area_median,area_std,area_p90,area_p95,area_p99,area_max,detection_probability,no_signal_rate,near_rate,move_distance_mean,move_distance_median,move_time_mean,selection_runtime_mean,selection_runtime_median,selection_runtime_p95,candidate_count_mean
expected_diameter,10000,53.010417935536125,48.07252290814969,34.42935258220728,75.86888881703004,84.81026415122129,236.0432988196211,392.1829710312831,601.895005131365,605.1782318696705,338.1194274209716,973.7765570417166,1194.639866078145,1662.2414987320672,2647.324524851356,0.985,0.015,0.0,1027.9716408575748,1116.2988891912119,205.594328171515,0.13175260290998267,0.1282097469993459,0.16317846589827234,6.0
gdop_mean,10000,54.1317417754021,46.376043712022046,77.21931122207022,72.38782311805703,79.67369525646863,229.32511651690288,1495.0030560486202,568.870053001624,575.9222468987437,295.40830711810435,857.7174841355039,1062.581120750363,1601.0324103068542,2096.342231914853,0.985,0.015,0.0,1016.2359619556144,1113.7754237696804,203.24719239112287,0.06939434386253195,0.06572595499892481,0.10005841715155823,67.5275
fim_a,10000,56.195579597730585,47.43916510775448,79.25741485786438,73.70747742184666,81.64668342115253,247.86256515039358,1495.0030560486202,593.6672512514278,607.6869262631884,308.2564579031235,884.2706296243539,1098.8496004361366,1761.1379351228015,2096.342231914853,0.98,0.02,0.0,1039.7780562319087,1127.5051007376833,207.95561124638175,0.06997524830499055,0.06650114049807596,0.10091948154877164,67.5275
gdop_worst,10000,57.60901073071633,47.4115837637552,82.40107521161733,71.30505480550272,80.51777615466615,299.5142310126667,1495.0030560486202,647.4830998855477,633.9018759112472,348.8670973159524,1043.6227751099236,1278.7990729884548,1830.3426722944107,2647.324524851356,0.9725,0.0275,0.0,1086.687176939723,1148.2706551964795,217.33743538794462,0.0683042674023545,0.0643955425002786,0.0980418199007543,67.5275
minimax_diameter,10000,63.03755517574286,48.41236709561298,89.80486626415727,79.56075500984278,98.7726392358634,392.3343550488883,1495.0030560486202,664.3877875309829,639.8778650211939,425.8607770509815,980.5812324457248,1192.1372698458204,2605.776314799114,4513.618828509208,0.9625,0.0375,0.0,1097.8969851335876,1153.9235370587107,219.57939702671752,0.1302920143049687,0.12736429250071518,0.16063262285115315,6.0
geometry,10000,66.72964167518342,51.16196216827387,46.75623624536017,126.3329196257578,160.89986387228748,243.40478113018554,337.70084999397125,578.001985168385,469.8524549169611,430.9406577326295,1119.8675580868326,1478.057882394542,2192.6118712013767,2570.469940068071,0.9975,0.0025,0.0,929.0969497098204,990.1382546444387,185.81938994196406,0.002513715599970913,0.0024316574999829503,0.003234696199615331,67.5275
eig,10000,79.05016410110231,63.89799841950669,52.56120400666092,153.72142331870242,185.7734061063862,270.50615313536554,335.0585128726706,646.4078892933458,562.0258858420889,454.04317783630137,1192.3461229797651,1592.2813076529728,2259.6736448636866,2922.361867707695,0.985,0.015,0.0,977.1947148982246,1050.7063388373156,195.43894297964493,0.10232992234256015,0.09738562549864575,0.15339461469993668,67.5275
fim_d,10000,80.36814171112907,67.2339543537605,51.465802142333914,150.02186115945153,185.80249089615745,243.40858919280205,324.1210462736098,636.8721270261098,559.4066359321421,430.2462857617145,1238.9947784095823,1485.2827059966662,1972.0030641600576,2371.539896871922,0.985,0.015,0.0,962.3825703537243,1043.6956490113853,192.47651407074486,0.06992234288755748,0.06648876900180764,0.10058180964788324,67.5275
fim_e,10000,87.93775120551851,43.81090962259089,103.86295597263252,234.36931245394277,328.15706183744106,479.4628990822956,640.3408081133649,1261.5356001750108,478.08585991678706,2003.8188509224713,3446.829085318903,5924.883845282215,9650.264638329918,12779.630999806554,1.0,0.0,0.0,494.4249490995064,419.7661165196016,98.88498981990129,0.06991028654503677,0.06650222799908075,0.1005955710015768,67.5275
random,10000,347.49728171316065,85.85059530843012,500.292296258617,1467.947616886219,1495.0030560486202,1495.0030560486205,1495.0030560486205,7619.976883277427,1198.4854626674328,12907.261864493183,35892.902712962445,39269.46353914453,39269.46353914503,39269.46353914517,0.7525,0.2475,0.0,1103.6090780326049,1036.7784554292507,220.72181560652092,0.0011840334375301128,0.0011751450019801,0.0012686605999987749,67.5275
