seed,channel,first_entry_route_point,first_entry_distance_m,route_point,clear_route_point,distance_to_true_source_m,current_x_m,current_y_m,next_coverage_x_m,next_coverage_y_m,channel_status,certificate_radius_m,bearing_count,possible_count,in_local_shortlist,candidate_kind,candidate_x_m,candidate_y_m,delta_route_m,route_reference,current_certificate_radius_m,candidate_expected_radius_m,clear_threshold_m,expected_clearable_after_measurement,chosen_kind,chosen_channel,chosen_x_m,chosen_y_m,chosen_source,chosen_moves_away,classification,b_reason,c_reason
321100,5,1,77.14960068474738,1,34,77.14960068474738,0.0,0.0,1181.7693036146495,-208.37781320031647,FOUND,753.1268153605092,1,2003,True,LOCALIZE,135.0,740.0,964.7099320935254,next_coverage,753.1268153605092,489.00810608442043,19.75,False,LOCALIZE,4,712.9144805876181,-239.30482686253936,mec_center,True,C,,high_route_detour
321100,9,3,275.06169348693714,3,37,275.06169348693714,1181.7693036146495,-208.37781320031647,410.42417199080177,-1127.6311449430902,FOUND,31.81980516339464,2,34,True,LOCALIZE,1047.5,7.5,355.9139373568112,next_coverage,31.81980516339464,24.07363093313482,19.75,False,SEARCH,,410.42417199080177,-1127.6311449430902,coverage_next,True,C,,high_route_detour
321100,16,6,22.04222071738525,6,31,22.04222071738525,-1122.0377218934912,-255.92455621301775,-1181.7693036146495,208.37781320031684,FOUND,23.58495284014151,2,14,True,LOCALIZE,-1105.0,-262.5,27.22855682002455,next_coverage,23.58495284014151,18.765831144832166,19.75,True,SEARCH,,-1181.7693036146495,208.37781320031684,coverage_next,True,D,,
321100,10,9,272.06941246741405,9,19,272.06941246741405,-410.42417199080245,1127.63114494309,771.3451316238472,919.2533317427736,FOUND,30.516389049334258,2,32,True,LOCALIZE,-175.0,1027.5,8.349366654840196,next_coverage,30.516389049334258,23.590715101441305,19.75,False,SEARCH,,771.3451316238472,919.2533317427736,coverage_next,True,D,,
321101,16,3,85.71489552055505,3,29,85.71489552055505,-2.2043642384652357e-13,-1200.0,-1039.2304845413266,-599.9999999999997,FOUND,109.91473969490303,1,93,True,LOCALIZE,100.0,-1172.5,178.70345896712365,next_coverage,109.91473969490303,50.81981025373814,19.75,False,SEARCH,,-1039.2304845413266,-599.9999999999997,coverage_next,True,D,,
321101,11,5,180.64591790549298,5,71,180.64591790549298,-1039.2304845413262,600.0000000000005,7.347880794884119e-14,1200.0,FOUND,755.1055513501746,1,2004,True,LOCALIZE,-496.1533957845433,1118.8466042154566,53.83541397961426,next_coverage,755.1055513501746,500.2493061394533,19.75,False,LOCALIZE,11,-496.1533957845433,1118.8466042154566,mec_center,True,C,,target_candidate_selected
321102,14,1,64.37815389939047,1,34,64.37815389939047,0.0,0.0,771.3451316238471,-919.2533317427738,FOUND,752.5996611845185,1,2003,True,LOCALIZE,-750.0,-57.5,1300.660205945118,next_coverage,752.5996611845185,424.1795777988491,19.75,False,SEARCH,,771.3451316238471,-919.2533317427738,coverage_next,True,C,,high_route_detour
321102,6,4,208.53173496741638,4,31,208.53173496741638,-1181.7693036146497,-208.37781320031604,-771.3451316238468,919.253331742774,FOUND,21.50581317760657,3,15,True,LOCALIZE,-1002.5,-312.5,260.56886061789646,next_coverage,21.50581317760657,20.492025172236904,19.75,False,SEARCH,,-771.3451316238468,919.253331742774,coverage_next,True,D,,
321103,15,1,166.7214547552674,1,10,166.7214547552674,0.0,0.0,1127.63114494309,-410.42417199080234,FOUND,754.0432679993111,1,1999,False,,,,,,754.0432679993111,,,,SEARCH,,1127.63114494309,-410.42417199080234,coverage_next,True,B,outside_local_shortlist,
321103,16,3,191.4884723446932,3,22,191.4884723446932,208.37781320031596,-1181.7693036146497,-919.2533317427736,-771.3451316238471,FOUND,27.95084972874737,3,28,True,LOCALIZE,205.0,-982.5,143.2087363345322,next_coverage,27.95084972874737,26.283735577876623,19.75,False,SEARCH,,-919.2533317427736,-771.3451316238471,coverage_next,True,D,,
