opportunity_type,seed,decision_index,channel,current_x_m,current_y_m,action_x_m,action_y_m,next_coverage_x_m,next_coverage_y_m,current_certificate_radius_m,candidate_expected_radius_m,clear_threshold_m,route_insertion_delta_m,action_score_s,search_score_s,search_minus_action_s,chosen_kind,chosen_channel,chosen_source,route_compatible,search_chosen
EXPECTED_CLEARABLE_LOCALIZE,321100,4,1,410.42417199080177,-1127.6311449430902,-150.0,-505.0,-771.3451316238474,-919.2533317427735,30.4138126614911,19.51066757782524,19.75,384.47889646541944,2091.1697667389967,2020.1401974717514,-71.02956926724528,SEARCH,,coverage_next,False,True
CLEAR,321100,4,9,410.42417199080177,-1127.6311449430902,1038.0,17.0,-771.3451316238474,-919.2533317427735,18.384776320850236,,19.75,2142.6142556255136,2448.663048596854,2020.1401974717514,-428.52285112510253,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321100,5,1,-771.3451316238474,-919.2533317427735,-151.37238512370092,-512.1092089986275,-1181.7693036146495,208.37781320031684,21.360009373293828,16.141665198261233,19.75,799.0155940403477,1815.28057168907,1658.8950543807273,-156.38551730834274,LOCALIZE,16,mec_center,False,False
CLEAR,321100,5,9,-771.3451316238474,-919.2533317427735,1038.0,17.0,-1181.7693036146495,208.37781320031684,18.384776320850236,,19.75,3065.2324020570777,2271.9415347921426,1658.8950543807273,-613.0464804114154,LOCALIZE,16,mec_center,False,False
EXPECTED_CLEARABLE_LOCALIZE,321100,6,1,-1122.0377218934912,-255.92455621301775,-151.37238512370092,-512.1092089986275,-1181.7693036146495,208.37781320031684,21.360009373293828,16.141665198261233,19.75,1793.0808813358733,1697.2289008646153,1342.0303260971673,-355.198574767448,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321100,6,5,-1122.0377218934912,-255.92455621301775,10.0,57.5,-1181.7693036146495,208.37781320031684,24.622144514490262,9.499746200885632,19.75,1907.7783143928348,1719.646445853416,1342.0303260971673,-377.61611975624874,SEARCH,,coverage_next,False,True
CLEAR,321100,6,9,-1122.0377218934912,-255.92455621301775,1038.0,17.0,-1181.7693036146495,208.37781320031684,18.384776320850236,,19.75,3937.0867860944263,2129.447683316053,1342.0303260971673,-787.4173572188856,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321100,6,16,-1122.0377218934912,-255.92455621301775,-1105.0,-262.5,-1181.7693036146495,208.37781320031684,23.58495284014151,18.765831144832166,19.75,27.22855682002455,1342.7024450067497,1342.0303260971673,-0.6721189095824229,SEARCH,,coverage_next,True,True
CLEAR,321100,7,9,-1181.7693036146495,208.37781320031684,1038.0,17.0,-410.42417199080245,1127.63114494309,18.384776320850236,,19.75,2853.2255302243125,2009.8562289931265,1439.211122948264,-570.6451060448626,LOCALIZE,12,mec_center,False,False
CLEAR,321100,7,16,-1181.7693036146495,208.37781320031684,-1097.5,-265.0,-410.42417199080245,1127.63114494309,16.007810603582122,,19.75,833.7188022837195,1605.9548834050079,1439.211122948264,-166.74376045674398,LOCALIZE,12,mec_center,False,False
CLEAR,321100,8,9,-1030.0,892.5,1038.0,17.0,-410.42417199080245,1127.63114494309,18.384776320850236,,19.75,3408.219681754497,1937.7613935316967,1256.1174571807974,-681.6439363508994,SEARCH,,coverage_next,False,True
CLEAR,321100,8,16,-1030.0,892.5,-1097.5,-265.0,-410.42417199080245,1127.63114494309,16.007810603582122,,19.75,2049.6731452463373,1666.052086230065,1256.1174571807974,-409.93462904926764,SEARCH,,coverage_next,False,True
CLEAR,321100,9,5,-410.42417199080245,1127.63114494309,15.0,72.5,771.3451316238472,919.2533317427736,9.013878198659974,,19.75,1073.0305614455865,945.7990903764253,731.1929780873079,-214.6061122891174,SEARCH,,coverage_next,False,True
