seed,channel,start_index,end_index,outcome,phase,frontier_rank,task_start_x_m,task_start_y_m,main_action_count,opportunistic_action_count,preview_kind,preview_reason,preview_end_x_m,preview_end_y_m,actual_end_x_m,actual_end_y_m,preview_travel_m,actual_travel_m,endpoint_error_m,preview_cost_s,actual_main_cost_s,actual_total_cost_s,cost_error_s,cost_error_total_s,preview_end_is_start_pose,path_length_m,net_displacement_m,within_task_detour_ratio,current_pose_measure_actions,forward_route_measure_actions,main_action_chain
20260911,14,49,59,channel_cleared,directional_sweep,0,1181.7693036146495,208.3778132003164,2,1,MEASURE,current_position_information,1181.7693036146495,208.3778132003164,1145.0,-130.0,0.0,2.842170943040401e-14,340.369690416956,6.0,11.000000000000005,85.0739380833912,5.000000000000005,79.0739380833912,True,340.369690416956,340.369690416956,1.0,1,0,MEASURE:14:current_position_information|CLEAR:14:certified_clear_point
20260911,11,64,71,channel_cleared,directional_sweep,0,1145.0,-130.0,2,0,MEASURE,forward_center_measurement,1712.5,272.5,1715.0,280.0,695.7460025037873,703.6516966542082,7.905694150420948,144.14920050075744,150.73033933084164,150.73033933084164,6.5811388300842,6.5811388300842,False,703.6516966542082,702.1395872616783,1.0021535737622016,0,0,MEASURE:11:forward_center_measurement|CLEAR:11:certified_clear_point
20260911,8,76,92,channel_cleared,directional_sweep,0,1715.0,280.0,5,0,MEASURE,current_position_information,1715.0,280.0,1365.0,850.0,0.0,1342.9165344585072,668.8796603276257,6.0,294.58330689170145,294.58330689170145,288.58330689170145,288.58330689170145,True,1342.9165344585072,668.8796603276257,2.00771022668073,1,2,MEASURE:8:current_position_information|MEASURE:8:forward_route_measurement|MEASURE:8:forward_route_measurement|MEASURE:8:forward_center_measurement|CLEAR:8:certified_clear_point
20260911,15,113,124,channel_cleared,directional_sweep,1,410.42417199080256,1127.63114494309,4,0,MEASURE,forward_center_measurement,672.5,762.5,587.5,850.0,449.449099046998,1228.1927493813714,121.98872898755852,95.8898198093996,266.6385498762743,266.6385498762743,170.74873006687469,170.74873006687469,False,1228.1927493813714,329.29455128737544,3.7297694255181506,0,1,MEASURE:15:forward_center_measurement|MEASURE:15:forward_route_measurement|MEASURE:15:forward_center_measurement|CLEAR:15:near_immediate
20260911,10,145,158,channel_cleared,directional_sweep,2,-771.3451316238468,919.253331742774,4,0,MEASURE,current_position_information,-771.3451316238468,919.253331742774,-835.0,547.5,0.0,397.92556383217294,377.16373358243015,6.0,100.58511276643458,100.58511276643458,94.58511276643458,94.58511276643458,True,397.92556383217294,377.16373358243015,1.055047260383547,1,2,MEASURE:10:current_position_information|MEASURE:10:forward_route_measurement|MEASURE:10:forward_route_measurement|CLEAR:10:certified_clear_point
20260911,7,163,185,channel_cleared,directional_sweep,2,-835.0,547.5,7,0,MEASURE,current_position_information,-835.0,547.5,-1685.0,237.5,0.0,1182.7677546764248,904.7651629014017,6.0,272.553550935285,272.553550935285,266.553550935285,266.553550935285,True,1182.7677546764248,904.7651629014017,1.3072649159960184,1,4,MEASURE:7:current_position_information|MEASURE:7:forward_route_measurement|MEASURE:7:forward_route_measurement|MEASURE:7:forward_route_measurement|MEASURE:7:forward_route_measurement|MEASURE:7:forward_center_measurement|CLEAR:7:certified_clear_point
20260911,12,205,227,channel_cleared,directional_sweep,3,-1181.7693036146497,-208.37781320031604,4,3,MEASURE,current_position_information,-1181.7693036146497,-208.37781320031604,-982.5,-405.0,0.0,0.0,279.9438152647014,6.0,23.0,97.2872364931338,17.0,91.2872364931338,True,281.436182465669,279.9438152647014,1.005330952568309,1,1,MEASURE:12:current_position_information|MEASURE:12:forward_route_measurement|MEASURE:12:forward_center_measurement|CLEAR:12:certified_clear_point
20260911,1,232,242,channel_cleared,directional_sweep,3,-982.5,-405.0,3,0,MEASURE,forward_center_measurement,-1632.5,-327.5,-1650.0,-330.0,654.6038878589097,697.2078743058904,17.67766952966369,135.92077757178194,154.44157486117808,154.44157486117808,18.520797289396143,18.520797289396143,False,697.2078743058904,671.7002679767219,1.0379746853548264,0,0,MEASURE:1:forward_center_measurement|MEASURE:1:forward_center_measurement|CLEAR:1:certified_clear_point
20260911,6,261,272,channel_cleared,directional_sweep,4,-410.42417199080325,-1127.6311449430898,3,1,MEASURE,current_position_information,-410.42417199080325,-1127.6311449430898,-580.0,-740.0,0.0,0.0,423.10030249917736,6.0,17.0,107.62006049983547,11.0,101.62006049983547,True,423.10030249917736,423.10030249917736,1.0,1,0,MEASURE:6:current_position_information|MEASURE:6:forward_center_measurement|CLEAR:6:near_immediate
20260911,13,277,320,channel_cleared,directional_sweep,4,-580.0,-740.0,7,7,MEASURE,current_position_information,-580.0,-740.0,132.5,-885.0,0.0,483.85402503376173,727.1047036018953,6.0,137.77080500675234,299.5384355424159,131.77080500675234,293.5384355424159,True,1082.6921777120797,727.1047036018953,1.4890457623897808,1,4,MEASURE:13:current_position_information|MEASURE:13:forward_route_measurement|MEASURE:13:forward_route_measurement|MEASURE:13:forward_route_measurement|MEASURE:13:forward_route_measurement|MEASURE:13:forward_center_measurement|CLEAR:13:certified_clear_point
