seed,decision_index,event,plan,plan_cost_s,step_count,first_task,planned_second_task,planned_second_is_resolve,plan_estimated_end_x_m,plan_estimated_end_y_m,plan_pose_x_m,plan_pose_y_m,second_operative_preview_kind,second_operative_preview_reason,second_operative_preview_x_m,second_operative_preview_y_m,follow_up_decision_index,follow_up_choice,follow_up_sequence,second_task_retained
20260911,62,select_active,Resolve ch11 -> Resolve ch8 -> Advance V2,485.9895323784405,3,Resolve ch11,Resolve ch8,True,410.42417199080256,1127.63114494309,1145.0,-130.0,MEASURE,current_position_information,1715.0,280.0,72,Resolve ch8,Resolve ch8 -> Advance V2,True
20260911,74,select_active,Resolve ch8 -> Advance V2,317.15248023458963,2,Resolve ch8,Advance V2,False,410.42417199080256,1127.63114494309,1715.0,280.0,,,,,93,Advance V2,Advance V2,True
20260911,111,select_active,Resolve ch15 -> Advance V3,386.355678121618,2,Resolve ch15,Advance V3,False,-771.3451316238468,919.253331742774,410.42417199080256,1127.63114494309,,,,,125,Advance V3,Advance V3,True
20260911,143,select_active,Resolve ch10 -> Resolve ch7 -> Advance V4,252.00000000000006,3,Resolve ch10,Resolve ch7,True,-1181.7693036146497,-208.37781320031604,-771.3451316238468,919.253331742774,MEASURE,current_position_information,-835.0,547.5,159,Resolve ch7,Resolve ch7 -> Advance V4,True
20260911,161,select_active,Resolve ch7 -> Advance V4,172.32500935432182,2,Resolve ch7,Advance V4,False,-1181.7693036146497,-208.37781320031604,-835.0,547.5,,,,,186,Advance V4,Advance V4,True
20260911,203,select_active,Resolve ch12 -> Resolve ch1 -> Advance V5,343.79622727176763,3,Resolve ch12,Resolve ch1,True,-410.42417199080325,-1127.6311449430898,-1181.7693036146497,-208.37781320031604,MEASURE,forward_center_measurement,-1632.5,-327.5,228,Resolve ch1,Resolve ch1 -> Advance V5,True
20260911,230,select_active,Resolve ch1 -> Advance V5,428.06315234903354,2,Resolve ch1,Advance V5,False,-410.42417199080325,-1127.6311449430898,-982.5,-405.0,,,,,243,Advance V5,Advance V5,True
20260911,323,select_active,Resolve ch19 -> Resolve ch17 -> Advance V6,138.95255260212215,3,Resolve ch19,Resolve ch17,True,771.3451316238471,-919.2533317427738,132.5,-885.0,MEASURE,current_position_information,180.0,-1400.0,337,Resolve ch17,Resolve ch17 -> Advance V6,True
20260911,339,select_active,Resolve ch17 -> Advance V6,158.42131396043646,2,Resolve ch17,Advance V6,False,771.3451316238471,-919.2533317427738,180.0,-1400.0,,,,,353,Advance V6,Advance V6,True
20260912,47,select_active,Resolve ch1 -> Advance V2,362.9287726152694,2,Resolve ch1,Advance V2,False,-410.42417199080245,1127.63114494309,771.3451316238472,919.2533317427736,,,,,69,Advance V2,Advance V2,True
20260912,109,select_active,Resolve ch5 -> Resolve ch7 -> Advance V3,437.87927107894365,3,Resolve ch5,Resolve ch7,True,-1181.7693036146495,208.37781320031684,-192.5,1572.5,MEASURE,forward_center_measurement,-772.5,1350.0,131,Resolve ch7,Resolve ch7 -> Advance V3,True
20260912,133,select_active,Resolve ch7 -> Advance V3,405.13502456094176,2,Resolve ch7,Advance V3,False,-1181.7693036146495,208.37781320031684,-52.5,1030.0,,,,,141,Advance V3,Advance V3,True
20260912,231,select_active,Resolve ch15 -> Resolve ch12 -> Advance V4,291.55603267978915,3,Resolve ch15,Resolve ch12,True,-771.3451316238474,-919.2533317427735,-1400.0,-325.0,MEASURE,current_position_information,-1142.5,-80.0,250,Resolve ch12,Resolve ch12 -> Advance V4,True
20260912,252,select_active,Resolve ch12 -> Advance V4,188.53224143573956,2,Resolve ch12,Advance V4,False,-771.3451316238474,-919.2533317427735,-1142.5,-80.0,,,,,265,Advance V4,Advance V4,True
