seed,policy,virtual_time_s,movement_time_s,search_count,measurement_count,cleared_count,early_pass_then_return,termination
321100,candidate_020_grid5_center_approach,4890.066461694128,3826.0664616941262,6,166,16,4,upper_bound_reached
321100,candidate_036_grid5_center_defer1,5284.175474261795,4203.175474261797,6,170,16,6,upper_bound_reached
321101,candidate_020_grid5_center_approach,4868.172927009198,3687.172927009199,6,175,16,2,upper_bound_reached
321101,candidate_036_grid5_center_defer1,5279.235384145299,4113.235384145297,6,172,16,6,upper_bound_reached
321102,candidate_020_grid5_center_approach,4748.6409498530575,3705.640949853056,6,162,16,2,upper_bound_reached
321102,candidate_036_grid5_center_defer1,5500.534498666712,4436.5344986667105,6,166,16,9,upper_bound_reached
321103,candidate_020_grid5_center_approach,4656.138903750056,3627.138903750055,6,160,16,2,upper_bound_reached
321103,candidate_036_grid5_center_defer1,4623.331980305809,3678.3319803058075,6,146,16,6,upper_bound_reached
321104,candidate_020_grid5_center_approach,4882.832563219385,3839.832563219387,6,162,16,3,upper_bound_reached
321104,candidate_036_grid5_center_defer1,5410.830154638421,4421.830154638421,6,154,16,6,upper_bound_reached
321105,candidate_020_grid5_center_approach,4445.796069109464,3384.7960691094636,6,165,16,3,upper_bound_reached
321105,candidate_036_grid5_center_defer1,4541.309998536519,3525.3099985365184,6,158,16,5,upper_bound_reached
321106,candidate_020_grid5_center_approach,4390.462426370587,3271.4624263705878,6,166,16,7,upper_bound_reached
321106,candidate_036_grid5_center_defer1,4489.638790131627,3436.6387901316275,6,156,16,6,upper_bound_reached
321107,candidate_020_grid5_center_approach,3780.3049079315765,2768.304907931577,6,156,16,1,upper_bound_reached
321107,candidate_036_grid5_center_defer1,3943.6851158686536,2987.685115868653,6,147,16,9,upper_bound_reached
321108,candidate_020_grid5_center_approach,4910.680356657654,3823.680356657651,6,171,16,5,upper_bound_reached
321108,candidate_036_grid5_center_defer1,5067.584310346066,4043.5843103460647,6,161,16,7,upper_bound_reached
321109,candidate_020_grid5_center_approach,4711.52373984518,3682.523739845178,6,159,16,4,upper_bound_reached
321109,candidate_036_grid5_center_defer1,4670.21347916086,3675.2134791608614,6,154,16,6,upper_bound_reached
