seed,search_index,defer_regret_s,original_search_score_s,adjusted_search_score_s,original_best_local_score_s,would_flip,would_flip_to_kind,would_flip_to_channel,coverage_distance_m,best_localize_distance_m,best_clear_distance_m
321100,1,90.884745253933,2824.997891845459,2915.882637099392,2849.967223640906,True,LOCALIZE,9,469.87373330478084,242.5568253149311,
321100,2,239.91059783550128,2577.754088008301,2817.6646858438025,2607.6429404960177,True,LOCALIZE,14,1200.0000000000005,507.6857887971983,
321100,3,198.7120929621298,2020.1401974717514,2218.852290433881,2027.4117436909892,True,LOCALIZE,7,1199.9999999999993,705.8109236061662,1305.3857199598747
321100,4,91.76645014701351,1342.0303260971673,1433.7967762441808,1342.7024450067497,True,LOCALIZE,16,468.128777258724,18.262541671840513,2177.2116969617114
321100,5,123.28694756447798,1256.1174571807974,1379.4044047452753,1318.79852747872,True,LOCALIZE,12,662.6921321213426,348.1738071710737,1159.4664721327651
321100,6,238.4373751115858,731.1929780873079,969.6303531988937,737.6983721906707,True,LOCALIZE,10,1200.0,255.83351411644455,1137.6675521183574
321101,1,146.00521906778474,2753.0213757945116,2899.0265948622964,2798.815713343791,True,LOCALIZE,8,1200.0,752.1973570722946,
321101,2,239.81824629146186,2822.4426793000493,3062.2609255915113,2853.2185138029126,True,LOCALIZE,17,1200.0000000000007,464.61014384402,
321101,3,234.2557547680416,2246.715184625046,2480.9709393930875,2268.003460502415,True,LOCALIZE,7,1200.0000000000002,543.282845302518,
321101,4,229.4018466770019,1824.7732962613181,2054.1751429383203,1833.8051918606566,True,LOCALIZE,9,1200.0,434.93774591666437,
321101,5,99.27602976993788,1409.39821365109,1508.6742434210278,1537.8505662585612,False,,,502.74652241054486,376.7373450485235,
321101,6,238.6198288918469,987.7560925211501,1226.375921412997,1044.0545575553633,True,LOCALIZE,15,1200.0,681.5423684555495,
321106,1,140.87435845205374,3801.4956643438627,3942.3700227959166,3804.5190985507625,True,LOCALIZE,12,1200.0,751.8518803594229,
321106,2,211.59375750491023,2795.390868125529,3006.984625630439,2807.6342400223175,True,LOCALIZE,7,1063.1307213487955,147.73286702694156,
321106,3,230.91594411070392,2119.944308323262,2350.860252433966,2175.1093072081985,True,LOCALIZE,9,1199.9999999999995,307.75157717394876,
321106,4,239.6216232552887,1600.1688383278831,1839.790461583172,1606.658892753573,True,LOCALIZE,15,1200.0000000000002,256.0557323907108,
321106,5,177.77641559950544,1161.8877448393473,1339.6641604388528,1177.8523810323256,True,LOCALIZE,14,1199.9999999999993,630.3469822034767,
321106,6,216.84969651260153,825.8066103120635,1042.656306824665,877.1812178339663,True,LOCALIZE,8,1200.0000000000005,361.8211966643012,
