policy,cases,sources,successful_cases,all_clear,mean_case_s,total_time_per_source_s,ratio_ci_low_s,ratio_ci_high_s,p90_case_s,p95_case_s,max_case_s,mean_wall_s,max_wall_s,unexpected_clear_failures,mean_laser_s,mean_measurement_s,mean_movement_s,mean_optical_s,mean_switching_s
candidate_041_dynamic_open_route_deferred_cross_view,10,139,10,True,3804.8429452758764,273.7297082932285,255.4465075912196,296.3500230197386,4174.699653514441,4289.86605013621,4405.03244675798,5.976521579999826,7.147263799997745,0,27.8,663.0,2953.0429452758763,42.3,118.7
candidate_043_interface_cost,10,139,10,True,3784.315494659729,272.2529132848726,252.63810444079036,294.65075890783925,4174.699653514441,4289.86605013621,4405.03244675798,5.997298469999805,7.106568999995943,0,27.8,658.5,2938.315494659729,42.3,117.4
candidate_044_completion,10,139,10,True,3576.1677659126435,257.27825654047797,237.88957982748025,279.99103926909737,3939.164007595934,4025.872813714003,4112.581619832072,8.438140870002098,11.077962200011825,0,27.8,638.5,2751.567765912644,42.0,116.3
candidate_045_reception,10,139,10,True,3761.85653639939,270.6371608920424,252.2411010173049,293.05526925020115,4112.584558547992,4150.764558097875,4188.944557647757,8.562749419998728,11.899069200007943,0,27.8,660.5,2914.15653639939,42.0,117.4
candidate_046_shared_coverage,10,139,10,True,3754.7778981498086,270.12790634171284,251.3247701315947,293.09350797684226,4107.7045824131455,4147.60432362317,4187.504064833195,9.188811089997762,12.215231399983168,0,27.8,689.5,2870.5778981498092,43.5,123.4
candidate_047_probe_refine,10,139,10,True,3692.957410760785,265.68038926336584,246.29485908434535,289.0353956518536,4101.707661380575,4114.4506771867045,4127.193692992834,4.701776480008266,5.869971600011922,0,27.8,624.5,2887.2574107607848,43.2,110.2
candidate_048_combined,10,139,10,True,3545.529803843211,255.07408660742527,237.75930225522256,276.82079424812554,3931.0840897847224,3944.646748637713,3958.2094074907027,11.49307651000854,16.93215720000444,0,27.8,651.5,2702.3298038432113,46.5,117.4
candidate_049_joint_completion,5,79,5,True,3706.843084527923,234.61032180556475,213.90690655589646,252.06972572578616,3932.849020828976,3947.2374335675645,3961.625846306153,9.346564960002434,11.243758100026753,0,31.6,613.0,2902.6430845279224,51.0,108.6
candidate_050_joint_coverage,5,79,5,True,3779.091428107179,239.18300177893536,220.71798827685052,255.21723142420345,3985.6938169084347,3994.1576917254074,4002.62156654238,11.857246320007835,13.081232100026682,0,31.6,660.0,2907.4914281071788,63.6,116.4
candidate_051_ring1140,5,79,5,True,3759.8400685325005,237.96456129952534,215.60139185852321,263.54582329658666,4077.7923327878107,4158.661389491717,4239.530446195624,9.623026059998665,11.25211970001692,0,31.6,623.0,2945.440068532501,48.0,111.8
candidate_052_probe40,5,79,5,True,3694.57673047696,233.8339702833519,214.32696700894888,251.45299414283355,3923.0278301610815,3939.8268382336173,3956.625846306153,9.412204060005024,11.262987900001463,0,31.6,606.0,2897.37673047696,51.0,108.6
