policy,cases,sources,successful_cases,all_clear,mean_case_s,total_time_per_source_s,ratio_ci_low_s,ratio_ci_high_s,p90_case_s,p95_case_s,max_case_s,mean_wall_s,max_wall_s,unexpected_clear_failures,mean_laser_s,mean_measurement_s,mean_movement_s,mean_optical_s,mean_switching_s
candidate_041_dynamic_open_route_deferred_cross_view,10,139,10,True,3804.8429452758764,273.7297082932285,255.4465075912196,296.3500230197386,4174.699653514441,4289.86605013621,4405.03244675798,5.976521579999826,7.147263799997745,0,27.8,663.0,2953.0429452758763,42.3,118.7
candidate_043_interface_cost,10,139,10,True,3784.315494659729,272.2529132848726,252.63810444079036,294.65075890783925,4174.699653514441,4289.86605013621,4405.03244675798,5.997298469999805,7.106568999995943,0,27.8,658.5,2938.315494659729,42.3,117.4
candidate_044_completion,10,139,10,True,3576.1677659126435,257.27825654047797,237.88957982748025,279.99103926909737,3939.164007595934,4025.872813714003,4112.581619832072,8.438140870002098,11.077962200011825,0,27.8,638.5,2751.567765912644,42.0,116.3
candidate_045_reception,10,139,10,True,3761.85653639939,270.6371608920424,252.2411010173049,293.05526925020115,4112.584558547992,4150.764558097875,4188.944557647757,8.562749419998728,11.899069200007943,0,27.8,660.5,2914.15653639939,42.0,117.4
candidate_046_shared_coverage,10,139,10,True,3754.7778981498086,270.12790634171284,251.3247701315947,293.09350797684226,4107.7045824131455,4147.60432362317,4187.504064833195,9.188811089997762,12.215231399983168,0,27.8,689.5,2870.5778981498092,43.5,123.4
candidate_047_probe_refine,10,139,10,True,3692.957410760785,265.68038926336584,246.29485908434535,289.0353956518536,4101.707661380575,4114.4506771867045,4127.193692992834,4.701776480008266,5.869971600011922,0,27.8,624.5,2887.2574107607848,43.2,110.2
candidate_048_combined,10,139,10,True,3545.529803843211,255.07408660742527,237.75930225522256,276.82079424812554,3931.0840897847224,3944.646748637713,3958.2094074907027,11.49307651000854,16.93215720000444,0,27.8,651.5,2702.3298038432113,46.5,117.4
candidate_049_joint_completion,5,79,5,True,3706.843084527923,234.61032180556475,213.90690655589646,252.06972572578616,3932.849020828976,3947.2374335675645,3961.625846306153,9.346564960002434,11.243758100026753,0,31.6,613.0,2902.6430845279224,51.0,108.6
candidate_050_joint_coverage,5,79,5,True,3779.091428107179,239.18300177893536,220.71798827685052,255.21723142420345,3985.6938169084347,3994.1576917254074,4002.62156654238,11.857246320007835,13.081232100026682,0,31.6,660.0,2907.4914281071788,63.6,116.4
candidate_051_ring1140,5,79,5,True,3759.8400685325005,237.96456129952534,215.60139185852321,263.54582329658666,4077.7923327878107,4158.661389491717,4239.530446195624,9.623026059998665,11.25211970001692,0,31.6,623.0,2945.440068532501,48.0,111.8
candidate_052_probe40,5,79,5,True,3694.57673047696,233.8339702833519,214.32696700894888,251.45299414283355,3923.0278301610815,3939.8268382336173,3956.625846306153,9.412204060005024,11.262987900001463,0,31.6,606.0,2897.37673047696,51.0,108.6
candidate_053_free_order,5,79,5,True,3599.4929184377806,227.81600749606204,215.27932033938578,241.67406906907732,3769.3704205521626,3783.6279256053513,3797.88543065854,25.886801839998224,35.25759769999422,0,31.6,598.0,2815.4929184377806,49.2,105.2
candidate_054_enroute_probe,5,79,5,True,3699.720840857375,234.1595468897073,213.59832255626716,252.4284951751459,3925.0331383474663,3939.6896006618094,3954.346062976152,9.711373079998884,12.33271980000427,0,31.6,602.0,2900.120840857375,57.0,109.0
candidate_055_free_probe,5,79,5,True,3600.0711509406547,227.85260448991485,212.67655080284763,241.6229007186398,3770.4601331338918,3784.065685911527,3797.6712386891622,25.701905799994712,34.351070600008825,0,31.6,591.0,2818.0711509406538,54.6,104.8
candidate_056_posterior_probe,5,79,5,True,3698.927627632481,234.10934352104312,214.04808183891222,252.12006145183008,3924.594358065262,3944.346414633552,3964.0984712018417,10.014546959992732,11.765015599987237,0,31.6,604.0,2898.1276276324816,56.4,108.8
candidate_057_posterior_free,5,79,5,True,3561.7502280620342,225.42722962417938,210.23775767495195,239.99229623520884,3762.227457269909,3776.407319330663,3790.587181391417,26.610885379998944,34.03523909999058,0,31.6,597.0,2773.1502280620343,55.2,104.8
candidate_058_adaptive_cover,5,79,5,True,3655.4955504902255,231.36047787912818,217.00988639077278,247.6283739601318,3896.346284029612,3917.5833171652107,3938.8203503008094,36.48666462000692,46.79467279999517,0,31.6,633.0,2828.2955504902247,49.2,113.4
candidate_059_adaptive_probe,5,79,5,True,3635.0252688421147,230.06489043304524,213.8581392989272,248.3483143249479,3912.637213353365,3922.6550786809876,3932.67294400861,36.67979758000001,44.29048589998274,0,31.6,627.0,2810.025268842114,54.6,111.8
candidate_060_optical_rollout,5,79,5,True,3565.59115767391,225.67032643505758,210.62165920619165,241.08866337775623,3774.658578704079,3783.5263031556287,3792.3940276071785,31.16963446000009,46.85791849999805,0,31.6,592.0,2772.19115767391,65.4,104.4
candidate_061_adaptive_heptagon,5,79,5,True,3704.9798125540656,234.49239319962442,220.84952426321038,250.25527056481795,3924.1134449818483,3925.392958698333,3926.672472414818,41.09309253999381,61.993020900001284,0,31.6,680.0,2814.1798125540654,57.6,121.6
candidate_062_adaptive_octagon,5,79,5,True,3701.735536982755,234.287059302706,219.3875791538324,246.33852366819974,3814.346802712151,3821.012498074795,3827.678193437439,36.33542468000669,53.64365819998784,0,31.6,679.0,2806.135536982755,60.6,124.4
