seed,champion_virtual_s,candidate020_virtual_s,paired_difference_020_minus_champion_s,champion_movement_s,candidate020_movement_s
321100,5856.959429,4890.066462,-966.892968,4672.959429,3826.066462
321101,6014.956712,4868.172927,-1146.783785,4829.956712,3687.172927
321102,5554.398555,4748.640950,-805.757605,4424.398555,3705.640950
321103,4961.517578,4656.138904,-305.378674,3852.517578,3627.138904
321104,5344.390828,4882.832563,-461.558265,4199.390828,3839.832563
321105,5409.553857,4445.796069,-963.757788,4230.553857,3384.796069
321106,5597.848824,4390.462426,-1207.386398,4423.848824,3271.462426
321107,4087.742617,3780.304908,-307.437709,2970.742617,2768.304908
321108,5495.012976,4910.680357,-584.332619,4330.012976,3823.680357
321109,5036.499404,4711.523740,-324.975664,3878.499404,3682.523740
