strategy,seed,channel,first_seen_time_s,directional
early_optical_clear_probe,100,2,11.0,True
early_optical_clear_probe,100,14,83.0,True
early_optical_clear_probe,100,15,89.0,True
early_optical_clear_probe,100,16,95.0,True
early_optical_clear_probe,100,13,312.2,True
early_optical_clear_probe,100,9,583.4,True
early_optical_clear_probe,100,6,1587.7260185750868,True
early_optical_clear_probe,100,17,2792.892138369222,True
early_optical_clear_probe,100,12,4873.495447815367,True
early_optical_clear_probe,100,7,5108.695447815367,True
early_optical_clear_probe,100,20,6906.295447815365,True
early_optical_clear_probe,101,11,65.0,True
early_optical_clear_probe,101,12,71.0,True
early_optical_clear_probe,101,17,101.0,True
early_optical_clear_probe,101,15,300.2,True
early_optical_clear_probe,101,13,312.2,True
early_optical_clear_probe,101,10,330.2,True
early_optical_clear_probe,101,8,342.2,True
early_optical_clear_probe,101,4,366.2,True
early_optical_clear_probe,101,5,2278.275252415802,True
early_optical_clear_probe,101,7,2477.4752524158016,True
early_optical_clear_probe,101,9,3277.7761274567633,True
early_optical_clear_probe,101,3,3470.976127456763,True
early_optical_clear_probe,101,18,4133.762338567571,True
early_optical_clear_probe,101,2,4320.024928869106,True
early_optical_clear_probe,102,1,5.0,True
early_optical_clear_probe,102,5,29.0,True
early_optical_clear_probe,102,10,59.0,True
early_optical_clear_probe,102,19,113.0,True
early_optical_clear_probe,102,20,270.2,True
early_optical_clear_probe,102,18,282.2,True
early_optical_clear_probe,102,6,354.2,True
early_optical_clear_probe,102,14,1339.1808474219615,True
early_optical_clear_probe,102,12,1622.3808474219616,True
early_optical_clear_probe,102,7,3270.094081022524,True
early_optical_clear_probe,102,13,3493.2940810225236,True
early_optical_clear_probe,103,5,29.0,True
early_optical_clear_probe,103,8,47.0,True
early_optical_clear_probe,103,15,89.0,True
early_optical_clear_probe,103,17,101.0,True
early_optical_clear_probe,103,18,107.0,True
early_optical_clear_probe,103,20,119.0,True
early_optical_clear_probe,103,13,312.2,True
early_optical_clear_probe,103,3,372.2,True
early_optical_clear_probe,103,4,553.4,True
early_optical_clear_probe,103,11,1891.1541604240826,True
early_optical_clear_probe,103,7,1915.1541604240826,True
early_optical_clear_probe,103,2,1939.1541604240826,True
early_optical_clear_probe,103,6,2253.069786264695,True
early_optical_clear_probe,103,1,3516.1038675567806,True
early_optical_clear_probe,103,12,3932.5038675567803,True
early_optical_clear_probe,104,8,47.0,True
early_optical_clear_probe,104,14,306.2,True
early_optical_clear_probe,104,12,318.2,True
early_optical_clear_probe,104,3,372.2,True
early_optical_clear_probe,104,11,1367.0,True
early_optical_clear_probe,104,18,1849.4,True
early_optical_clear_probe,104,1,3340.947467905726,True
early_optical_clear_probe,104,7,3528.7882491025603,True
early_optical_clear_probe,104,13,6523.767003349858,True
early_optical_clear_probe,104,16,7440.22360969146,True
