strategy,seed,channel,first_seen_time_s,directional
sequential_triangle_clear_19,100,2,11.0,True
sequential_triangle_clear_19,100,14,83.0,True
sequential_triangle_clear_19,100,15,89.0,True
sequential_triangle_clear_19,100,16,95.0,True
sequential_triangle_clear_19,100,12,352.0,True
sequential_triangle_clear_19,100,6,633.0,True
sequential_triangle_clear_19,100,20,711.0,True
sequential_triangle_clear_19,100,13,2130.653718043596,True
sequential_triangle_clear_19,100,7,4320.5739018482445,True
sequential_triangle_clear_19,100,17,6024.533908408466,True
sequential_triangle_clear_19,100,9,6527.960971318952,True
sequential_triangle_clear_19,101,11,65.0,True
sequential_triangle_clear_19,101,12,71.0,True
sequential_triangle_clear_19,101,17,101.0,True
sequential_triangle_clear_19,101,7,382.0,True
sequential_triangle_clear_19,101,5,394.0,True
sequential_triangle_clear_19,101,10,1494.1176179958131,True
sequential_triangle_clear_19,101,4,1899.2352359916263,True
sequential_triangle_clear_19,101,8,1911.2352359916263,True
sequential_triangle_clear_19,101,13,1923.2352359916263,True
sequential_triangle_clear_19,101,15,1935.2352359916263,True
sequential_triangle_clear_19,101,9,3592.2018693533128,True
sequential_triangle_clear_19,101,3,3978.3194873491266,True
sequential_triangle_clear_19,101,2,4577.512095698927,True
sequential_triangle_clear_19,101,18,4988.396668380125,True
sequential_triangle_clear_19,102,1,5.0,True
sequential_triangle_clear_19,102,5,29.0,True
sequential_triangle_clear_19,102,10,59.0,True
sequential_triangle_clear_19,102,19,113.0,True
sequential_triangle_clear_19,102,18,1350.1176179958131,True
sequential_triangle_clear_19,102,20,1789.6240638924694,True
sequential_triangle_clear_19,102,12,1825.6240638924694,True
sequential_triangle_clear_19,102,6,2381.741681888282,True
sequential_triangle_clear_19,102,13,2933.583826294567,True
sequential_triangle_clear_19,102,14,5236.501042687593,True
sequential_triangle_clear_19,103,5,29.0,True
sequential_triangle_clear_19,103,8,47.0,True
sequential_triangle_clear_19,103,15,89.0,True
sequential_triangle_clear_19,103,17,101.0,True
sequential_triangle_clear_19,103,18,107.0,True
sequential_triangle_clear_19,103,20,119.0,True
sequential_triangle_clear_19,103,7,382.0,True
sequential_triangle_clear_19,103,1,603.0,True
sequential_triangle_clear_19,103,3,2348.972036782269,True
sequential_triangle_clear_19,103,4,2354.972036782269,True
sequential_triangle_clear_19,103,13,2396.972036782269,True
sequential_triangle_clear_19,103,2,3173.0480448372055,True
sequential_triangle_clear_19,103,11,3209.0480448372055,True
sequential_triangle_clear_19,103,6,4063.0713006291453,True
sequential_triangle_clear_19,103,12,5396.05377671445,True
sequential_triangle_clear_19,104,8,47.0,True
sequential_triangle_clear_19,104,18,316.0,True
sequential_triangle_clear_19,104,1,418.0,True
sequential_triangle_clear_19,104,7,639.0,True
sequential_triangle_clear_19,104,13,675.0,True
sequential_triangle_clear_19,104,14,1898.5567871958215,True
sequential_triangle_clear_19,104,12,2427.6744051916357,True
sequential_triangle_clear_19,104,3,2469.6744051916357,True
sequential_triangle_clear_19,104,16,4553.875059582184,True
sequential_triangle_clear_19,104,11,7092.9909569017755,True
