strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s,local_check_count,local_detour_distance_m,main_skeleton_distance_m
early_optical_clear_probe,0,16,8,16,1.0,True,490.7969984647733,7852.751975436373,5156.751975436374,25783.759877181863,2205.0,441,391,0.8866213151927438,50,0,408,17,17,16,5,5,1773.2979726756532,6260.9321728290115,488.3856408101482,7852.751975436373,40,1.8155687999969814,,,
early_optical_clear_probe,1,11,7,11,1.0,True,814.5082179975922,8959.590397973514,6010.590397973511,30052.95198986757,2440.0,488,456,0.9344262295081968,32,0,451,12,12,11,6,6,1845.4480416839056,4983.280625874668,791.4860826811528,8175.4488899756225,60,1.8983821999863721,,,
early_optical_clear_probe,2,16,6,16,1.0,True,472.3374895264276,7557.399832422841,5209.399832422841,26046.999162114207,1915.0,383,336,0.8772845953002611,47,0,350,17,17,16,2,2,1961.4710684068093,4441.948253552775,995.4020745039998,7557.399832422841,80,1.9731234999781009,,,
early_optical_clear_probe,3,11,2,11,1.0,True,698.4156639015491,7682.57230291704,5034.572302917042,25172.86151458522,2190.0,438,404,0.9223744292237442,34,0,403,11,11,11,1,1,1369.525884202555,6255.458264499373,803.5414578993656,7547.906858753791,60,1.5850251000083517,,,
early_optical_clear_probe,4,11,5,11,1.0,True,841.1780286241415,9252.958314865557,6184.958314865558,30924.7915743278,2540.0,508,471,0.9271653543307087,37,0,470,12,12,11,4,4,836.5669766559993,3235.273468022984,667.780534623352,9252.958314865557,60,1.8579692000057548,,,
early_optical_clear_probe,5,14,6,14,1.0,True,627.8758969565198,8790.262557391277,5778.262557391278,28891.312786956412,2480.0,496,453,0.9133064516129032,43,0,459,15,15,14,5,5,2852.2901215697507,8101.147761314884,516.2179800709162,8790.262557391277,40,1.7371818000101484,,,
early_optical_clear_probe,6,16,6,16,1.0,True,380.33660393165445,6085.385662906471,4174.385662906471,20871.928314532353,1545.0,309,262,0.8478964401294499,47,0,286,16,16,16,3,3,1165.2741179138645,4358.614584531281,496.5958489174552,6085.385662906471,40,2.488073999993503,,,
early_optical_clear_probe,7,12,7,12,1.0,True,738.8292385910496,8865.950863092596,5701.950863092597,28509.754315462993,2615.0,523,487,0.9311663479923518,36,0,489,12,12,12,3,3,3017.9858489191847,7324.97866772243,2242.7184551412365,8865.950863092596,165,1.4796610999910627,,,
early_optical_clear_probe,8,11,6,11,1.0,True,811.3489901399723,8924.838891539695,5736.838891539692,28684.194457698468,2640.0,528,501,0.9488636363636364,27,0,490,12,12,11,5,5,2689.0355079256565,6017.491060785015,721.7363987362885,8924.838891539695,60,1.8158094999962486,,,
early_optical_clear_probe,9,13,8,13,1.0,True,688.0618330017037,8944.803829022148,5908.8038290221475,29544.019145110746,2505.0,501,461,0.9201596806387226,40,0,466,13,13,13,6,6,1994.5161155890116,4337.298409141828,486.64098059199125,8541.225923632042,40,1.6575590999855194,,,
