strategy,seed,emitter_count,directional_count,cleared_count,clear_rate,all_cleared,average_localize_clear_time_s,virtual_time_s,movement_time_s,movement_distance_m,measure_time_s,measure_count,no_signal_count,no_signal_rate,direction_count,near_count,channel_switch_count,optical_count,clear_attempt_count,clear_success_count,directional_loss_count,directional_reacquisition_count,mean_first_seen_time_s,max_first_seen_time_s,first_clear_time_s,last_clear_time_s,measurements_before_first_clear,wall_time_s,local_check_count,local_detour_distance_m,main_skeleton_distance_m
sequential_triangle_clear_19,0,16,8,16,1.0,True,542.5868573431601,8681.389717490561,7157.3897174905605,35786.94858745279,1225.0,245,182,0.7428571428571429,63,0,216,17,17,16,9,9,2060.787257627994,7334.295658615769,2315.6655075573476,8681.389717490561,112,2.035138499981258,33,19586.94858745279,16200.0
sequential_triangle_clear_19,1,11,7,11,1.0,True,791.0628805799278,8701.691686379205,7051.691686379204,35258.45843189602,1350.0,270,227,0.8407407407407408,43,0,245,11,11,11,12,11,1380.017871641771,3600.5855422071736,860.155282878143,8701.691686379205,60,1.5404530999949202,33,19058.45843189602,16200.0
sequential_triangle_clear_19,2,16,6,15,0.9375,False,559.4685559656156,8392.028339484234,6980.028339484235,34900.141697421175,1130.0,226,159,0.7035398230088495,67,0,201,17,17,15,7,6,1312.2808186159452,3009.5365502444865,1488.8637576552298,8392.028339484234,86,2.4292224000091664,35,18700.141697421175,16200.0
sequential_triangle_clear_19,3,11,2,11,1.0,True,594.7321295559645,6542.0534251156105,5027.053425115611,25135.26712557806,1230.0,246,196,0.7967479674796748,50,0,230,11,11,11,1,1,545.4746251862505,2441.169247522284,798.417962507234,6542.0534251156105,60,1.4587169000005815,12,8935.267125578059,16200.0
sequential_triangle_clear_19,4,11,5,11,1.0,True,629.4313056242909,6923.7443618672,5270.744361867199,26353.721809336006,1350.0,270,228,0.8444444444444444,42,0,248,11,11,11,7,5,1612.3486733289644,5935.4276118691705,789.4494516754797,6923.7443618672,60,1.1393555999966338,17,10153.721809336006,16200.0
sequential_triangle_clear_19,5,14,6,14,1.0,True,582.4703611856762,8154.585056599467,6810.585056599466,34052.925282997334,1080.0,216,164,0.7592592592592593,52,0,194,14,14,14,4,4,827.4841256813763,4905.687192310409,848.4839850527699,8154.585056599467,62,1.5737031000026036,23,17852.925282997334,16200.0
sequential_triangle_clear_19,6,16,6,16,1.0,True,585.107024753118,9361.712396049888,8080.712396049888,40403.56198024946,1025.0,205,137,0.6682926829268293,68,0,176,16,16,16,12,9,1096.8542009397906,5938.713943159595,1895.8239486937775,9361.712396049888,89,2.831241600011708,45,24203.561980249462,16200.0
sequential_triangle_clear_19,7,12,7,12,1.0,True,776.5596622000977,9318.715946401173,7597.71594640117,37988.579732005855,1410.0,282,235,0.8333333333333334,47,0,251,12,12,12,10,10,1694.1826007053658,5661.283585336645,1615.5176049269317,9318.715946401173,91,1.5017992000211962,40,21788.579732005855,16200.0
sequential_triangle_clear_19,8,11,6,11,1.0,True,727.5730540594042,8003.3035946534455,6375.303594653446,31876.517973267226,1330.0,266,225,0.8458646616541353,41,0,243,11,11,11,11,10,1110.671274321526,2578.538290724796,3062.6433380886347,8003.3035946534455,135,1.4103380999877118,31,15676.517973267226,16200.0
sequential_triangle_clear_19,9,13,8,13,1.0,True,707.1296288337004,9192.685174838105,7542.685174838103,37713.425874190514,1345.0,269,219,0.8141263940520446,50,0,240,13,13,13,9,5,2441.054856307785,7559.870265394691,2467.781312022507,9192.685174838105,103,1.4604569999792147,31,21513.425874190514,16200.0
