strategy,seed,channel,first_seen_time_s,directional
sequential_triangle_clear_19,0,5,29.0,False
sequential_triangle_clear_19,0,6,35.0,False
sequential_triangle_clear_19,0,13,77.0,False
sequential_triangle_clear_19,0,20,119.0,False
sequential_triangle_clear_19,0,18,316.0,False
sequential_triangle_clear_19,0,9,370.0,True
sequential_triangle_clear_19,0,8,376.0,True
sequential_triangle_clear_19,0,1,1441.7691453623984,False
sequential_triangle_clear_19,0,3,1453.7691453623984,True
sequential_triangle_clear_19,0,4,1459.7691453623984,False
sequential_triangle_clear_19,0,12,1489.7691453623984,True
sequential_triangle_clear_19,0,10,1854.6537180435973,False
sequential_triangle_clear_19,0,16,4927.796783446678,True
sequential_triangle_clear_19,0,2,5364.869350672705,True
sequential_triangle_clear_19,0,7,6323.904029819567,True
sequential_triangle_clear_19,0,14,7334.295658615769,True
sequential_triangle_clear_19,1,7,41.0,False
sequential_triangle_clear_19,1,13,77.0,True
sequential_triangle_clear_19,1,14,83.0,False
sequential_triangle_clear_19,1,19,113.0,False
sequential_triangle_clear_19,1,3,615.0,True
sequential_triangle_clear_19,1,4,1581.225065809863,True
sequential_triangle_clear_19,1,11,1617.225065809863,False
sequential_triangle_clear_19,1,16,1647.225065809863,True
sequential_triangle_clear_19,1,8,2887.46792421136,True
sequential_triangle_clear_19,1,17,2917.46792421136,True
sequential_triangle_clear_19,1,9,3600.5855422071736,True
sequential_triangle_clear_19,2,6,35.0,False
sequential_triangle_clear_19,2,13,77.0,False
sequential_triangle_clear_19,2,15,89.0,True
sequential_triangle_clear_19,2,12,352.0,True
sequential_triangle_clear_19,2,20,1207.0,True
sequential_triangle_clear_19,2,14,1243.0,True
sequential_triangle_clear_19,2,11,1249.0,False
sequential_triangle_clear_19,2,10,1255.0,False
sequential_triangle_clear_19,2,5,1285.0,False
sequential_triangle_clear_19,2,3,1297.0,False
sequential_triangle_clear_19,2,2,2119.4189322486727,False
sequential_triangle_clear_19,2,4,2125.4189322486727,True
sequential_triangle_clear_19,2,16,2167.4189322486727,False
sequential_triangle_clear_19,2,17,2173.4189322486727,False
sequential_triangle_clear_19,2,1,3009.5365502444865,False
sequential_triangle_clear_19,3,1,5.0,False
sequential_triangle_clear_19,3,2,11.0,True
sequential_triangle_clear_19,3,8,47.0,False
sequential_triangle_clear_19,3,16,95.0,False
sequential_triangle_clear_19,3,19,113.0,False
sequential_triangle_clear_19,3,12,352.0,False
sequential_triangle_clear_19,3,11,358.0,False
sequential_triangle_clear_19,3,5,394.0,False
sequential_triangle_clear_19,3,14,675.0,False
sequential_triangle_clear_19,3,18,1509.0516295264708,False
sequential_triangle_clear_19,3,10,2441.169247522284,True
sequential_triangle_clear_19,4,2,11.0,False
sequential_triangle_clear_19,4,4,23.0,True
sequential_triangle_clear_19,4,9,53.0,False
sequential_triangle_clear_19,4,17,101.0,True
